domain,split_regime,n_rows,mean_auc_transfer,mean_auc_baseline,mean_delta_auc_transfer_minus_baseline,mean_null_gap_q95,mean_mapped_to_sc_cosine,fraction_delta_positive,fraction_null_gap_positive,fraction_p_best_lt_0_05,combined_fisher_p_best
external_lung,source_disjoint,2,0.5545167349726776,0.477384306693989,0.0771324282786886,-0.13021334955601097,0.003606587356442632,0.5,0.0,0.5,0.08216266490787776
external_lung,target_disjoint,2,0.5655220388288118,0.4210934041611333,0.14442863466767852,-0.07005865427180169,0.003606587356442632,1.0,0.0,0.5,0.06858636938312403
immune,source_disjoint,2,0.5491580220495882,0.6697278173181788,-0.12056979526859052,-0.09919297524719227,-0.005183767215607385,0.0,0.0,0.5,0.08216266490787776
immune,target_disjoint,2,0.4415954290672859,0.6414271558901476,-0.19983172682286174,-0.19444478646309715,-0.005183767215607385,0.0,0.0,0.0,0.7024564239903613
lung,source_disjoint,2,0.5652407921473444,0.5427925100320374,0.022448282115306806,-0.11339858226270678,0.002101251749280166,0.5,0.0,0.5,0.10749075277071363
lung,target_disjoint,2,0.6634328590070218,0.5189096190890449,0.14452323991797683,0.014440284595787008,0.002101251749280166,1.0,1.0,1.0,0.011900402639578249
