domain,split_regime,layer,train_domains,n_train_edges,n_eval_edges,n_eval_positive,n_shared_target_symbols,auc_transfer,auc_baseline,delta_auc_transfer_minus_baseline,mapped_to_sc_cosine,null_q95,null_gap_q95,p_eigenspectrum_upper,p_random_basis_upper,p_signature_destroy_upper,p_best_upper
external_lung,source_disjoint,7,immune+lung,1996,994,610,220,0.4628714139344262,0.5519424521857923,-0.08907103825136609,0.0046464374667787136,0.12537717725409847,-0.21444821550546456,0.4,0.56,0.8,0.4
external_lung,source_disjoint,11,immune+lung,1996,994,610,220,0.646162056010929,0.40282616120218573,0.2433358948087433,0.002566737246106551,0.28931437841530067,-0.045978483606557374,0.28,0.2,0.04,0.04
external_lung,target_disjoint,7,immune+lung,1693,817,502,220,0.624277493201796,0.5041042180484412,0.12017327515335485,0.0046464374667787136,0.15204452033137295,-0.03187124517801809,0.16,0.2,0.04,0.04
external_lung,target_disjoint,11,immune+lung,1693,817,502,220,0.5067665844558276,0.33808259027382537,0.1686839941820022,0.002566737246106551,0.2769300575475875,-0.10824606336558529,0.32,0.44,0.48,0.32
immune,source_disjoint,7,external_lung+lung,1964,1026,249,220,0.4977309495381784,0.6600921058752384,-0.16236115633705994,-0.039139563336729355,-0.022791681526621192,-0.13956947481043874,0.48,0.4,0.44,0.4
immune,source_disjoint,11,external_lung+lung,1964,1026,249,220,0.6005850945609981,0.6793635287611192,-0.0787784342001211,0.028772028905514585,-0.019961958516175292,-0.0588164756839458,0.2,0.2,0.04,0.04
immune,target_disjoint,7,external_lung+lung,1567,943,244,220,0.5116061586810198,0.7791136049156876,-0.2675074462346678,-0.039139563336729355,-0.1338426968268487,-0.1336647494078191,0.56,0.4,0.48,0.4
immune,target_disjoint,11,external_lung+lung,1567,943,244,220,0.37158469945355194,0.5037407068646076,-0.13215600741105565,0.028772028905514585,0.12306881610731951,-0.25522482351837517,0.84,0.88,1.0,0.84
lung,source_disjoint,7,external_lung+immune,2020,970,627,220,0.6389442995243211,0.5432993429771089,0.09564495654721217,0.020655737227299194,0.154821771497389,-0.05917681495017682,0.32,0.24,0.04,0.04
lung,source_disjoint,11,external_lung+immune,2020,970,627,220,0.4915372847703675,0.5422856770869661,-0.050748392316598556,-0.016453233728738862,0.11687195725863818,-0.16762034957523675,0.64,0.68,0.56,0.56
lung,target_disjoint,7,external_lung+immune,1760,750,484,220,0.709097122972721,0.5124899024420555,0.19660722053066548,0.020655737227299194,0.16819812962157463,0.028409090909090856,0.12,0.04,0.04,0.04
lung,target_disjoint,11,external_lung+immune,1760,750,484,220,0.6177685950413224,0.5253293357360342,0.09243925930528818,-0.016453233728738862,0.09196778102280502,0.00047147828248315926,0.08,0.12,0.04,0.04
