domain,seed_tag,split_regime,layer,n_edges_eval,n_positive_eval,n_high_support_edges,n_low_support_edges,auc_baseline,auc_triangle_defect,delta_auc_triangle_minus_baseline,delta_auc_high_support,delta_auc_low_support,interaction_delta_high_minus_low,mean_support_concordance,null_q95_interaction,null_gap_q95_interaction,p_support_shuffle_upper,p_matched_support_upper,p_label_shuffle_upper,p_best_upper
external_lung,seed42_main,source_disjoint,7,704,337,235,235,0.8414605551467913,0.8690723566652383,0.027611801518447,0.000232558139535044,0.03082191780821919,-0.030589359668684146,0.16775832525861245,0.10383128412956999,-0.13442064379825414,0.9090909090909091,0.8484848484848485,0.6060606060606061,0.6060606060606061
external_lung,seed42_main,source_disjoint,11,704,337,235,235,0.8522707977910559,0.8504758285561818,-0.0017949692348740998,0.014883720930232491,-0.039668949771689554,0.054552670701922046,0.16775832525861245,0.1732268513919568,-0.11867418069003474,0.7878787878787878,0.8787878787878788,0.12121212121212122,0.12121212121212122
external_lung,seed42_main,target_disjoint,7,1014,671,338,338,0.8138672969720143,0.8714550755367082,0.05758777856469388,-0.1302395209580839,0.011370851370851365,-0.14161037232893525,0.20363025255696657,0.022876691700630905,-0.16448706402956614,1.0,0.9393939393939394,1.0,0.9393939393939394
external_lung,seed42_main,target_disjoint,11,1014,671,338,338,0.8354572827640743,0.8482791881922026,0.012821905428128333,-0.10179640718562877,-0.059278499278499375,-0.04251790790712939,0.20363025255696657,0.0655604812403352,-0.10807838914746459,1.0,0.9696969696969697,0.8484848484848485,0.8484848484848485
external_lung,seed43,source_disjoint,7,784,378,262,262,0.8069760471238304,0.8385722104933927,0.03159616336956228,0.019276586528048534,-0.026859504132231482,0.046136090660280016,0.16330484659791447,0.08908219004138548,-0.04294609938110547,0.45454545454545453,0.6060606060606061,0.09090909090909091,0.09090909090909091
external_lung,seed43,source_disjoint,11,784,378,262,262,0.8288894101701985,0.8533309875674409,0.024441577397242398,0.04375135369287397,0.0055785123966942685,0.038172841296179705,0.16330484659791447,0.08375716869293437,-0.045584327396754665,0.5757575757575758,0.48484848484848486,0.24242424242424243,0.24242424242424243
external_lung,seed43,target_disjoint,7,1034,686,345,345,0.8033263798130089,0.8897929861599814,0.08646660634697245,-0.03647058823529403,0.06252137239256794,-0.09899196062786197,0.20184300313216766,0.06601088478320968,-0.16500284541107166,0.9393939393939394,1.0,0.9696969696969697,0.9393939393939394
external_lung,seed43,target_disjoint,11,1034,686,345,345,0.8088158908883749,0.8462559900807614,0.037440099192386445,-0.047647058823529376,-0.026387780690755758,-0.021259278132773618,0.20184300313216766,0.13639139634492004,-0.15765067447769365,1.0,0.9090909090909091,0.7575757575757576,0.7575757575757576
external_lung,seed44,source_disjoint,7,759,351,253,253,0.8142771353555668,0.8840986537064969,0.06982151835093009,0.08578947368421042,-0.02127659574468077,0.10706606942889119,0.1617926629994782,0.1470684590995561,-0.04000238967066491,0.30303030303030304,0.30303030303030304,0.030303030303030304,0.030303030303030304
external_lung,seed44,source_disjoint,11,759,351,253,253,0.8272373051784817,0.8580526227585051,0.030815317580023427,0.08403508771929824,-0.08439716312056744,0.16843225083986568,0.1617926629994782,0.21440502636855036,-0.04597277552868467,0.3939393939393939,0.2727272727272727,0.030303030303030304,0.030303030303030304
external_lung,seed44,target_disjoint,7,1041,684,347,348,0.8125460710600029,0.8812922829950693,0.06874621193506647,-0.05818540433925046,0.04669117647058818,-0.10487658080983864,0.1997346257672024,0.048563572810578964,-0.1534401536204176,0.8787878787878788,0.7272727272727273,1.0,0.7272727272727273
external_lung,seed44,target_disjoint,11,1041,684,347,348,0.8356798859894836,0.8681671499008959,0.03248726391141232,-0.06147271531886922,0.007405462184873812,-0.06887817750374303,0.1997346257672024,0.02543186075523972,-0.09431003825898275,0.8181818181818182,0.9090909090909091,0.7878787878787878,0.7878787878787878
immune,seed42_main,source_disjoint,7,953,240,318,319,0.8781206171107995,0.9078658251519401,0.02974520804114067,0.07561954212886457,0.015772870662460692,0.05984667146640388,0.10356725332074414,0.0590432726696106,0.000803398796793281,0.09090909090909091,0.06060606060606061,0.09090909090909091,0.06060606060606061
immune,seed42_main,source_disjoint,11,953,240,318,319,0.8955820476858345,0.8927302477793361,-0.00285179990649842,0.04304932735426015,-0.007886435331230235,0.05093576268549038,0.10356725332074414,0.05639199836458306,-0.005456235679092675,0.06060606060606061,0.06060606060606061,0.18181818181818182,0.06060606060606061
immune,seed42_main,target_disjoint,7,1111,276,371,377,0.8830643061702681,0.8726546906187626,-0.010409615551505547,0.02047295108519609,0.009333333333333416,0.011139617751862674,0.093523990602403,0.026987668622268757,-0.015848050870406083,0.09090909090909091,0.24242424242424243,0.36363636363636365,0.09090909090909091
immune,seed42_main,target_disjoint,11,1111,276,371,377,0.8932526251844138,0.8780786253579798,-0.015173999826434081,0.013022351797862042,0.033333333333333326,-0.020310981535471284,0.093523990602403,0.051997763294160476,-0.07230874482963176,0.6060606060606061,0.5757575757575758,0.7878787878787878,0.5757575757575758
immune,seed43,source_disjoint,7,920,234,307,307,0.890278089257681,0.8888452817024246,-0.0014328075552564323,0.03796764408493425,0.006535947712418277,0.03143169637251597,0.09711009401684659,0.1712840121865774,-0.13985231581406143,0.36363636363636365,0.36363636363636365,0.24242424242424243,0.24242424242424243
immune,seed43,source_disjoint,11,920,234,307,307,0.8925207445615608,0.8663128254964991,-0.026207919065061702,0.013751263902932465,0.0,0.013751263902932465,0.09711009401684659,0.061839356908873225,-0.04808809300594076,0.42424242424242425,0.42424242424242425,0.45454545454545453,0.42424242424242425
immune,seed43,target_disjoint,7,1082,274,361,361,0.8669057599190576,0.90725500469755,0.040349244778492444,0.04847558858254042,-0.0125348189415041,0.06101040752404452,0.095394525828014,0.06301127068125381,-0.0020008631572092928,0.12121212121212122,0.09090909090909091,0.06060606060606061,0.06060606060606061
immune,seed43,target_disjoint,11,1082,274,361,361,0.8803931488039315,0.8963919202139192,0.015998771409987733,0.03239808320022208,-0.016713091922005652,0.049111175122227735,0.095394525828014,0.057843880190512426,-0.00873270506828469,0.30303030303030304,0.30303030303030304,0.06060606060606061,0.06060606060606061
immune,seed44,source_disjoint,7,949,242,317,320,0.8869977906881598,0.9048710065811776,0.017873215893017824,0.03143669985775255,-0.01729559748427667,0.04873229734202922,0.10097155073718656,0.046780692736419965,0.0019516046056092529,0.09090909090909091,0.06060606060606061,0.030303030303030304,0.030303030303030304
immune,seed44,source_disjoint,11,949,242,317,320,0.8984476369714894,0.8828830935041556,-0.015564543467333825,-0.0035087719298244613,-0.018867924528301883,0.015359152598477421,0.10097155073718656,0.12003207179919953,-0.10467291920072211,0.6060606060606061,0.6666666666666666,0.36363636363636365,0.36363636363636365
immune,seed44,target_disjoint,7,1110,272,370,373,0.8815939561982311,0.9004062543871966,0.01881229818896546,0.028028903794433013,0.001801801801801839,0.026227101992631174,0.0958167831819907,0.023343949705212877,0.0028831522874182974,0.06060606060606061,0.06060606060606061,0.12121212121212122,0.06060606060606061
immune,seed44,target_disjoint,11,1110,272,370,373,0.8981117506668539,0.8917766390565774,-0.006335111610276445,0.010239460808139644,-0.01441441441441449,0.024653875222554134,0.0958167831819907,0.10106766968268505,-0.07641379446013091,0.15151515151515152,0.5151515151515151,0.030303030303030304,0.030303030303030304
lung,seed42_main,source_disjoint,7,690,342,230,230,0.7841718760502789,0.8253848222087785,0.041212946158499575,0.01285714285714279,0.05459057071960294,-0.04173342786246015,0.16305114858281505,0.02300844083371484,-0.06474186869617499,0.030303030303030304,0.06060606060606061,0.8484848484848485,0.030303030303030304
lung,seed42_main,source_disjoint,11,690,342,230,230,0.8005478255024534,0.8082106607514957,0.007662835249042321,-0.026904761904761876,0.01701524282169442,-0.043920004726456296,0.16305114858281505,0.02846523726081801,-0.0723852419872743,0.5151515151515151,0.48484848484848486,0.8787878787878788,0.48484848484848486
lung,seed42_main,target_disjoint,7,879,561,293,293,0.8188768932387134,0.8699312772564713,0.05105438401775797,-0.08737024221453293,0.04806584362139921,-0.13543608583593214,0.218309124641247,0.06499682864588,-0.20043291448181214,1.0,1.0,1.0,1.0
lung,seed42_main,target_disjoint,11,879,561,293,293,0.8340059866141996,0.8607607708606599,0.026754784246460384,0.004325259515570945,0.038024691358024554,-0.03369943184245361,0.218309124641247,0.09910620565513137,-0.13280563749758498,1.0,1.0,0.696969696969697,0.696969696969697
lung,seed43,source_disjoint,7,760,384,254,254,0.817632147606383,0.8496924867021276,0.03206033909574457,-0.03375174337517428,0.0732362821948489,-0.10698802557002318,0.1520905676721851,0.022336667028767493,-0.12932469259879067,0.8484848484848485,0.9090909090909091,1.0,0.8484848484848485
lung,seed43,source_disjoint,11,760,384,254,254,0.8382369237588653,0.832779255319149,-0.00545766843971629,-0.035146443514644354,0.017021276595744705,-0.05216772011038906,0.1520905676721851,0.048588871152529634,-0.1007565912629187,0.9393939393939394,0.8484848484848485,0.8181818181818182,0.8181818181818182
lung,seed43,target_disjoint,7,847,559,283,283,0.8015833084873784,0.8699407423971377,0.06835743390975935,0.09446450060168488,0.044558298400869556,0.04990620220081532,0.21219639142234198,0.08813991213586336,-0.038233709935048044,0.5454545454545454,0.6060606060606061,0.15151515151515152,0.15151515151515152
lung,seed43,target_disjoint,11,847,559,283,283,0.8043256807791692,0.8431536970781157,0.0388280162989465,-0.054753309265944794,-0.0059773327123117115,-0.04877597655363308,0.21219639142234198,0.07807767073935065,-0.12685364729298373,1.0,1.0,0.8181818181818182,0.8181818181818182
lung,seed44,source_disjoint,7,751,368,251,251,0.7978062209104324,0.8111945169712794,0.013388296060847016,0.08446455505279038,-0.10373443983402492,0.1881989948868153,0.15305747952165322,0.14762601918851087,0.040572975698304425,0.030303030303030304,0.06060606060606061,0.030303030303030304,0.030303030303030304
lung,seed44,source_disjoint,11,751,368,251,251,0.8280877511635826,0.8281019411965035,1.4190032920913254e-05,0.06988436400201115,-0.040663900414937726,0.11054826441694887,0.15305747952165322,0.18790133667977665,-0.07735307226282778,0.48484848484848486,0.5454545454545454,0.030303030303030304,0.030303030303030304
lung,seed44,target_disjoint,7,859,549,287,287,0.8126858217286562,0.86292966684294,0.050243845114283814,-0.10489510489510487,0.05772151898734168,-0.16261662388244655,0.2078705594130717,0.06592721494265424,-0.2285438388251008,1.0,1.0,1.0,1.0
lung,seed44,target_disjoint,11,859,549,287,287,0.8166284740584053,0.8689817263058934,0.0523532522474881,-0.031468531468531485,-0.018987341772152,-0.012481189696379485,0.2078705594130717,0.13859826131786385,-0.15107945101424333,0.9393939393939394,0.8484848484848485,0.6060606060606061,0.6060606060606061
