domain,split_regime,n_rows,mean_delta_auc_triangle_minus_baseline,mean_interaction_delta_high_minus_low,bootstrap_ci95_interaction_lo,bootstrap_ci95_interaction_hi,mean_null_gap_q95_interaction,fraction_interaction_positive,fraction_null_gap_positive,fraction_p_best_lt_0_05,combined_fisher_p_best
external_lung,source_disjoint,6,0.03041523483022185,0.06396176054307574,0.01792836195723313,0.11611621131952364,-0.07126673607758312,0.8333333333333334,0.0,0.3333333333333333,0.008153086555990022
external_lung,target_disjoint,6,0.049258310896443315,-0.07968904621838031,-0.11088882435827652,-0.04838123999644068,-0.1404948608241994,0.0,0.0,0.0,0.9989210500677443
immune,source_disjoint,6,0.00026022565666801906,0.03667614072797489,0.023064137786227495,0.04992790881560857,-0.0492190933829024,1.0,0.3333333333333333,0.16666666666666666,0.015907112843929684
immune,target_disjoint,6,0.0072069312315382605,0.02530519934630816,0.003995287248371782,0.045187357084621634,-0.028736834349707408,0.8333333333333334,0.16666666666666666,0.16666666666666666,0.0030838015864568884
lung,source_disjoint,6,0.014813489692889684,0.008989680172405914,-0.0663334415785338,0.09824863608141306,-0.067331415184947,0.3333333333333333,0.16666666666666666,0.5,0.026423625247192425
lung,target_disjoint,6,0.04793195263911602,-0.05718385093500492,-0.11409052062221407,-0.0019612986054697253,-0.1463248665077955,0.16666666666666666,0.0,0.0,0.9210846526127883
