hypothesis_id,domain,seed_tag,split_regime,layer,n_edges_eval,n_positive_eval,auc_h70,auc_directional_geodesic_model,delta_vs_h70,q95_null_delta_auc,null_gap_q95,p_direction_flip_upper,p_endpoint_swap_upper,p_label_upper,p_best_upper,mean_log_distance_ratio,mean_support_gap
H121,external_lung,seed42_main,source_disjoint,7,240,115,0.8893217391304348,0.9072695652173913,0.017947826086956553,0.06300869565217393,-0.045060869565217376,0.07692307692307693,0.07692307692307693,0.8461538461538461,0.07692307692307693,0.025466180736494745,0.04430516279152798
H121,external_lung,seed42_main,source_disjoint,11,240,115,0.8442434782608697,0.8683130434782608,0.02406956521739112,0.08527826086956525,-0.06120869565217413,0.07692307692307693,0.07692307692307693,1.0,0.07692307692307693,0.023832816488004373,0.03641594521560126
H121,external_lung,seed42_main,target_disjoint,7,240,159,0.8706421306002019,0.8950229055050858,0.024380774904883884,0.03986140228278584,-0.015480627377901957,0.07692307692307693,0.07692307692307693,0.46153846153846156,0.07692307692307693,0.03738869602062212,0.0774647744069823
H121,external_lung,seed42_main,target_disjoint,11,240,159,0.8214923518906747,0.8549576830499263,0.03346533115925154,0.03858995263607429,-0.005124621476822744,0.07692307692307693,0.07692307692307693,0.3076923076923077,0.07692307692307693,0.05796853102421225,0.08009943561706015
H121,immune,seed42_main,source_disjoint,7,240,60,0.8711574074074073,0.9134259259259259,0.04226851851851854,0.050555555555555465,-0.008287037037036926,0.07692307692307693,0.07692307692307693,0.3076923076923077,0.07692307692307693,0.028162634979669556,0.0399720049579395
H121,immune,seed42_main,source_disjoint,11,240,60,0.8447685185185185,0.8999074074074075,0.05513888888888896,0.04537037037037034,0.00976851851851862,0.07692307692307693,0.07692307692307693,0.23076923076923078,0.07692307692307693,0.04093181913522129,0.050114888199423016
H121,immune,seed42_main,target_disjoint,7,240,60,0.8994444444444445,0.8975925925925925,-0.0018518518518519933,0.008935185185185213,-0.010787037037037206,0.07692307692307693,0.15384615384615385,0.38461538461538464,0.07692307692307693,0.036733286415655424,0.04208362727123052
H121,immune,seed42_main,target_disjoint,11,240,60,0.8816666666666667,0.9112962962962963,0.02962962962962956,0.02138888888888893,0.008240740740740632,0.07692307692307693,0.07692307692307693,0.23076923076923078,0.07692307692307693,0.037242452128422227,0.042245843574484285
H121,lung,seed42_main,source_disjoint,7,240,119,0.7994305160080561,0.8033196749774291,0.003889158969372919,0.021824432252239706,-0.017935273282866787,0.8461538461538461,0.6923076923076923,0.23076923076923078,0.23076923076923078,0.027068130637614422,0.04973463778877774
H121,lung,seed42_main,source_disjoint,11,240,119,0.7988054726022641,0.8271407736648378,0.02833530106257376,0.028804083616917803,-0.0004687825543440438,0.23076923076923078,0.07692307692307693,0.15384615384615385,0.07692307692307693,0.017855622594932747,0.03939028596360374
H121,lung,seed42_main,target_disjoint,7,240,153,0.8149650664863646,0.8900157764255129,0.07505070993914831,0.05037187288708583,0.024678837052062474,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.04709219999933021,0.0520177545795104
H121,lung,seed42_main,target_disjoint,11,240,153,0.8122605363984674,0.8726617083615055,0.06040117196303807,0.06197881451431145,-0.0015776425512733783,0.3076923076923077,0.38461538461538464,0.07692307692307693,0.07692307692307693,0.050105090065762616,0.04888462452704203
