hypothesis_id,domain,seed_tag,split_regime,layer,n_edges_eval,n_positive_eval,auc_h70,auc_signed_module_model,delta_vs_h70,q95_null_delta_auc,null_gap_q95,p_tf_sign_upper,p_motif_decoy_upper,p_label_upper,p_best_upper,motif_coverage,sign_consistency_rate,same_community_rate
H123,external_lung,seed42_main,source_disjoint,11,260,121,0.7948153873595338,0.8978536179321007,0.10303823057256689,0.07656519412569121,0.02647303644687568,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.28846153846153844,0.5466666666666666,0.6384615384615384
H123,external_lung,seed42_main,target_disjoint,11,260,164,0.7818216463414634,0.9213033536585366,0.1394817073170731,0.09259082825203246,0.046890879065040636,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.3730769230769231,0.5773195876288659,0.7884615384615384
H123,immune,seed42_main,dual_axis_disjoint,11,260,62,0.8466112740306289,0.9090094493320299,0.062398175301401015,0.020894428152492706,0.04150374714890831,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.15,0.46153846153846156,0.7153846153846154
H123,immune,seed42_main,source_disjoint,11,260,64,0.818797831632653,0.8800223214285714,0.061224489795918435,0.026526626275510418,0.03469786352040802,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.16153846153846155,0.6190476190476191,0.7692307692307693
H123,immune,seed42_main,target_disjoint,11,260,63,0.8392554991539763,0.9343324470228023,0.09507694786882592,0.03843364757070333,0.05664330029812259,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.17307692307692307,0.7111111111111111,0.4307692307692308
H123,lung,seed42_main,source_disjoint,11,260,124,0.7800640417457305,0.916271347248577,0.13620730550284643,0.07387037476280844,0.06233693074003799,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.3153846153846154,0.5121951219512195,0.2230769230769231
H123,lung,seed42_main,target_disjoint,11,260,160,0.798875,0.9178125,0.11893750000000003,0.058625000000000066,0.06031249999999996,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.38846153846153847,0.5841584158415841,0.7461538461538462
H123,external_lung,seed43,dual_axis_disjoint,11,254,209,0.786709197235513,0.9084529505582137,0.12174375332270071,0.08375863902179687,0.037985114300903844,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.4881889763779528,0.5161290322580645,0.3188976377952756
H123,external_lung,seed43,source_disjoint,11,260,116,0.7975335249042145,0.8767959770114943,0.07926245210727978,0.03940672892720315,0.03985572318007663,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.25384615384615383,0.6212121212121212,0.4153846153846154
H123,external_lung,seed43,target_disjoint,11,260,167,0.820488056145773,0.9428240293606336,0.12233597321486056,0.0762024338419933,0.046133539372867266,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.4076923076923077,0.4716981132075472,0.7884615384615384
H123,immune,seed43,dual_axis_disjoint,11,260,64,0.8263711734693877,0.9293686224489797,0.10299744897959195,0.03346221301020405,0.0695352359693879,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.1576923076923077,0.6341463414634146,0.3423076923076923
H123,immune,seed43,source_disjoint,11,260,66,0.8912839737582005,0.9451733833177132,0.05388940955951271,0.04931076226179318,0.004578647297719535,0.07692307692307693,0.07692307692307693,0.23076923076923078,0.07692307692307693,0.1423076923076923,0.6216216216216216,0.3230769230769231
H123,immune,seed43,target_disjoint,11,260,64,0.8576211734693877,0.92578125,0.06816007653061229,0.05046237244897961,0.01769770408163268,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.15,0.7948717948717948,0.6923076923076923
H123,lung,seed43,source_disjoint,11,260,125,0.815762962962963,0.9144296296296297,0.09866666666666668,0.0449925925925925,0.05367407407407418,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.3038461538461538,0.4050632911392405,0.4
H123,lung,seed43,target_disjoint,11,260,163,0.8003605085067358,0.9005755486686484,0.10021504016191263,0.056874960470558455,0.04334007969135417,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.38846153846153847,0.504950495049505,0.2230769230769231
H123,external_lung,seed44,source_disjoint,11,260,112,0.8041143822393823,0.877594111969112,0.07347972972972971,0.028640805984555928,0.04483892374517379,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.24615384615384617,0.53125,0.5615384615384615
H123,external_lung,seed44,target_disjoint,11,260,164,0.832444105691057,0.9300050813008129,0.09756097560975596,0.040777439024390155,0.05678353658536581,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.39615384615384613,0.5048543689320388,0.4653846153846154
H123,immune,seed44,dual_axis_disjoint,11,260,62,0.8306451612903226,0.9286412512218964,0.09799608993157383,0.012300423590746151,0.08569566634082768,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.15384615384615385,0.55,0.21923076923076923
H123,immune,seed44,source_disjoint,11,260,66,0.7887378944079976,0.8807403936269916,0.09200249921899406,0.07298500468603558,0.01901749453295848,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.18076923076923077,0.6382978723404256,0.2153846153846154
H123,immune,seed44,target_disjoint,11,260,64,0.8715720663265306,0.9237085459183673,0.05213647959183665,0.028778698979591844,0.023357780612244805,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.1576923076923077,0.6097560975609756,0.21923076923076923
H123,lung,seed44,source_disjoint,11,260,125,0.8036148148148149,0.8974814814814814,0.09386666666666654,0.029007407407407287,0.06485925925925926,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.3,0.41025641025641024,0.46923076923076923
H123,lung,seed44,target_disjoint,11,260,155,0.8174500768049154,0.9040245775729647,0.08657450076804929,0.03660522273425498,0.04996927803379431,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.3423076923076923,0.550561797752809,0.45
