hypothesis_id,null_kind,domain,split_regime,layer,perm_idx,null_value
H84,endpoint_swap_within_geodesic_bins,external_lung,source_disjoint,0,0,-0.014456779243040452
H84,endpoint_swap_within_geodesic_bins,external_lung,source_disjoint,0,1,-0.021183871150316613
H84,endpoint_swap_within_geodesic_bins,external_lung,source_disjoint,0,2,-0.020334899214903057
H84,endpoint_swap_within_geodesic_bins,external_lung,source_disjoint,0,3,-0.019874028735678784
H84,endpoint_swap_within_geodesic_bins,external_lung,source_disjoint,0,4,-0.016906669685233577
H84,endpoint_swap_within_geodesic_bins,external_lung,source_disjoint,0,5,-0.02400569215469084
H84,endpoint_swap_within_geodesic_bins,external_lung,source_disjoint,0,6,-0.023771214191576684
H84,endpoint_swap_within_geodesic_bins,external_lung,source_disjoint,0,7,-0.016785387980174593
H84,endpoint_swap_within_geodesic_bins,external_lung,source_disjoint,0,8,-0.01621940668989874
H84,endpoint_swap_within_geodesic_bins,external_lung,source_disjoint,0,9,-0.019534439961513272
H84,endpoint_swap_within_geodesic_bins,external_lung,source_disjoint,0,10,-0.020043823122761317
H84,endpoint_swap_within_geodesic_bins,external_lung,source_disjoint,0,11,-0.016243663030910738
H84,endpoint_swap_within_geodesic_bins,external_lung,source_disjoint,0,12,-0.021854963251643378
H84,endpoint_swap_within_geodesic_bins,external_lung,source_disjoint,0,13,-0.012629468220150541
H84,endpoint_swap_within_geodesic_bins,external_lung,source_disjoint,0,14,-0.01797394868975344
H84,endpoint_swap_within_geodesic_bins,external_lung,source_disjoint,0,15,-0.015742365316666507
H84,endpoint_swap_within_geodesic_bins,external_lung,source_disjoint,0,16,-0.015807048892698128
H84,endpoint_swap_within_geodesic_bins,external_lung,source_disjoint,0,17,-0.014303155749965768
H84,endpoint_swap_within_geodesic_bins,external_lung,source_disjoint,0,18,-0.015467460118532617
H84,endpoint_swap_within_geodesic_bins,external_lung,source_disjoint,0,19,-0.017319027482434524
H84,endpoint_swap_within_geodesic_bins,external_lung,source_disjoint,0,20,-0.018143743076836083
H84,endpoint_swap_within_geodesic_bins,external_lung,source_disjoint,0,21,-0.019857857841670823
H84,endpoint_swap_within_geodesic_bins,external_lung,source_disjoint,0,22,-0.013292474874473492
H84,endpoint_swap_within_geodesic_bins,external_lung,source_disjoint,0,23,-0.017593932680568414
H84,endpoint_swap_within_geodesic_bins,external_lung,source_disjoint,3,0,-0.018871433307190433
H84,endpoint_swap_within_geodesic_bins,external_lung,source_disjoint,3,1,-0.018806749731158923
H84,endpoint_swap_within_geodesic_bins,external_lung,source_disjoint,3,2,-0.015879817915733563
H84,endpoint_swap_within_geodesic_bins,external_lung,source_disjoint,3,3,-0.019130167611316362
H84,endpoint_swap_within_geodesic_bins,external_lung,source_disjoint,3,4,-0.023286087371340414
H84,endpoint_swap_within_geodesic_bins,external_lung,source_disjoint,3,5,-0.018750151602131337
H84,endpoint_swap_within_geodesic_bins,external_lung,source_disjoint,3,6,-0.0180305468187808
H84,endpoint_swap_within_geodesic_bins,external_lung,source_disjoint,3,7,-0.02353673622846253
H84,endpoint_swap_within_geodesic_bins,external_lung,source_disjoint,3,8,-0.018628869897072353
H84,endpoint_swap_within_geodesic_bins,external_lung,source_disjoint,3,9,-0.02214603934378523
H84,endpoint_swap_within_geodesic_bins,external_lung,source_disjoint,3,10,-0.026293873656805133
H84,endpoint_swap_within_geodesic_bins,external_lung,source_disjoint,3,11,-0.018499502745009333
H84,endpoint_swap_within_geodesic_bins,external_lung,source_disjoint,3,12,-0.018742066155127524
H84,endpoint_swap_within_geodesic_bins,external_lung,source_disjoint,3,13,-0.017674787150607774
H84,endpoint_swap_within_geodesic_bins,external_lung,source_disjoint,3,14,-0.021555801712497824
H84,endpoint_swap_within_geodesic_bins,external_lung,source_disjoint,3,15,-0.018386306486954163
H84,endpoint_swap_within_geodesic_bins,external_lung,source_disjoint,3,16,-0.028670995075962713
H84,endpoint_swap_within_geodesic_bins,external_lung,source_disjoint,3,17,-0.025097227500222474
H84,endpoint_swap_within_geodesic_bins,external_lung,source_disjoint,3,18,-0.023415454523403434
H84,endpoint_swap_within_geodesic_bins,external_lung,source_disjoint,3,19,-0.020925136846190573
H84,endpoint_swap_within_geodesic_bins,external_lung,source_disjoint,3,20,-0.018782493390147148
H84,endpoint_swap_within_geodesic_bins,external_lung,source_disjoint,3,21,-0.018014375924773063
H84,endpoint_swap_within_geodesic_bins,external_lung,source_disjoint,3,22,-0.020326813767899243
H84,endpoint_swap_within_geodesic_bins,external_lung,source_disjoint,3,23,-0.022800960551104033
H84,endpoint_swap_within_geodesic_bins,external_lung,source_disjoint,7,0,-0.02230774828386395
H84,endpoint_swap_within_geodesic_bins,external_lung,source_disjoint,7,1,-0.02038341189692683
H84,endpoint_swap_within_geodesic_bins,external_lung,source_disjoint,7,2,-0.02850120068888007
H84,endpoint_swap_within_geodesic_bins,external_lung,source_disjoint,7,3,-0.023059694855230184
H84,endpoint_swap_within_geodesic_bins,external_lung,source_disjoint,7,4,-0.026665804218986344
H84,endpoint_swap_within_geodesic_bins,external_lung,source_disjoint,7,5,-0.0264960098319037
