domain,split_regime,n_rows,mean_delta_auc_local_cycle_plus_h70_minus_h70,mean_local_cycle_hotspot_gap,mean_null_gap_q95_local_cycle_hotspot_gap,fraction_delta_positive,fraction_null_gap_positive,fraction_p_best_lt_0_05,combined_fisher_p_best
external_lung,source_disjoint,6,0.020051655007595908,0.21803276353276382,0.02022998575498541,1.0,0.6666666666666666,1.0,0.00012122818841626813
external_lung,target_disjoint,6,0.0162675404980198,0.015831815421979794,-0.1476948808439584,1.0,0.3333333333333333,0.8333333333333334,0.00034197954437407806
immune,source_disjoint,6,0.021173560270171993,0.047678703703703196,-0.10572648148148188,1.0,0.3333333333333333,0.8333333333333334,0.00027631522022622453
immune,target_disjoint,6,0.00196887576355829,0.5053861111111119,0.1717993518518531,0.5,0.6666666666666666,0.6666666666666666,0.001023129521580607
lung,source_disjoint,6,0.015662570292692062,0.60749821937322,0.24180767806267886,1.0,0.6666666666666666,0.8333333333333334,0.0003419795443740776
lung,target_disjoint,6,0.020582692121548507,0.5860113960113965,0.2937533831908843,1.0,0.8333333333333334,1.0,0.00012122818841626813
