domain,seed_tag,split_regime,layer,n_edges_eval,n_positive_eval,n_finite_local_cycle,auc_h70_baseline,auc_h82_local_cycle_augmented,delta_auc_local_cycle_plus_h70_minus_h70,local_cycle_hotspot_gap,q95_null_local_cycle_hotspot_gap,null_gap_q95_local_cycle_hotspot_gap,q95_null_delta_feature_shuffle,q95_null_delta_label_shuffle,null_gap_q95_feature_shuffle,null_gap_q95_label_shuffle,p_feature_shuffle_upper,p_label_shuffle_upper,p_gap_upper,p_best_upper
external_lung,seed42_main,source_disjoint,7,300,144,300,0.9036680911680911,0.9195156695156695,0.01584757834757844,0.17930555555555472,0.11123611111111034,0.06806944444444438,0.011442752849002934,0.0011529558404557924,0.004404825498575505,0.014694622507122647,0.04,0.04,0.04,0.04
external_lung,seed42_main,source_disjoint,11,300,144,300,0.8525641025641026,0.864627849002849,0.012063746438746303,0.1161111111111115,0.09263888888888985,0.023472222222221645,0.014541043447293242,0.004520566239316262,-0.002477297008546939,0.007543180199430041,0.12,0.04,0.08,0.04
external_lung,seed42_main,target_disjoint,7,300,199,300,0.8727797402855862,0.8860639832827503,0.01328424299716402,-0.4304166666666678,0.12290972222222164,-0.5533263888888894,0.0233170804517639,0.000676650579630845,-0.010032837454599881,0.012607592417533175,0.6,0.04,1.0,0.04
external_lung,seed42_main,target_disjoint,11,300,199,300,0.8570078113338973,0.8616349072093139,0.004627095875416654,0.3955464480874342,0.30297267759562935,0.09257377049180487,0.022237424747499804,-0.0034180805015174382,-0.01761032887208315,0.008045176376934093,0.96,0.04,0.04,0.04
external_lung,seed43,source_disjoint,7,300,145,300,0.8079199110122358,0.8317686318131257,0.023848720800889844,0.3134722222222228,0.28932638888889084,0.02414583333333198,0.03833370411568406,0.022887652947719755,-0.014484983314794218,0.0009610678531700896,0.56,0.04,0.08,0.04
external_lung,seed43,source_disjoint,11,300,145,300,0.8556618464961068,0.8756840934371524,0.020022246941045596,0.6941688034188047,0.5275180555555555,0.16665074786324918,0.02576195773081209,0.015232480533926644,-0.005739710789766494,0.004789766407118952,0.24,0.04,0.08,0.04
external_lung,seed43,target_disjoint,7,300,199,300,0.8823822080700531,0.8967112791681178,0.014329071098064694,-0.06666666666666732,0.21152777777777654,-0.27819444444444386,0.017137668540723593,0.018112841434897227,-0.0028085974426588986,-0.003783770336832533,0.16,0.16,0.84,0.16
external_lung,seed43,target_disjoint,11,300,199,300,0.8374048460122395,0.8598935270411463,0.022488681028906776,0.05513888888888996,0.11072222222222207,-0.05558333333333211,0.026332155828648177,0.01357530225384348,-0.003843474799741401,0.008913378775063296,0.52,0.04,0.56,0.04
external_lung,seed44,source_disjoint,7,300,139,300,0.8832834353635105,0.919209973635998,0.035926538272487485,-0.011388888888888005,0.06529166666666754,-0.07668055555555554,0.034498860538898016,0.018827919031234604,0.0014276777335894691,0.01709861924125288,0.08,0.04,0.76,0.04
external_lung,seed44,source_disjoint,11,300,139,300,0.84141382546137,0.8540149247061978,0.012601099244827774,0.016527777777777253,0.10080555555555644,-0.08427777777777919,0.008633093525179809,-0.005102998346664309,0.003968005719647965,0.017704097591492083,0.04,0.04,0.8,0.04
external_lung,seed44,target_disjoint,7,300,197,300,0.8740821053669114,0.8934502981617467,0.01936819279483526,0.026388888888887685,0.17113194444444554,-0.14474305555555786,0.015731112315805106,0.004726233305406284,0.0036370804790301532,0.014641959489428976,0.04,0.04,0.36,0.04
external_lung,seed44,target_disjoint,11,300,197,300,0.8629441624365481,0.8864521216302795,0.023507959193731387,0.11500000000000199,0.06189583333333405,0.05310416666666794,0.029209994578877418,0.009967473264008665,-0.005702035385146031,0.013540485929722722,0.52,0.04,0.04,0.04
immune,seed42_main,source_disjoint,7,300,76,300,0.8642504699248119,0.8990249060150376,0.03477443609022568,-0.052777777777778034,0.09109027777777638,-0.14386805555555443,0.04487781954887225,0.01649142387218043,-0.010103383458646573,0.01828301221804525,0.52,0.04,0.84,0.04
immune,seed42_main,source_disjoint,11,300,76,300,0.8532072368421053,0.8782894736842105,0.0250822368421052,-0.039027777777778105,0.12913194444444479,-0.1681597222222229,0.022888275375939862,-0.0026286419172933595,0.0021939614661653367,0.02771087875939856,0.04,0.04,0.84,0.04
immune,seed42_main,target_disjoint,7,300,75,300,0.9282370370370371,0.9182814814814815,-0.009955555555555606,0.452985897435898,0.4398804914529901,0.013105405982907936,0.0029333333333333533,0.004561481481481508,-0.01288888888888896,-0.014517037037037115,0.8,0.44,0.12,0.12
immune,seed42_main,target_disjoint,11,300,75,300,0.8801777777777778,0.8971851851851852,0.01700740740740736,-0.020000000000000462,0.1792777777777782,-0.19927777777777866,0.023789629629629546,0.010334814814814757,-0.006782222222222186,0.006672592592592603,0.48,0.04,0.48,0.04
immune,seed43,source_disjoint,7,300,76,300,0.9288063909774436,0.9377349624060151,0.008928571428571508,0.2695833333333315,0.22675000000000076,0.04283333333333075,0.0169730968045114,-0.006214755639097784,-0.00804452537593989,0.015143327067669292,0.2,0.08,0.04,0.04
immune,seed43,source_disjoint,11,300,76,300,0.880110432330827,0.9026668233082706,0.022556390977443663,0.28148888888888823,0.1890977777777772,0.09239111111111104,0.022186325187970084,0.007245653195488662,0.00037006578947357954,0.015310737781955002,0.08,0.04,0.08,0.04
immune,seed43,target_disjoint,7,300,76,300,0.942140507518797,0.9391447368421052,-0.002995770676691767,0.6281564102564108,0.32963128205128167,0.2985251282051291,0.005207354323308282,0.0031631813909776215,-0.008203125000000049,-0.006158952067669388,1.0,0.24,0.04,0.04
immune,seed43,target_disjoint,11,300,76,300,0.8977326127819548,0.915296052631579,0.017563439849624163,1.0575440170940187,0.3336171367521363,0.7239268803418824,0.03631343984962406,0.019873414003759356,-0.0187499999999999,-0.0023099741541351936,0.6,0.24,0.04,0.04
immune,seed44,source_disjoint,7,300,77,300,0.901112340574224,0.9143905421932328,0.013278201619008834,-0.06027777777777743,0.14234027777777827,-0.2026180555555557,0.022008036806243202,0.030012812299807765,-0.008729835187234369,-0.01673461068079893,0.44,0.12,0.84,0.12
immune,seed44,source_disjoint,11,300,77,300,0.8901636480111815,0.9125851726748586,0.022421524663677084,-0.112916666666667,0.1420208333333329,-0.25493749999999993,0.02338827092190333,0.01353444761516497,-0.0009667462582262469,0.008887077048512113,0.12,0.04,0.92,0.04
immune,seed44,target_disjoint,7,300,74,300,0.889619708203779,0.892609423582875,0.0029897153790959807,0.03875000000000117,0.13677777777777722,-0.09802777777777605,0.030994379335087325,0.009677708682133452,-0.028004663955991344,-0.006687993303037472,0.96,0.24,0.32,0.24
immune,seed44,target_disjoint,11,300,74,300,0.9011600095670892,0.8883640277445588,-0.012795981822530389,0.8748803418803428,0.582336089743589,0.29254425213675384,0.008804711791437566,5.3814876823700354e-05,-0.021600693613967957,-0.012849796699354089,1.0,0.24,0.04,0.04
lung,seed42_main,source_disjoint,7,300,149,300,0.8378594604204631,0.8409707098093248,0.0031112493888616477,0.04430555555555582,0.056472222222221855,-0.012166666666666034,0.02773901062269433,0.007791457398106649,-0.024627761233832684,-0.004680208009245001,1.0,0.16,0.24,0.16
lung,seed42_main,source_disjoint,11,300,149,300,0.8024801102271213,0.8342148539935108,0.03173474376638952,0.05888888888888921,0.11638194444444483,-0.05749305555555562,0.03639495088670604,0.004911329392417334,-0.00466020712031652,0.026823414373972183,0.28,0.04,0.2,0.04
lung,seed42_main,target_disjoint,7,300,191,300,0.857293818146885,0.876555069888083,0.01926125174119797,0.4580555555555552,0.2672872435897436,0.19076831196581162,0.02481867524857101,-0.004017964359479311,-0.005557423507373038,0.02327921610067728,0.44,0.04,0.04,0.04
lung,seed42_main,target_disjoint,11,300,191,300,0.8817906719823239,0.8907728517219847,0.008982179739660867,0.348194444444446,0.17058841880341732,0.1776060256410287,0.017142994380133423,-0.0010255055478169525,-0.008160814640472556,0.01000768528747782,0.6,0.04,0.04,0.04
lung,seed43,source_disjoint,7,300,152,300,0.8428165007112376,0.8531294452347085,0.010312944523470868,1.0041944444444448,0.6296560897435901,0.3745383547008547,0.01289340327169264,-0.010486308677098061,-0.0025804587482217718,0.02079925320056893,0.32,0.04,0.04,0.04
lung,seed43,source_disjoint,11,300,152,300,0.8609086059743954,0.8745999288762447,0.013691322901849268,0.6192982905982918,0.34994739316239265,0.26935089743589913,0.019125622332859155,0.007716927453769658,-0.005434299431009888,0.005974395448079609,0.52,0.04,0.04,0.04
lung,seed43,target_disjoint,7,300,198,300,0.8601455733808675,0.874009704892058,0.01386413151119048,1.013418803418804,0.2737924145299134,0.7396263888888908,0.019461774608833384,0.00507773816597337,-0.0055976430976429035,0.008786393345217112,0.36,0.04,0.04,0.04
lung,seed43,target_disjoint,11,300,198,300,0.8576450782333136,0.8903743315508023,0.03272925331748866,0.7446602564102571,0.43315769230769086,0.31150256410256627,0.048945335710041435,0.006315607050901182,-0.016216082392552775,0.02641364626658748,0.84,0.04,0.04,0.04
lung,seed44,source_disjoint,7,300,147,300,0.8523409363745498,0.862389400204526,0.010048463829976262,1.13887606837607,0.48615905982905894,0.652717008547011,0.02505446623093685,0.0030567782668623335,-0.015006002400960589,0.006991685563113928,0.56,0.04,0.04,0.04
lung,seed44,source_disjoint,11,300,147,300,0.8149926637321596,0.8400693610777644,0.025076697345604804,0.7794260683760683,0.5555265384615383,0.22389952991453,0.030576675114490165,0.003977146414121242,-0.005499977768885361,0.021099550931483562,0.24,0.04,0.04,0.04
lung,seed44,target_disjoint,7,300,192,300,0.8635706018518519,0.8839216820987654,0.020351080246913567,0.7643837606837609,0.3212884188034189,0.443095341880342,0.02903404706790122,0.008625096450617273,-0.008682966820987653,0.011725983796296293,0.36,0.04,0.04,0.04
lung,seed44,target_disjoint,11,300,192,300,0.8715760030864198,0.8998842592592593,0.028308256172839497,0.1873555555555555,0.2874338888888893,-0.10007833333333382,0.02593557098765426,0.01863184799382711,0.002372685185185238,0.009676408179012386,0.08,0.04,0.24,0.04
