domain,split_regime,n_rows,mean_auc_weighted_directed_signed,mean_auc_unweighted_directed_signed,mean_auc_distance_only,mean_delta_auc_weighted_minus_distance,mean_delta_auc_weighted_minus_unweighted,fraction_delta_positive,fraction_weight_gain_positive,fraction_p_best_lt_0_05,combined_fisher_p_best
external_lung,source_disjoint,6,0.5153095673426241,0.5158111780202067,0.5196356941413968,-0.004326126798772654,-0.0005016106775824758,0.3333333333333333,0.3333333333333333,0.0,0.38629704817715577
external_lung,target_disjoint,6,0.5253787376621899,0.523633321135626,0.503898141792603,0.02148059586958692,0.0017454165265637551,1.0,0.5,0.16666666666666666,0.0030086322634764553
immune,source_disjoint,6,0.547437943168834,0.5474001360800628,0.5312740940097207,0.016163849159113213,3.7807088771213415e-05,0.6666666666666666,1.0,0.16666666666666666,0.00249531466146915
immune,target_disjoint,6,0.5349959376516166,0.5349041643632342,0.518980992623415,0.01601494502820146,9.177328838235373e-05,0.8333333333333334,1.0,0.3333333333333333,0.0059609443076532095
lung,source_disjoint,6,0.5156949635413481,0.5162791052716743,0.5176242378294291,-0.0019292742880809566,-0.0005841417303262634,0.3333333333333333,0.8333333333333334,0.0,0.3401536682003924
lung,target_disjoint,6,0.5305834331040039,0.5345159803090264,0.5097558536936989,0.02082757941030509,-0.003932547205022434,1.0,0.0,0.3333333333333333,0.0035087540927567296
