domain,n_rows,mean_auc_transfer,mean_auc_baseline,mean_delta_auc_transfer_minus_baseline,fraction_delta_positive,fraction_p_best_lt_0_05,combined_fisher_p_best,mean_alignment_diag_cosine
external_lung,4,0.3913034874634302,0.3586189037031033,0.0326845837603269,1.0,0.0,0.9990513654405038,0.031027342989905855
immune,4,0.4218266595026502,0.4146644449618288,0.007162214540821346,0.5,0.0,0.9993454734946436,0.07621957177909866
lung,4,0.38842514185193117,0.3561449505235512,0.03228019132837996,1.0,0.0,0.9993702357297909,-0.03770295222095374
