domain,seed_tag,split_regime,layer,n_edges_eval,n_positive_eval,n_nodes_graph,auc_combined_id_jump,auc_geodesic_baseline,delta_auc_combined_minus_baseline,mean_local_id,std_local_id,mean_edge_id_jump,p_swap_upper,p_estimator_upper,p_label_upper,p_best_upper
external_lung,seed42_main,source_disjoint,0,704,337,169,0.568698000468956,0.5724900751138027,-0.0037920746448466547,43.20460571044744,61.95181536219005,52.31121834722389,0.32,0.28,0.92,0.28
external_lung,seed42_main,source_disjoint,3,704,337,169,0.5258047041130669,0.5726113568188618,-0.04680665270579487,38.97038152414636,60.85069865081078,50.55660375676896,1.0,0.8,0.68,0.68
external_lung,seed42_main,source_disjoint,7,704,337,169,0.5581343639583114,0.5823745340761165,-0.024240170117805104,41.208860142183035,61.969096644420894,53.82791371196291,0.88,0.36,0.88,0.36
external_lung,seed42_main,source_disjoint,11,704,337,169,0.5460547061344287,0.5684352234413279,-0.02238051730689916,39.940177737617084,61.55989977072625,49.53478574324258,0.36,0.32,1.0,0.32
external_lung,seed42_main,target_disjoint,0,1014,671,170,0.5314681972427037,0.5187549152085786,0.012713282034125029,47.57233195014707,67.4598777371106,56.0698925298898,0.48,0.2,0.56,0.2
external_lung,seed42_main,target_disjoint,3,1014,671,170,0.5007408115471013,0.5197499054976472,-0.019009093950545952,46.47153524582836,67.71235943784545,56.80529619334405,1.0,0.6,0.8,0.6
external_lung,seed42_main,target_disjoint,7,1014,671,170,0.5152702767289585,0.5230564016111021,-0.007786124882143586,46.59719168764218,66.80199248398465,55.72425597845353,1.0,0.36,0.08,0.08
external_lung,seed42_main,target_disjoint,11,1014,671,170,0.5265062806046413,0.5118117078638993,0.01469457274074204,47.82693031094486,67.69735843801699,57.0865181846267,0.68,0.52,0.76,0.52
external_lung,seed43,source_disjoint,0,784,378,170,0.5495771105377016,0.5509519899913988,-0.0013748794536971864,49.4007008753393,69.80872929539649,62.049206787753945,0.4,0.32,0.96,0.32
external_lung,seed43,source_disjoint,3,784,378,170,0.5666327833815519,0.5478275601428311,0.018805223238720803,51.20693767958404,70.00504407021576,63.12570134011658,0.12,0.08,0.32,0.08
external_lung,seed43,source_disjoint,7,784,378,170,0.5430317720958115,0.5422889462298329,0.0007428258659786247,54.517174091696546,70.02300727839958,66.3801534734553,0.16,0.16,0.8,0.16
external_lung,seed43,source_disjoint,11,784,378,170,0.5185445825839914,0.5359553783199102,-0.01741079573591886,48.606149237377565,69.86447408108951,62.46026475923511,0.76,0.64,0.64,0.64
external_lung,seed43,target_disjoint,0,1034,686,170,0.48779573405716964,0.5158611474146308,-0.02806541335746121,44.56699919450295,63.850746149524255,53.66404957979275,0.84,0.68,1.0,0.68
external_lung,seed43,target_disjoint,3,1034,686,170,0.4954069066050065,0.502984568211521,-0.007577661606514519,42.987635914331065,64.15574630556364,53.40065004539737,0.44,0.8,0.52,0.44
external_lung,seed43,target_disjoint,7,1034,686,170,0.4631610033175832,0.4805238597902215,-0.0173628564726383,43.60440073725541,64.1175918657325,55.162728698454764,0.96,0.68,0.72,0.68
external_lung,seed43,target_disjoint,11,1034,686,170,0.4699804798766797,0.47864305820850506,-0.008662578331825377,43.29898770444488,64.27132762547046,53.048627609396476,0.64,0.8,0.88,0.64
external_lung,seed44,source_disjoint,0,759,351,170,0.5225301659125189,0.5434577677224737,-0.020927601809954788,44.272005519182464,62.11405346268922,56.80971384702745,1.0,0.56,0.88,0.56
external_lung,seed44,source_disjoint,3,759,351,170,0.5101635383498129,0.5433669906709123,-0.03320345232109945,45.11122287652643,62.38692672128175,57.65903855301882,1.0,0.52,1.0,0.52
external_lung,seed44,source_disjoint,7,759,351,170,0.5339890229596111,0.5371836768895593,-0.0031946539299481103,41.063503764026,61.63931942615131,51.64881492858348,0.48,0.16,0.96,0.16
external_lung,seed44,source_disjoint,11,759,351,170,0.5311295458354282,0.5199185799675996,0.011210965867828548,41.274859805795586,61.5493216042107,51.547270243156646,0.12,0.16,0.4,0.12
external_lung,seed44,target_disjoint,0,1041,684,170,0.5352556227169231,0.5168599603584124,0.018395662358510645,42.511635106460574,61.8520276682848,48.726797655683065,0.44,0.12,0.36,0.12
external_lung,seed44,target_disjoint,3,1041,684,170,0.5128998968008256,0.49146559208478713,0.021434304716038466,40.21816180140852,61.76028386211026,47.08286981267933,0.32,0.56,0.04,0.04
external_lung,seed44,target_disjoint,7,1041,684,170,0.5133339885661867,0.4964535521811063,0.01688043638508041,42.95370827781773,62.6804431314613,50.778472332559446,0.72,0.48,0.64,0.48
external_lung,seed44,target_disjoint,11,1041,684,170,0.5468368634003309,0.4922068242501679,0.05463003915016301,43.54359627275156,61.7987416980471,49.97082806176959,0.04,0.12,0.08,0.04
immune,seed42_main,source_disjoint,0,953,240,170,0.6067350397381954,0.5952635577372604,0.011471482000935063,43.823126883652996,65.37037908412714,56.01069985298709,0.44,0.08,0.2,0.08
immune,seed42_main,source_disjoint,3,953,240,170,0.5940977092099113,0.5934724170172978,0.0006252921926135357,44.10487008315584,65.35597622204742,52.99609798189515,0.28,0.16,0.36,0.16
immune,seed42_main,source_disjoint,7,953,240,170,0.5727822580645161,0.5820506077606358,-0.009268349696119671,44.26937301578158,65.374295522072,54.85263775255632,0.48,0.4,0.92,0.4
immune,seed42_main,source_disjoint,11,953,240,170,0.5821148901355774,0.5957485974754557,-0.013633707339878343,41.640813273101,65.15505073274991,52.302163964256735,0.28,0.56,1.0,0.28
immune,seed42_main,target_disjoint,0,1111,276,170,0.6104443287338367,0.6100299401197604,0.0004143886140762776,57.50874179188264,75.90272056316606,65.42824759458361,0.16,0.28,0.72,0.16
immune,seed42_main,target_disjoint,3,1111,276,170,0.6027032890740258,0.6038726894038011,-0.0011694003297753053,53.95326622717861,75.90723314733818,62.53804194974642,0.2,0.56,0.24,0.2
immune,seed42_main,target_disjoint,7,1111,276,170,0.5895404842488936,0.5854464983077325,0.00409398594116106,54.87424037828864,76.42857390381302,63.39877017284804,0.48,0.48,0.84,0.48
immune,seed42_main,target_disjoint,11,1111,276,170,0.5892237264601232,0.584298793716914,0.004924932743209265,57.934571184584534,76.09583110008462,65.90189538541856,0.44,0.88,1.0,0.44
immune,seed43,source_disjoint,0,920,234,170,0.6010876878223816,0.624364580997234,-0.023276893174852376,51.36119665695247,67.74557267808382,62.03623936471052,0.08,0.28,0.96,0.08
immune,seed43,source_disjoint,3,920,234,170,0.6047880690737835,0.6119022700655354,-0.007114200991751973,48.768104415323585,67.70112181273434,58.43021449372849,0.12,0.4,0.76,0.12
immune,seed43,source_disjoint,7,920,234,170,0.5864232139742345,0.610397822132516,-0.023974608158281563,48.57259403959707,68.41798202466404,60.793168568659276,0.44,0.52,0.8,0.44
immune,seed43,source_disjoint,11,920,234,170,0.610192245396327,0.6070400687747626,0.0031521766215644176,47.77055011235335,68.40019499397127,59.57319433087868,0.04,0.2,0.2,0.04
immune,seed43,target_disjoint,0,1082,274,170,0.542237298547373,0.5609303859218039,-0.018693087374430872,57.7076701912751,76.70109558767598,70.05665040267645,0.96,0.92,0.72,0.72
immune,seed43,target_disjoint,3,1082,274,170,0.557919888704199,0.5567703440052035,0.0011495446989954194,57.30445102309249,77.18612139195959,69.52014779920829,0.44,0.48,1.0,0.44
immune,seed43,target_disjoint,7,1082,274,170,0.5576624268266244,0.5528000108405001,0.004862415986124247,58.714819333483284,76.74395077633852,70.96768880208381,0.6,0.28,0.44,0.28
immune,seed43,target_disjoint,11,1082,274,170,0.5620957396834574,0.5608423068584231,0.0012534328250343174,56.536037184155106,77.11051039313145,69.84808714832803,0.24,0.48,0.76,0.24
immune,seed44,source_disjoint,0,949,242,170,0.6006873414614189,0.6096677849603143,-0.008980443498895374,53.63318820169365,71.91106756090592,62.76826505006833,0.16,0.28,0.92,0.16
immune,seed44,source_disjoint,3,949,242,170,0.5472225794007972,0.6185780915753913,-0.07135551217459413,56.80597645286261,71.546593596694,69.21987490071511,0.64,0.72,0.92,0.64
immune,seed44,source_disjoint,7,949,242,170,0.5910026067541819,0.6128765473949992,-0.02187394064081727,56.294008151212644,71.44934659344166,64.16827095153107,0.28,0.44,0.76,0.28
immune,seed44,source_disjoint,11,949,242,170,0.6109682396811111,0.6037353735373537,0.007232866143757399,52.4427307245146,72.29776003136963,61.93921075850847,0.24,0.2,0.72,0.2
immune,seed44,target_disjoint,0,1110,272,170,0.5517228520286396,0.6041323002948196,-0.05240944826617999,67.67721411810473,81.38759354782466,71.26045549845293,0.48,1.0,1.0,0.48
immune,seed44,target_disjoint,3,1110,272,170,0.5513477467359259,0.5906789625157939,-0.03933121577986798,64.62193538692522,81.73479486118158,67.9448832255338,0.48,0.88,1.0,0.48
immune,seed44,target_disjoint,7,1110,272,170,0.570539537414011,0.5709102555103186,-0.00037071809630762065,67.81146499531414,81.04622703114785,68.98907648479327,0.44,0.72,0.56,0.44
immune,seed44,target_disjoint,11,1110,272,170,0.5783684894005335,0.565496455145304,0.012872034255229536,64.17196498204139,81.68131326358062,66.48238640180115,0.24,0.44,1.0,0.24
lung,seed42_main,source_disjoint,0,690,342,170,0.5257738455333736,0.524299253881831,0.0014745916515426227,60.82457720353362,75.51434057925258,70.47428984225427,0.4,0.32,0.28,0.28
lung,seed42_main,source_disjoint,3,690,342,170,0.5202367748874102,0.5216315453384419,-0.0013947704510317571,58.877670867568966,76.26615002126766,69.61808121049354,0.72,0.4,0.6,0.4
lung,seed42_main,source_disjoint,7,690,342,170,0.5225515897022249,0.5316554076762788,-0.009103817974053907,60.282175861391636,76.0758384917681,71.4208456897289,0.84,0.6,0.28,0.28
lung,seed42_main,source_disjoint,11,690,342,170,0.5375453720508166,0.5225221818915103,0.01502319015930631,59.97955673765945,76.06740411093436,71.77572938706247,0.68,0.2,0.24,0.2
lung,seed42_main,target_disjoint,0,879,561,167,0.5724055202412582,0.5445632798573975,0.02784224038386074,50.98150891761304,69.60422532506433,52.005978619702674,0.16,0.32,0.16,0.16
lung,seed42_main,target_disjoint,3,879,561,167,0.5338933171896546,0.550250002802722,-0.016356685613067357,49.649934098953786,69.68623292944002,54.99690777481735,1.0,0.8,0.92,0.8
lung,seed42_main,target_disjoint,7,879,561,167,0.5161829168488437,0.5412868978351775,-0.025103980986333818,51.365154739987084,69.87960052564678,61.25208637501929,1.0,0.84,0.44,0.44
lung,seed42_main,target_disjoint,11,879,561,167,0.5683948250540926,0.5206308366685726,0.047763988385519984,49.806766249277985,70.02112222148352,54.93952579834047,0.36,0.36,0.04,0.04
lung,seed43,source_disjoint,0,760,384,169,0.5434743461879432,0.5516989417109929,-0.00822459552304966,58.77253851160958,75.43105722648352,67.32424305640659,1.0,0.92,0.56,0.56
lung,seed43,source_disjoint,3,760,384,169,0.5459573082890071,0.5603390957446808,-0.014381787455673645,54.26610806829035,75.39000359544954,65.4663313873146,0.96,0.84,1.0,0.84
lung,seed43,source_disjoint,7,760,384,169,0.5836830950797872,0.5641622340425533,0.01952086103723394,55.14834326267237,74.97703361395469,61.07764606866244,0.2,0.6,0.36,0.2
lung,seed43,source_disjoint,11,760,384,169,0.5436094027039007,0.5529490802304964,-0.009339677526595702,55.493607655112804,75.458327749682,63.458608391039064,0.92,0.92,0.92,0.92
lung,seed43,target_disjoint,0,847,559,170,0.5212277628702047,0.5377441115086464,-0.016516348638441758,52.57796392057747,71.78990835737102,64.13792458954607,0.88,0.36,0.32,0.32
lung,seed43,target_disjoint,3,847,559,170,0.5152336762075134,0.5284020323991254,-0.013168356191612052,50.82162157079404,70.99704622206805,60.329413077390726,0.4,0.32,0.92,0.32
lung,seed43,target_disjoint,7,847,559,170,0.5101029864838005,0.5149665821904194,-0.004863595706618873,52.821761496291025,71.56746356993895,60.7758439731778,0.72,0.44,1.0,0.44
lung,seed43,target_disjoint,11,847,559,170,0.47421611011727294,0.4866484048896839,-0.012432294772410979,51.47863159439165,71.75868548161574,63.65701092110022,0.76,0.72,0.64,0.64
lung,seed44,source_disjoint,0,751,368,169,0.5542804234305823,0.5495906175502328,0.004689805880349507,58.67195639087205,75.11168388629612,65.72289253930948,0.68,0.8,0.56,0.56
lung,seed44,source_disjoint,3,751,368,169,0.5632307866954251,0.5478984561244181,0.015332330571007025,57.183674669796254,74.93524932055162,64.34519453823762,0.28,0.72,0.32,0.28
lung,seed44,source_disjoint,7,751,368,169,0.5444963957316381,0.5547912646157338,-0.010294868884095698,58.07499548750569,74.68878085024322,64.64815544702392,0.96,1.0,0.96,0.96
lung,seed44,source_disjoint,11,751,368,169,0.563131456464979,0.5562457429901237,0.006885713474855226,55.63236202110614,75.03593782189287,62.775122137149204,0.36,0.96,1.0,0.36
lung,seed44,target_disjoint,0,859,549,170,0.5302720488865386,0.5224572536576767,0.00781479522886186,56.81827027966661,73.25977911399092,65.4511505940313,0.28,0.32,0.64,0.28
lung,seed44,target_disjoint,3,859,549,170,0.5131970151007698,0.5214113637699042,-0.008214348669134397,52.79231776144152,73.22872270211924,61.92271776389882,0.4,0.36,0.64,0.36
lung,seed44,target_disjoint,7,859,549,170,0.5208384746459839,0.5104970914859862,0.010341383159997664,53.61005547427997,73.34721317409056,62.03995464414969,0.48,0.28,0.24,0.24
lung,seed44,target_disjoint,11,859,549,170,0.49857512192255715,0.48736412245137783,0.011210999471179317,57.007488222201275,73.41856451905952,66.24479946921085,0.76,0.56,0.6,0.56
