domain,seed_tag,split_regime,layer,n_edges_eval,n_positive_eval,n_nodes_graph,n_knn_edges,auc_weighted_directed_signed,auc_unweighted_directed_signed,auc_distance_only,delta_auc_weighted_minus_distance,delta_auc_weighted_minus_unweighted,mean_edge_weight,mean_abs_margin,p_weight_shuffle_upper,p_placebo_upper,p_label_upper,p_best_upper
lung,seed42_main,source_disjoint,11,593,310,149,1128,0.5341787301949162,0.5341559329761769,0.5177419354838709,0.01643679471104531,2.2797218739323277e-05,1.1815956248725756,0.029654255319148937,0.48484848484848486,0.36363636363636365,0.3333333333333333,0.3333333333333333
lung,seed42_main,target_disjoint,7,759,522,148,1090,0.5387708747595259,0.5413130284365552,0.5117205813408344,0.027050293418691473,-0.0025421536770292574,1.2752321222786545,0.05738532110091743,0.8787878787878788,0.8181818181818182,0.15151515151515152,0.15151515151515152
lung,seed42_main,target_disjoint,11,759,522,148,1087,0.546057843089707,0.5497680133210469,0.5065392760722311,0.0395185670174758,-0.0037101702313399043,1.259896376451464,0.05344986200551977,0.9090909090909091,0.9696969696969697,0.030303030303030304,0.030303030303030304
lung,seed43,source_disjoint,7,647,333,149,1123,0.5134322220309482,0.513422658327117,0.5178410894971406,-0.004408867466192401,9.56370383120575e-06,1.1928780978862799,0.034194122885129116,0.6666666666666666,0.7878787878787878,0.6060606060606061,0.6060606060606061
lung,seed43,source_disjoint,11,647,333,149,1128,0.4994357414739579,0.4994070503624643,0.517492014307301,-0.018056272833343046,2.869111149361725e-05,1.1870789251141798,0.03142730496453901,0.24242424242424243,0.3939393939393939,0.8181818181818182,0.24242424242424243
lung,seed43,target_disjoint,7,741,501,150,1101,0.5234489354624084,0.5325349301397205,0.510379241516966,0.01306969394544244,-0.009085994677312081,1.2586652300104753,0.05118074477747502,0.8181818181818182,0.9696969696969697,0.15151515151515152,0.15151515151515152
lung,seed43,target_disjoint,11,741,501,150,1119,0.5241766467065869,0.5264387890884896,0.5063123752495009,0.017864271457086023,-0.0022621423819026987,1.2492769017388166,0.0499106344950849,0.6363636363636364,0.6666666666666666,0.030303030303030304,0.030303030303030304
lung,seed44,source_disjoint,7,667,345,149,1112,0.5108380592312539,0.5107345395625169,0.5263029975695381,-0.015464938338284218,0.00010351966873700658,1.177938909332523,0.030935251798561155,0.45454545454545453,0.5151515151515151,0.8181818181818182,0.45454545454545453
lung,seed44,source_disjoint,11,667,345,149,1123,0.5104329822666308,0.5141821946169772,0.5182914753803223,-0.007858493113691467,-0.0037492123503464203,1.1810138661796858,0.033615316117542295,0.9090909090909091,1.0,0.6060606060606061,0.6060606060606061
lung,seed44,target_disjoint,7,732,499,150,1106,0.5399296446971197,0.5420970696758323,0.5166083239440254,0.023321320753094232,-0.0021674249787125843,1.2705000766108037,0.05596745027124774,1.0,1.0,0.06060606060606061,0.06060606060606061
lung,seed44,target_disjoint,11,732,499,150,1115,0.5111166539086758,0.5149440511925139,0.5069753240386352,0.0041413298700405665,-0.0038273972838380743,1.2573690007960734,0.05408071748878923,0.8181818181818182,0.8787878787878788,0.3333333333333333,0.3333333333333333
