domain,split_regime,n_rows,mean_auc_combined_id_jump,mean_auc_geodesic_baseline,mean_delta_auc_combined_minus_baseline,fraction_delta_positive,fraction_p_best_lt_0_05,combined_fisher_p_best
external_lung,source_disjoint,12,0.5395241913609325,0.5514051732820523,-0.011880981921119685,0.25,0.0,0.18806578279245423
external_lung,target_disjoint,12,0.5082213384553425,0.5040309577233816,0.004190380731960888,0.5,0.16666666666666666,0.09868526717553587
immune,source_disjoint,12,0.592341823392703,0.6054248099523963,-0.013082986559693357,0.3333333333333333,0.08333333333333333,0.01756520127776943
immune,target_disjoint,12,0.5719838173214703,0.5788507452200312,-0.0068669278985609705,0.5833333333333334,0.0,0.39898587630066396
lung,source_disjoint,12,0.5456642330630906,0.5448153184831078,0.0008489145799828549,0.5,0.0,0.6465103068381612
lung,target_disjoint,12,0.5228783146307074,0.5221851649597241,0.0006931496709833609,0.4166666666666667,0.08333333333333333,0.26485470524627974
