domain,split_regime,layer,train_domains,n_train_pairs,n_shared_target_symbols,n_edges_eval,n_positive_eval,auc_transfer,auc_baseline,delta_auc_transfer_minus_baseline,alignment_diag_cosine,p_random_map_upper,p_signature_destroy_upper,p_best_upper
external_lung,source_disjoint,7,immune+lung,440,220,994,610,0.40368639002732243,0.3959208504098361,0.007765539617486328,0.03728907182359365,0.88,1.0,0.88
external_lung,source_disjoint,11,immune+lung,440,220,994,610,0.3939186304644809,0.3681886099726776,0.025730020491803285,0.024765614156218058,0.88,1.0,0.88
external_lung,target_disjoint,7,immune+lung,440,220,817,502,0.3880984000505913,0.32359451084550683,0.06450388920508449,0.03728907182359365,0.92,1.0,0.92
external_lung,target_disjoint,11,immune+lung,440,220,817,502,0.3795105293113261,0.3467716435843926,0.03273888572693351,0.024765614156218058,0.92,1.0,0.92
immune,source_disjoint,7,external_lung+lung,440,220,1026,249,0.4111503930781039,0.4539935804996046,-0.04284318742150067,0.08290318572601042,0.92,1.0,0.92
immune,source_disjoint,11,external_lung+lung,440,220,1026,249,0.43576364660702005,0.39253797687532627,0.04322566973169378,0.06953595783218691,0.84,1.0,0.84
immune,target_disjoint,7,external_lung+lung,440,220,943,244,0.4059341213443093,0.43444088745045617,-0.028506766106146886,0.08290318572601042,0.96,1.0,0.96
immune,target_disjoint,11,external_lung+lung,440,220,943,244,0.43445847698116746,0.3776853350219283,0.05677314195923916,0.06953595783218691,0.92,1.0,0.92
lung,source_disjoint,7,external_lung+immune,440,220,970,627,0.3959039528319872,0.3931837943653196,0.0027201584666676215,-0.016705249991141456,0.88,1.0,0.88
lung,source_disjoint,11,external_lung+immune,440,220,970,627,0.4016837083432142,0.3768023955993881,0.0248813127438261,-0.05870065445076602,0.92,1.0,0.92
lung,target_disjoint,7,external_lung+immune,440,220,750,484,0.37240958801963586,0.3220693779904306,0.050340210029205246,-0.016705249991141456,0.92,1.0,0.92
lung,target_disjoint,11,external_lung+immune,440,220,750,484,0.38370331821288756,0.3325242341390667,0.05117908407382088,-0.05870065445076602,0.92,1.0,0.92
