hypothesis_id,domain,seed_tag,split_regime,layer,n_edges_eval,n_positive_eval,auc_h70,auc_multiscale_torsion_model,delta_vs_h70,q95_null_delta_auc,null_gap_q95,p_path_reversal_upper,p_endpoint_swap_upper,p_scale_order_upper,p_label_upper,p_best_upper,mean_scale_consistency,mean_sign_stability
H129,external_lung,seed42_main,source_disjoint,7,230,110,0.8598863636363636,0.8618939393939393,0.002007575757575708,0.04299242424242436,-0.04098484848484865,0.32,0.24,0.08,0.56,0.08,-0.15620506420773833,-0.030434782608695653
H129,external_lung,seed42_main,source_disjoint,11,230,110,0.8023106060606062,0.8302272727272727,0.02791666666666648,0.09594696969696964,-0.06803030303030316,0.32,0.16,0.12,0.8,0.12,-0.17336786850706012,-0.014492753623188404
H129,external_lung,seed42_main,target_disjoint,7,230,152,0.8888326585695007,0.8894230769230769,0.0005904183535762053,0.020200742240216035,-0.01961032388663983,0.16,0.52,0.28,0.48,0.16,-0.17246884510356053,-0.021739130434782605
H129,external_lung,seed42_main,target_disjoint,11,230,152,0.8354419703103914,0.8338394062078273,-0.0016025641025640969,0.02863529014844801,-0.03023785425101211,0.32,0.56,0.64,0.6,0.32,-0.1726984777307473,0.028985507246376805
H129,immune,seed42_main,source_disjoint,7,230,58,0.853448275862069,0.8553528468323978,0.0019045709703288116,0.06643444266238982,-0.06452987169206101,0.92,0.68,1.0,0.84,0.68,-0.1409710916721623,0.011594202898550725
H129,immune,seed42_main,source_disjoint,11,230,58,0.8501403368083399,0.8718925421010424,0.021752205292702498,0.06783781074578984,-0.04608560545308735,0.4,0.68,0.88,0.64,0.4,-0.16023477049086476,-0.007246376811594202
H129,immune,seed42_main,target_disjoint,7,230,57,0.8361220971503902,0.8958523476320859,0.05973025048169567,0.05805699219146149,0.0016732582902341808,0.16,0.04,0.08,0.08,0.04,-0.12085519289722839,-0.0217391304347826
H129,immune,seed42_main,target_disjoint,11,230,57,0.8468715140452286,0.8544772335462936,0.0076057195010649226,0.04036101815231724,-0.03275529865125232,0.8,0.08,0.84,0.4,0.08,-0.12860024903962738,-0.011594202898550721
H129,lung,seed42_main,source_disjoint,7,230,114,0.8556412583182095,0.859573502722323,0.00393224440411355,0.017279189352691904,-0.013346944948578354,0.12,0.08,0.6,0.08,0.08,-0.13281432616433617,0.03623188405797101
H129,lung,seed42_main,source_disjoint,11,230,114,0.8093617664851784,0.8634301270417424,0.054068360556563944,0.06904113732607375,-0.01497277676950981,0.08,0.04,0.8,0.04,0.04,-0.1676721369828323,0.030434782608695653
H129,lung,seed42_main,target_disjoint,7,230,147,0.8019014834849603,0.8064912712072781,0.004589787722317884,0.05979018113269402,-0.055200393410376136,1.0,0.16,1.0,0.04,0.04,-0.1851281997285053,-0.06956521739130433
H129,lung,seed42_main,target_disjoint,11,230,147,0.790099172199,0.8596016719940989,0.06950249979509882,0.0746660109827064,-0.005163511187607578,0.16,0.04,0.44,0.04,0.04,-0.22191767525909015,0.0057971014492753685
