domain,split_regime,n_rows,mean_auc_baseline_covariates,mean_auc_with_diffusion,mean_delta_auc_diffusion_incremental,median_delta_auc_diffusion_incremental,mean_gain_logloss_diffusion_incremental,fraction_delta_auc_positive,fraction_p_delta_auc_lt_0_05,combined_fisher_p_delta_auc
external_lung,source_disjoint,12,0.8066088818439283,0.809599586358297,0.0029907045143687805,0.0032196798603165155,0.002863298509355433,0.9166666666666666,0.16666666666666666,0.012386668102172335
external_lung,target_disjoint,12,0.8535109924249719,0.8540780272856922,0.0005670348607201836,0.00044795499663868865,0.0006541837030986977,1.0,0.0,0.9761428058559909
immune,source_disjoint,12,0.797711725361082,0.8071073134005609,0.009395588039478467,0.009523335837799685,0.0065858825518593745,1.0,0.6666666666666666,6.783992736720211e-08
immune,target_disjoint,12,0.7909750893018024,0.7959177160366767,0.00494262673487425,0.005311082335904049,0.0027313928043987364,1.0,0.08333333333333333,0.038400741546231035
lung,source_disjoint,12,0.8108037500220734,0.8129070699504045,0.002103319928331182,0.0020825766286204916,0.0017637543116776622,1.0,0.08333333333333333,0.48222947023752716
lung,target_disjoint,12,0.8371396081387895,0.8379069803776654,0.0007673722388759167,0.0005642262639529161,0.001172697828040331,0.9166666666666666,0.0,0.8092612535077723
