domain,seed_tag,split_regime,layer,n_edges,n_positive,n_unique_genes,pca_dim,knn_k,used_component_bridging,coexp_missing_fraction,auc_detour_ratio,auc_convexity_deficit,auc_geodesic_baseline,auc_combo_convexity_detour,delta_auc_combo_minus_geodesic,p_auc_combo_upper,p_delta_combo_upper,null_mean_auc_combo
external_lung,seed42_main,source_disjoint,0,1157,467,260,24,24,True,0.0,0.49581510101480314,0.45057257238618376,0.5764345343388262,0.5786875834031592,0.0022530490643329903,0.03305785123966942,0.2231404958677686,0.5725006723975627
external_lung,seed42_main,source_disjoint,3,1157,467,260,24,24,True,0.0,0.49581510101480314,0.45416317537162904,0.5839648698134873,0.5876516773733048,0.00368680755981754,0.2809917355371901,0.4049586776859504,0.5852300763429847
external_lung,seed42_main,source_disjoint,7,1157,467,260,24,24,True,0.0,0.4393150854979363,0.45490643329298946,0.5880644260310959,0.5809933898147286,-0.007071036216367288,0.2727272727272727,0.8925619834710744,0.5788909836659115
external_lung,seed42_main,source_disjoint,11,1157,467,260,24,24,True,0.0,0.49581510101480314,0.4778450175340595,0.5794029109642181,0.5755950718430934,-0.003807839121124701,0.8429752066115702,0.6859504132231405,0.5789703007168793
external_lung,seed42_main,target_disjoint,0,1770,1037,260,24,24,True,0.0,0.5090564528542166,0.5113218816477902,0.5112297910464255,0.5306951130149016,0.019465321968476057,0.7355371900826446,0.6859504132231405,0.5349646690022598
external_lung,seed42_main,target_disjoint,3,1770,1037,260,24,24,True,0.0,0.5090564528542166,0.5025449895477168,0.5081151553502666,0.5256406545799945,0.017525499229727903,0.8181818181818182,0.6942148760330579,0.5307365866750161
external_lung,seed42_main,target_disjoint,7,1770,1037,260,24,24,True,0.0,0.5090564528542166,0.4905094057393494,0.5069567871430996,0.5332499694127645,0.026293182269664928,0.24793388429752067,0.10743801652892562,0.5296659512103994
external_lung,seed42_main,target_disjoint,11,1770,1037,260,24,24,True,0.0,0.5090564528542166,0.49353195083414353,0.5025969549584868,0.5246737032656642,0.02207674830717743,0.09090909090909091,0.049586776859504134,0.5178073019514876
immune,seed42_main,source_disjoint,0,1340,321,260,24,24,True,0.0,0.5100229594098423,0.4453330643016335,0.6017963980323999,0.627027291431646,0.025230893399246113,0.09090909090909091,0.2975206611570248,0.619864933857945
immune,seed42_main,source_disjoint,3,1340,321,260,24,24,True,0.0,0.5100229594098423,0.43849262761426966,0.5966511667721394,0.6212339383489403,0.024582771576800888,0.08264462809917356,0.10743801652892562,0.6118029633230307
immune,seed42_main,source_disjoint,7,1340,321,260,24,24,True,0.0,0.5100290737666578,0.4680295568008461,0.5864891057447439,0.6035512184384544,0.017062112693710496,0.1322314049586777,0.19834710743801653,0.597687027984392
immune,seed42_main,source_disjoint,11,1340,321,260,24,24,True,0.0,0.5100290737666578,0.4629194830922747,0.59090367136555,0.6104054124286531,0.019501741063103095,0.09917355371900827,0.03305785123966942,0.6029193378763005
immune,seed42_main,target_disjoint,0,1465,357,227,24,24,True,0.0,0.5095726016038185,0.4396988037092094,0.5840209730101427,0.6089175742499165,0.024896601239773886,0.024793388429752067,0.024793388429752067,0.5959104399882696
immune,seed42_main,target_disjoint,3,1465,357,227,24,24,True,0.0,0.4047720171100931,0.44176425082668447,0.5995446915228184,0.5895751802526065,-0.00996951127021195,0.5619834710743802,0.3305785123966942,0.5900442457368025
immune,seed42_main,target_disjoint,7,1465,357,227,24,24,True,0.0,0.5095726016038185,0.4467787114845938,0.5651273144636916,0.5891365571499358,0.02400924268624427,0.04132231404958678,0.04132231404958678,0.577984238219957
immune,seed42_main,target_disjoint,11,1465,357,227,24,24,True,0.0,0.4528423282670469,0.4576671823964243,0.5753483703950895,0.5723690198100901,-0.0029793505849993185,0.8512396694214877,0.743801652892562,0.5759157468643293
lung,seed42_main,source_disjoint,0,1152,510,259,24,24,True,0.0,0.48704110927860245,0.4854498808869342,0.5140660313969825,0.5209730621220451,0.006907030725062602,0.628099173553719,0.5950413223140496,0.5231308283957404
lung,seed42_main,source_disjoint,3,1152,510,259,24,24,True,0.0,0.5159260277319652,0.4655717427157779,0.5145058334860424,0.5682930181418362,0.053787184655793796,0.01652892561983471,0.008264462809917356,0.54309737238613
lung,seed42_main,source_disjoint,7,1152,510,259,24,24,True,0.0,0.5159474070001833,0.47982560625496307,0.5358591411642538,0.5746380795308778,0.03877893836662394,0.008264462809917356,0.008264462809917356,0.5459528918005415
lung,seed42_main,source_disjoint,11,1152,510,259,24,24,True,0.0,0.5159015942825729,0.4865829821024983,0.5284374809113677,0.5633925844481095,0.034955103536741805,0.024793388429752067,0.01652892561983471,0.5473492888848166
lung,seed42_main,target_disjoint,0,1500,831,259,24,24,True,0.0,0.5080593374452953,0.4689201513115648,0.5215185478982406,0.5504857547320839,0.02896720683384335,0.04132231404958678,0.024793388429752067,0.5369440112434399
lung,seed42_main,target_disjoint,3,1500,831,259,24,24,True,0.0,0.508064733720786,0.4709590440677844,0.5200273771043226,0.5487004869239251,0.028673109819602582,0.01652892561983471,0.024793388429752067,0.533980991319791
lung,seed42_main,target_disjoint,7,1500,831,259,24,24,True,0.0,0.508062934962289,0.477991290411358,0.5229872342109476,0.5432160722669214,0.020228838055973752,0.1322314049586777,0.11570247933884298,0.5360839948267706
lung,seed42_main,target_disjoint,11,1500,831,259,24,24,True,0.0,0.4977830301525887,0.4855775543719724,0.5133359954959087,0.5077814292575266,-0.00555456623838213,1.0,0.9669421487603306,0.5266924293852383
