domain,n_symbols,n_edges_eval,n_positive_eval,auc_independent,auc_cycle_consistent,delta_auc_cycle_minus_independent,top1_independent,top1_cycle_consistent,distance_spearman_independent,distance_spearman_cycle_consistent,knn_jaccard_independent,knn_jaccard_cycle_consistent,null_mean_edge_auc,p_edge_auc_cycle_upper_vs_random
external_lung,260,895,572,0.5795914611704085,0.5792829461560112,-0.00030851501439732587,0.5538461538461539,0.5307692307692308,0.3304474460629284,0.33044099968045176,0.18381291943747288,0.18381291943747288,0.5796124516930437,0.9503105590062112
immune,260,2102,572,0.5980809223456283,0.5980700671877142,-1.085515791410252e-05,0.676923076923077,0.6615384615384615,0.3557995918074263,0.35579851611315105,0.21311459141001887,0.21331702055981644,0.5980748484562823,0.6832298136645962
lung,260,830,572,0.5890558085325528,0.5892387651108582,0.00018295657830535994,0.6346153846153846,0.6038461538461538,0.3252740737466769,0.3252753208518956,0.17863709284285614,0.17698325991967334,0.5891419082371119,0.14285714285714285
