domain,seed_tag,split_regime,layer,perm_idx,null_delta_auc,null_gain_logloss
external_lung,seed42_main,source_disjoint,0,0,0.0009930794773920226,0.0008174427888543168
external_lung,seed42_main,source_disjoint,0,1,0.003931974055798593,0.0036383752161361915
external_lung,seed42_main,source_disjoint,0,2,0.0027495888030287796,0.0025158853298055117
external_lung,seed42_main,source_disjoint,0,3,0.0030785463799147816,0.0025349277328879927
external_lung,seed42_main,source_disjoint,0,4,0.0030444092728794114,0.0030646990876476154
external_lung,seed42_main,source_disjoint,0,5,0.0031406138472518386,0.0032967501064052884
external_lung,seed42_main,source_disjoint,0,6,0.0024206312261427776,0.0019085630074978654
external_lung,seed42_main,source_disjoint,0,7,0.002293392918101933,0.0027101547351152666
external_lung,seed42_main,source_disjoint,0,8,0.002597523508053312,0.002365185605954556
external_lung,seed42_main,source_disjoint,0,9,0.003500605157806591,0.0036400990631523245
external_lung,seed42_main,source_disjoint,0,10,0.0017378890854358175,0.0010660103245961894
external_lung,seed42_main,source_disjoint,0,11,0.002852000124134779,0.003289346372970292
external_lung,seed42_main,source_disjoint,0,12,0.0032647487819259524,0.0030970481922527604
external_lung,seed42_main,source_disjoint,0,13,0.0019458151010146585,0.002111236716828002
external_lung,seed42_main,source_disjoint,0,14,0.0028364832573007925,0.0025789005912941754
external_lung,seed42_main,source_disjoint,0,15,0.0027868292834311026,0.00271510846522649
external_lung,seed42_main,source_disjoint,0,16,0.0012537628402071732,0.0010654910756127123
external_lung,seed42_main,source_disjoint,0,17,0.0030102721658442633,0.002667998117525605
external_lung,seed42_main,source_disjoint,0,18,0.004962294013592827,0.004530651887593384
external_lung,seed42_main,source_disjoint,0,19,0.0018434037799086589,0.0017767960294099439
external_lung,seed42_main,source_disjoint,0,20,0.002256152437699721,0.001952632339436322
external_lung,seed42_main,source_disjoint,0,21,0.0015765136703596028,0.0015843121501655233
external_lung,seed42_main,source_disjoint,0,22,0.0012010054929707525,0.0008881792874458894
external_lung,seed42_main,source_disjoint,0,23,0.0037861155075566977,0.004234214537384484
external_lung,seed42_main,source_disjoint,0,24,0.003683704186450587,0.0028048647863910814
external_lung,seed42_main,source_disjoint,0,25,0.002597523508053201,0.002888139005374102
external_lung,seed42_main,source_disjoint,0,26,0.0016416845110633904,0.0015151270982093346
external_lung,seed42_main,source_disjoint,0,27,0.0030040654191104688,0.002476993726491794
external_lung,seed42_main,source_disjoint,0,28,0.0030040654191104688,0.0023837386611830214
external_lung,seed42_main,source_disjoint,0,29,0.0033144027557954203,0.0029215411069803965
external_lung,seed42_main,source_disjoint,0,30,0.0022964962914686637,0.003324337780965525
external_lung,seed42_main,source_disjoint,0,31,0.0038357694814262766,0.0033148662050840327
external_lung,seed42_main,source_disjoint,0,32,0.0010830773050305442,0.001182334621347092
external_lung,seed42_main,source_disjoint,0,33,0.001660304751264552,0.0018990141420911488
external_lung,seed42_main,source_disjoint,0,34,0.001902367873878874,0.0018124919222630709
external_lung,seed42_main,source_disjoint,0,35,0.002588213387952676,0.002344771819385194
external_lung,seed42_main,source_disjoint,0,36,0.005058498587965032,0.003985995205741055
external_lung,seed42_main,source_disjoint,0,37,0.0018434037799086589,0.002030362567070898
external_lung,seed42_main,source_disjoint,0,38,0.002135120876392449,0.0018537378956207107
external_lung,seed42_main,source_disjoint,0,39,0.0020544331688545636,0.002370155195056234
external_lung,seed42_main,source_disjoint,0,40,0.0040933494708748075,0.0044715139218385325
external_lung,seed42_main,source_disjoint,0,41,0.002442354839710781,0.0022330505141260337
external_lung,seed42_main,source_disjoint,0,42,0.0036681873196163783,0.004143706617795062
external_lung,seed42_main,source_disjoint,0,43,0.0023740806256400404,0.0024755764015407244
external_lung,seed42_main,source_disjoint,0,44,0.003112683486950374,0.0034936639140807912
external_lung,seed42_main,source_disjoint,0,45,0.0024206312261427776,0.002860492317783625
external_lung,seed42_main,source_disjoint,0,46,0.004403686807559759,0.003913221595290506
external_lung,seed42_main,source_disjoint,0,47,0.0016323743909629762,0.0016711835241182138
external_lung,seed42_main,source_disjoint,0,48,0.0022871861713682495,0.002408941073371196
external_lung,seed42_main,source_disjoint,0,49,0.0035316388914750085,0.003984906472362826
external_lung,seed42_main,source_disjoint,0,50,0.0018527139000091841,0.0022221196646222685
external_lung,seed42_main,source_disjoint,0,51,0.003308196009061737,0.00339592635324526
external_lung,seed42_main,source_disjoint,0,52,0.0026037302547868846,0.002770210289467112
external_lung,seed42_main,source_disjoint,0,53,0.004952983893492191,0.005570296425015053
external_lung,seed42_main,source_disjoint,0,54,0.002402010985941616,0.0028221488355185675
external_lung,seed42_main,source_disjoint,0,55,0.002650280855289733,0.0021981182240750075
external_lung,seed42_main,source_disjoint,0,56,0.002122707382925193,0.0016835563927272146
external_lung,seed42_main,source_disjoint,0,57,0.002318219905036667,0.0024307297860299837
external_lung,seed42_main,source_disjoint,0,58,0.003562672625143426,0.0030846322456569153
external_lung,seed42_main,source_disjoint,0,59,0.0028240697638333145,0.0028256221737026355
external_lung,seed42_main,source_disjoint,0,60,0.0022406355708655123,0.002155719295373837
external_lung,seed42_main,source_disjoint,0,61,0.004170933805045962,0.004656189251885823
external_lung,seed42_main,source_disjoint,0,62,0.004139900071377545,0.00406615565140489
external_lung,seed42_main,source_disjoint,0,63,0.0028271731372000453,0.002463974951038894
external_lung,seed42_main,source_disjoint,0,64,0.0023151165316699363,0.002261123387078623
external_lung,seed42_main,source_disjoint,0,65,0.002706141575892884,0.0029063250030958443
external_lung,seed42_main,source_disjoint,0,66,0.002755795549762574,0.0029064931434341634
external_lung,seed42_main,source_disjoint,0,67,0.003537845638208581,0.0031071314050822307
external_lung,seed42_main,source_disjoint,0,68,0.0019085746206125576,0.001856228243864777
external_lung,seed42_main,source_disjoint,0,69,0.0032988858889613226,0.0028432016179493758
external_lung,seed42_main,source_disjoint,0,70,0.0022375321974987816,0.0020847965205618157
external_lung,seed42_main,source_disjoint,0,71,0.0025447661608167804,0.002666767483454402
external_lung,seed42_main,source_disjoint,0,72,0.0030288924060454248,0.0027396369428087652
external_lung,seed42_main,source_disjoint,0,73,0.001269279707041493,0.0012694170213750633
external_lung,seed42_main,source_disjoint,0,74,0.003075443006548051,0.0036808042334187663
external_lung,seed42_main,source_disjoint,0,75,0.003112683486950263,0.003111088308580645
external_lung,seed42_main,source_disjoint,0,76,0.0025695931477515144,0.002842859284683863
external_lung,seed42_main,source_disjoint,0,77,0.0015082394562889734,0.0013483038162922512
external_lung,seed42_main,source_disjoint,0,78,0.0031871644477545757,0.003250181541513686
external_lung,seed42_main,source_disjoint,0,79,0.0044471340346956545,0.0038774602749483966
external_lung,seed42_main,source_disjoint,3,0,0.004025075256804178,0.0038218934119765846
external_lung,seed42_main,source_disjoint,3,1,0.0019054712472458268,0.0015148018886581571
external_lung,seed42_main,source_disjoint,3,2,0.0029326878316729976,0.002786020927318611
external_lung,seed42_main,source_disjoint,3,3,0.002755795549762685,0.002312894418139977
external_lung,seed42_main,source_disjoint,3,4,0.0033981938367005915,0.0028899067221452857
external_lung,seed42_main,source_disjoint,3,5,0.004835055705551983,0.004612587559318593
external_lung,seed42_main,source_disjoint,3,6,0.0021754647301616137,0.0020384747173259887
external_lung,seed42_main,source_disjoint,3,7,0.004018868510070495,0.00498443419652439
external_lung,seed42_main,source_disjoint,3,8,0.003121993607050899,0.003382186626685768
external_lung,seed42_main,source_disjoint,3,9,0.002259255811066674,0.0020093413991941755
external_lung,seed42_main,source_disjoint,3,10,0.0028830338578034187,0.002921374103178054
external_lung,seed42_main,source_disjoint,3,11,0.0020823635291561393,0.0014015647112703977
external_lung,seed42_main,source_disjoint,3,12,0.0031064767402166904,0.002846772849934176
external_lung,seed42_main,source_disjoint,3,13,0.0020327095552867824,0.00209628933329864
external_lung,seed42_main,source_disjoint,3,14,0.0025789032678522616,0.002157938847458296
external_lung,seed42_main,source_disjoint,3,15,0.002917170964838678,0.0030408825761438774
external_lung,seed42_main,source_disjoint,3,16,0.004403686807559759,0.003701771738842008
external_lung,seed42_main,source_disjoint,3,17,0.0019427117276479278,0.0017741698599967881
external_lung,seed42_main,source_disjoint,3,18,0.0016199608974956092,0.0013580312685023133
external_lung,seed42_main,source_disjoint,3,19,0.002194084970362775,0.002663855422731398
external_lung,seed42_main,source_disjoint,3,20,0.0033144027557956424,0.003612727371072877
external_lung,seed42_main,source_disjoint,3,21,0.0029699283120753206,0.002988676658370548
external_lung,seed42_main,source_disjoint,3,22,0.0014368618688513912,0.0013105942374841417
external_lung,seed42_main,source_disjoint,3,23,0.0018340936598082447,0.0014064941531023445
external_lung,seed42_main,source_disjoint,3,24,0.0014865158427209701,0.0014402922934877438
external_lung,seed42_main,source_disjoint,3,25,0.0018496105266424534,0.001406919581277144
external_lung,seed42_main,source_disjoint,3,26,0.0037302547869534353,0.0029701585071767456
external_lung,seed42_main,source_disjoint,3,27,0.0016634081246315047,0.0012700051867813311
external_lung,seed42_main,source_disjoint,3,28,0.0018589206467430897,0.0020466258310771757
external_lung,seed42_main,source_disjoint,3,29,0.0029575148186078426,0.002269895475406014
external_lung,seed42_main,source_disjoint,3,30,0.00273096856282784,0.003200013050457584
external_lung,seed42_main,source_disjoint,3,31,0.0024671818266455148,0.0023449468763065973
external_lung,seed42_main,source_disjoint,3,32,0.002650280855289733,0.0023162384890054177
external_lung,seed42_main,source_disjoint,3,33,0.0046550600502746065,0.005181624124124484
external_lung,seed42_main,source_disjoint,3,34,0.004754367998013986,0.0038451071919969326
external_lung,seed42_main,source_disjoint,3,35,0.0033144027557955313,0.002951677398676189
external_lung,seed42_main,source_disjoint,3,36,0.0024826986934799455,0.001983859553413736
external_lung,seed42_main,source_disjoint,3,37,0.002613040374887521,0.002135341841089322
external_lung,seed42_main,source_disjoint,3,38,0.0036557738261490114,0.002742100076260301
external_lung,seed42_main,source_disjoint,3,39,0.0031282003537845826,0.00287746801896982
external_lung,seed42_main,source_disjoint,3,40,0.003745771653787755,0.0032339407748800397
external_lung,seed42_main,source_disjoint,3,41,0.0020047791949849847,0.002138370508420584
external_lung,seed42_main,source_disjoint,3,42,0.002380287372373835,0.0017206917578237446
external_lung,seed42_main,source_disjoint,3,43,0.0019551252211152947,0.0020068551435632465
external_lung,seed42_main,source_disjoint,3,44,0.001073767184930019,0.0012786826255699602
external_lung,seed42_main,source_disjoint,3,45,0.0025199391738819354,0.0021330871095923687
external_lung,seed42_main,source_disjoint,3,46,0.004707817397511138,0.005278852647662369
external_lung,seed42_main,source_disjoint,3,47,0.0029606181919746843,0.003010751657997801
external_lung,seed42_main,source_disjoint,3,48,0.002966824938708368,0.002618597092700403
external_lung,seed42_main,source_disjoint,3,49,0.00290165409800458,0.002834186830126373
external_lung,seed42_main,source_disjoint,3,50,0.003525432144741436,0.003539614141190972
external_lung,seed42_main,source_disjoint,3,51,0.005254011110076728,0.004796633748230694
external_lung,seed42_main,source_disjoint,3,52,0.0015299630698569766,0.0007667934969143309
external_lung,seed42_main,source_disjoint,3,53,0.005877789156813473,0.004905917763153522
external_lung,seed42_main,source_disjoint,3,54,0.003333022995996582,0.003218933878504915
external_lung,seed42_main,source_disjoint,3,55,0.002035812928653402,0.0011753714719781039
external_lung,seed42_main,source_disjoint,3,56,0.002318219905036889,0.002304976416431015
external_lung,seed42_main,source_disjoint,3,57,0.0025789032678521506,0.002187183926941838
external_lung,seed42_main,source_disjoint,3,58,0.005148496415603776,0.0036474917711224464
external_lung,seed42_main,source_disjoint,3,59,0.0048505725723861914,0.004429468690751226
external_lung,seed42_main,source_disjoint,3,60,0.0006734320206064348,0.0009343600839932797
external_lung,seed42_main,source_disjoint,3,61,0.002647177481922891,0.002696046794399498
external_lung,seed42_main,source_disjoint,3,62,0.0009434255035224437,0.0011209468630124508
external_lung,seed42_main,source_disjoint,3,63,0.0028644136176025903,0.002294704257296387
external_lung,seed42_main,source_disjoint,3,64,0.002625453868354888,0.0028613684579121834
external_lung,seed42_main,source_disjoint,3,65,0.0023616671321726734,0.0020178817720938325
external_lung,seed42_main,source_disjoint,3,66,0.0032150948080563735,0.002251197588107212
external_lung,seed42_main,source_disjoint,3,67,0.0021165006361915095,0.0012030395338147315
external_lung,seed42_main,source_disjoint,3,68,0.0021289141296589875,0.0023775504229177624
external_lung,seed42_main,source_disjoint,3,69,0.0018465071532756117,0.0011782538940047216
external_lung,seed42_main,source_disjoint,3,70,0.0024982155603141543,0.0021258902221249487
external_lung,seed42_main,source_disjoint,3,71,0.002259255811066674,0.0021604174354972194
external_lung,seed42_main,source_disjoint,3,72,0.005489867485957256,0.005245258429967814
external_lung,seed42_main,source_disjoint,3,73,0.003956801042733549,0.003995839073471785
external_lung,seed42_main,source_disjoint,3,74,0.0039009403221302863,0.003573823086499006
external_lung,seed42_main,source_disjoint,3,75,0.003208888061322801,0.003517259578700971
external_lung,seed42_main,source_disjoint,3,76,0.0019427117276481498,0.0019738793843234737
external_lung,seed42_main,source_disjoint,3,77,0.0030164789125780578,0.002657973823342319
external_lung,seed42_main,source_disjoint,3,78,0.00428265524625282,0.0040349210064259955
external_lung,seed42_main,source_disjoint,3,79,0.003795425627657334,0.004233793898854921
external_lung,seed42_main,source_disjoint,7,0,0.001927194860813719,0.0022436740012770073
external_lung,seed42_main,source_disjoint,7,1,0.003953697669366596,0.0045355591059980105
external_lung,seed42_main,source_disjoint,7,2,0.00532849207088093,0.004374354867381691
external_lung,seed42_main,source_disjoint,7,3,0.002097880395990348,0.0025087664503503637
external_lung,seed42_main,source_disjoint,7,4,0.0012010054929707525,0.0014586156734537337
external_lung,seed42_main,source_disjoint,7,5,0.0036433603326816444,0.0043979747721736295
external_lung,seed42_main,source_disjoint,7,6,0.0019799522080501397,0.0028140438431888404
external_lung,seed42_main,source_disjoint,7,7,0.001973745461316345,0.0023270921598340655
external_lung,seed42_main,source_disjoint,7,8,0.0013716910281476036,0.0016820253690431608
external_lung,seed42_main,source_disjoint,7,9,0.00247649194674604,0.0021402188983555837
external_lung,seed42_main,source_disjoint,7,10,0.002488905440213296,0.0033265803128125215
external_lung,seed42_main,source_disjoint,7,11,0.0020947770226236173,0.00212752506205105
external_lung,seed42_main,source_disjoint,7,12,0.002076156782422456,0.002294557782888451
external_lung,seed42_main,source_disjoint,7,13,0.0016509946311640267,0.0018220295920621243
external_lung,seed42_main,source_disjoint,7,14,0.0018216801663407667,0.0016322932189866135
external_lung,seed42_main,source_disjoint,7,15,0.0010892840517642277,0.001132006805912189
external_lung,seed42_main,source_disjoint,7,16,0.004928156906557457,0.006081475611891096
external_lung,seed42_main,source_disjoint,7,17,0.0020420196753870856,0.0021049115379364602
external_lung,seed42_main,source_disjoint,7,18,0.001073767184929908,0.0013647329585548817
external_lung,seed42_main,source_disjoint,7,19,0.0006765353939732766,0.0009779796618344383
external_lung,seed42_main,source_disjoint,7,20,0.0033702634763987938,0.003366621810768522
external_lung,seed42_main,source_disjoint,7,21,0.0014492753623188692,0.002081458695624261
external_lung,seed42_main,source_disjoint,7,22,0.001390311268348654,0.0016733129875879937
external_lung,seed42_main,source_disjoint,7,23,0.002929584458306156,0.002657739819979188
external_lung,seed42_main,source_disjoint,7,24,0.0017223722186017199,0.001997948398946514
external_lung,seed42_main,source_disjoint,7,25,0.00337957359649943,0.0031405845921682607
external_lung,seed42_main,source_disjoint,7,26,0.0030195822859446775,0.0029314040692408616
external_lung,seed42_main,source_disjoint,7,27,0.001635477764329818,0.001509895190945798
external_lung,seed42_main,source_disjoint,7,28,0.0039009403221300643,0.0031789159441685255
external_lung,seed42_main,source_disjoint,7,29,0.0017254755919683396,0.0017955662070613387
external_lung,seed42_main,source_disjoint,7,30,0.0016540980045308684,0.002153725445711019
external_lung,seed42_main,source_disjoint,7,31,0.006054681438723786,0.006106948060028761
external_lung,seed42_main,source_disjoint,7,32,0.002758898923129416,0.0028659155909098732
external_lung,seed42_main,source_disjoint,7,33,0.0033981938367003695,0.004148962887048024
external_lung,seed42_main,source_disjoint,7,34,0.002256152437699832,0.0030721093408292433
external_lung,seed42_main,source_disjoint,7,35,0.002855103497501732,0.00224415462798333
external_lung,seed42_main,source_disjoint,7,36,0.0026689010954906722,0.0028132183879003847
external_lung,seed42_main,source_disjoint,7,37,0.0013003134407100214,0.0014376614732477533
external_lung,seed42_main,source_disjoint,7,38,0.0017968531794059217,0.0016681519865461292
external_lung,seed42_main,source_disjoint,7,39,0.00102411321106044,0.0015949121848308767
external_lung,seed42_main,source_disjoint,7,40,0.0014089315085498155,0.0016099309944542783
external_lung,seed42_main,source_disjoint,7,41,0.00384197622815996,0.004406343708053262
external_lung,seed42_main,source_disjoint,7,42,0.0030444092728796335,0.002410807238057311
external_lung,seed42_main,source_disjoint,7,43,0.0017999565527728745,0.001997318792524294
external_lung,seed42_main,source_disjoint,7,44,0.0027278651894608874,0.0024113961251424065
external_lung,seed42_main,source_disjoint,7,45,0.001973745461316345,0.0021786965626436894
external_lung,seed42_main,source_disjoint,7,46,0.001927194860813719,0.001829880321991162
external_lung,seed42_main,source_disjoint,7,47,0.003699221053284907,0.003329930503097711
external_lung,seed42_main,source_disjoint,7,48,0.003047512646246364,0.003731464667307338
external_lung,seed42_main,source_disjoint,7,49,0.0021382242497594017,0.0016792022758926883
external_lung,seed42_main,source_disjoint,7,50,0.0028861372311701494,0.0025465028785681687
external_lung,seed42_main,source_disjoint,7,51,0.0020420196753870856,0.002304483624929299
external_lung,seed42_main,source_disjoint,7,52,0.0027744157899637356,0.002753919124558024
external_lung,seed42_main,source_disjoint,7,53,0.0030040654191104688,0.0032904738053347593
external_lung,seed42_main,source_disjoint,7,54,0.0003879216708561062,0.0013083475269524136
external_lung,seed42_main,source_disjoint,7,55,0.0022654625578003573,0.002092966673732266
external_lung,seed42_main,source_disjoint,7,56,0.0016168575241286565,0.0017960640921950155
external_lung,seed42_main,source_disjoint,7,57,0.002526145920615619,0.0027553744360293564
external_lung,seed42_main,source_disjoint,7,58,0.0011265245321664397,0.0012787925820095802
external_lung,seed42_main,source_disjoint,7,59,0.002746485429661938,0.0033202197135225875
external_lung,seed42_main,source_disjoint,7,60,0.0021754647301617247,0.0021679156247651488
external_lung,seed42_main,source_disjoint,7,61,0.0024454582130775115,0.0024562391577389597
external_lung,seed42_main,source_disjoint,7,62,0.0028985507246377384,0.00360319551504118
external_lung,seed42_main,source_disjoint,7,63,0.00404679887037207,0.00456546716089179
external_lung,seed42_main,source_disjoint,7,64,0.0020575365422214054,0.0020883669893621004
external_lung,seed42_main,source_disjoint,7,65,0.0029730316854420513,0.0032298456731181258
external_lung,seed42_main,source_disjoint,7,66,0.0023958042392080436,0.002950407437401714
external_lung,seed42_main,source_disjoint,7,67,0.00503677497439714,0.0061109401626238125
external_lung,seed42_main,source_disjoint,7,68,0.0019675387145827727,0.0026455773789633152
external_lung,seed42_main,source_disjoint,7,69,0.0008968749030195955,0.0011644869948335135
external_lung,seed42_main,source_disjoint,7,70,0.00264717748192278,0.0031002359040898098
external_lung,seed42_main,source_disjoint,7,71,0.003969214536200694,0.0045910029153864995
external_lung,seed42_main,source_disjoint,7,72,0.003779908760822903,0.004027926781162927
external_lung,seed42_main,source_disjoint,7,73,0.005852962169878628,0.007209148957645128
external_lung,seed42_main,source_disjoint,7,74,0.0024578717065448785,0.0023716653607838145
external_lung,seed42_main,source_disjoint,7,75,0.0014927225894547647,0.001607869881290025
external_lung,seed42_main,source_disjoint,7,76,0.002488905440213518,0.00288533223108578
external_lung,seed42_main,source_disjoint,7,77,0.0023492536387050844,0.0017801419126238782
external_lung,seed42_main,source_disjoint,7,78,0.0008999782763863262,0.0012435258392534676
external_lung,seed42_main,source_disjoint,7,79,0.0026689010954906722,0.003094638990493226
external_lung,seed42_main,source_disjoint,11,0,0.0012506594668403315,0.0012935076437233795
external_lung,seed42_main,source_disjoint,11,1,0.0007106725010086468,0.0008606024654280731
external_lung,seed42_main,source_disjoint,11,2,0.0016323743909630872,0.0011973727564685843
external_lung,seed42_main,source_disjoint,11,3,-4.344722713589544e-05,0.0001097892634139841
external_lung,seed42_main,source_disjoint,11,4,0.0017720261924711878,0.0016580244217081486
external_lung,seed42_main,source_disjoint,11,5,0.0014989293361885592,0.0015219168415661066
external_lung,seed42_main,source_disjoint,11,6,0.00022033950904631894,0.00038807063545998055
external_lung,seed42_main,source_disjoint,11,7,0.000865841169351067,0.0011051881757518922
external_lung,seed42_main,source_disjoint,11,8,0.0006765353939731655,0.0014418298922460604
external_lung,seed42_main,source_disjoint,11,9,0.0006982590075411688,0.0010557223967190277
external_lung,seed42_main,source_disjoint,11,10,0.0038978369487632225,0.0034425198391363487
external_lung,seed42_main,source_disjoint,11,11,0.0018620240201100424,0.00190315599555968
external_lung,seed42_main,source_disjoint,11,12,0.00431989572665481,0.0050885106957536674
external_lung,seed42_main,source_disjoint,11,13,0.0007727399683455927,0.0008080759912524327
external_lung,seed42_main,source_disjoint,11,14,0.0026409707351889855,0.0027344096151861175
external_lung,seed42_main,source_disjoint,11,15,0.001706855351767289,0.0022213042285003093
external_lung,seed42_main,source_disjoint,11,16,0.003904043695497017,0.004002016152632959
external_lung,seed42_main,source_disjoint,11,17,0.0005648139527666407,0.0013510415921635932
external_lung,seed42_main,source_disjoint,11,18,0.0005524004592992737,0.0006182765451795413
external_lung,seed42_main,source_disjoint,11,19,0.0018868510070447764,0.002007449967404984
external_lung,seed42_main,source_disjoint,11,20,0.0007851534618129596,0.0007444286152541446
external_lung,seed42_main,source_disjoint,11,21,0.0026037302547868846,0.002146261513702785
external_lung,seed42_main,source_disjoint,11,22,0.002622350494988157,0.0025949159167946156
external_lung,seed42_main,source_disjoint,11,23,0.0008565310492504308,0.000537158200022092
external_lung,seed42_main,source_disjoint,11,24,0.00039412841758978967,0.0006183551721336
external_lung,seed42_main,source_disjoint,11,25,0.001135834652267076,0.0011238463698642898
external_lung,seed42_main,source_disjoint,11,26,0.0005710206995003242,0.0005862878565171536
external_lung,seed42_main,source_disjoint,11,27,0.0021754647301616137,0.0015002851436780595
external_lung,seed42_main,source_disjoint,11,28,0.002758898923129416,0.002532299916529812
external_lung,seed42_main,source_disjoint,11,29,4.655060050273718e-05,0.00022294341681039498
external_lung,seed42_main,source_disjoint,11,30,0.00010241132110611062,0.00010392350972532327
external_lung,seed42_main,source_disjoint,11,31,0.0025447661608167804,0.001896966974868186
external_lung,seed42_main,source_disjoint,11,32,0.0010892840517643387,0.0011577683266577043
external_lung,seed42_main,source_disjoint,11,33,0.0005803308196009604,0.0010481063124199164
external_lung,seed42_main,source_disjoint,11,34,0.001281693200508971,0.0013866670513912327
external_lung,seed42_main,source_disjoint,11,35,0.0016665114979982354,0.0014567265317104727
external_lung,seed42_main,source_disjoint,11,36,0.0003072339633181098,0.0005956326892317954
external_lung,seed42_main,source_disjoint,11,37,0.001464792229153078,0.0017949691751169006
external_lung,seed42_main,source_disjoint,11,38,0.0032523352884584744,0.0027260237082338268
external_lung,seed42_main,source_disjoint,11,39,0.0014306551221178188,0.0012927669980311585
external_lung,seed42_main,source_disjoint,11,40,0.002209601837196984,0.0019219876562729388
external_lung,seed42_main,source_disjoint,11,41,0.002938894578406792,0.002835642194125021
external_lung,seed42_main,source_disjoint,11,42,7.448096080431288e-05,0.0001550037370574575
external_lung,seed42_main,source_disjoint,11,43,0.0026999348291593117,0.002644150279449753
external_lung,seed42_main,source_disjoint,11,44,0.002498215560313932,0.002269292088325714
external_lung,seed42_main,source_disjoint,11,45,0.003463364677404379,0.003672596154633556
external_lung,seed42_main,source_disjoint,11,46,0.0010675604381963355,0.001536044440556994
external_lung,seed42_main,source_disjoint,11,47,0.0003382676969866383,0.00042528226648752554
external_lung,seed42_main,source_disjoint,11,48,0.0028147596437327893,0.002626766448498019
external_lung,seed42_main,source_disjoint,11,49,0.00048102287186158055,0.0006439100322664926
external_lung,seed42_main,source_disjoint,11,50,0.00017378890854347073,0.0005253405402338984
external_lung,seed42_main,source_disjoint,11,51,0.0003010272165844263,0.0002960035054699883
external_lung,seed42_main,source_disjoint,11,52,0.00037861155075569197,0.0008109439873740243
external_lung,seed42_main,source_disjoint,11,53,0.0004655060050272608,0.0006496558199013958
external_lung,seed42_main,source_disjoint,11,54,0.0004810228718618026,0.0005643833421881128
external_lung,seed42_main,source_disjoint,11,55,0.002305806411569411,0.0019234920410993173
external_lung,seed42_main,source_disjoint,11,56,0.0017099587251341308,0.002193015925065711
external_lung,seed42_main,source_disjoint,11,57,0.002746485429662049,0.0030595429064217416
external_lung,seed42_main,source_disjoint,11,58,0.001511342829655704,0.001156088070231931
external_lung,seed42_main,source_disjoint,11,59,0.0004282655246252709,0.0005924872528455527
external_lung,seed42_main,source_disjoint,11,60,0.0037768053874561724,0.003000595623665614
external_lung,seed42_main,source_disjoint,11,61,0.002038916302020244,0.0017521752316886907
external_lung,seed42_main,source_disjoint,11,62,0.001281693200508971,0.001136813156657146
external_lung,seed42_main,source_disjoint,11,63,0.001452378735685711,0.0012991532660353577
external_lung,seed42_main,source_disjoint,11,64,0.002979238432175735,0.002578411030625505
external_lung,seed42_main,source_disjoint,11,65,0.0002048226422119992,0.0005044875515258784
external_lung,seed42_main,source_disjoint,11,66,0.0009651491170902249,0.0010387241848205386
external_lung,seed42_main,source_disjoint,11,67,0.000524470098997587,0.0006937196097555054
