domain,split_regime,n_rows,mean_auc_detour_ratio,mean_auc_convexity_deficit,mean_auc_geodesic_baseline,mean_auc_combo_convexity_detour,mean_delta_auc_combo_minus_geodesic,fraction_combo_auc_gt_0_5,fraction_p_delta_lt_0_05,combined_fisher_p_delta
external_lung,source_disjoint,4,0.4816900971355864,0.45937179964621544,0.5819666852869069,0.5807319306085715,-0.0012347546783353647,1.0,0.0,0.6708460095445978
external_lung,target_disjoint,4,0.5090564528542166,0.49947705694225003,0.5072246721245697,0.5285648600683313,0.02134018794376158,1.0,0.25,0.1532865406848362
immune,source_disjoint,4,0.5100260165882501,0.453693682952256,0.5939600854787084,0.6155544651619235,0.021594379683215148,1.0,0.25,0.03073261466798446
immune,target_disjoint,4,0.4691898871461942,0.446477237104228,0.5810103373479356,0.5899995828656373,0.008989245517701722,1.0,0.5,0.03487743029441406
lung,source_disjoint,4,0.5087040345733309,0.47935755299004335,0.5232171217396615,0.556824186060717,0.033607064321055535,1.0,0.75,0.00039955893058802466
lung,target_disjoint,4,0.5054925090702397,0.4758620100406699,0.5194672886773548,0.5375459357951142,0.01807864711775939,1.0,0.5,0.013979416858568036
