domain,seed_tag,split_regime,layer,perm_idx,null_auc_combo,null_delta_combo_minus_geodesic
external_lung,seed42_main,source_disjoint,0,0,0.5683502467181827,4.344722713589544e-05
external_lung,seed42_main,source_disjoint,0,1,0.569760729913416,0.00040654191105726767
external_lung,seed42_main,source_disjoint,0,2,0.5738245973373057,0.002585110014585945
external_lung,seed42_main,source_disjoint,0,3,0.5683611085249667,0.0009713558638240194
external_lung,seed42_main,source_disjoint,0,4,0.5779567389752661,0.0024454582130776226
external_lung,seed42_main,source_disjoint,0,5,0.5744887192378115,0.002820966390466473
external_lung,seed42_main,source_disjoint,0,6,0.5739301120317786,0.0015392731899575018
external_lung,seed42_main,source_disjoint,0,7,0.5774757161034044,0.0015175495763896096
external_lung,seed42_main,source_disjoint,0,8,0.5713698290041275,0.0022282220773981454
external_lung,seed42_main,source_disjoint,0,9,0.574819228501381,0.002426837972876572
external_lung,seed42_main,source_disjoint,0,10,0.5704341619340223,0.002501318933680996
external_lung,seed42_main,source_disjoint,0,11,0.5723629084815194,0.0009899761040250699
external_lung,seed42_main,source_disjoint,0,12,0.5761940229028955,0.0023089097849362528
external_lung,seed42_main,source_disjoint,0,13,0.5715032740589021,0.0013437606678460279
external_lung,seed42_main,source_disjoint,0,14,0.5663609843900319,0.0013685876547806508
external_lung,seed42_main,source_disjoint,0,15,0.5709043229991,0.0013716910281476036
external_lung,seed42_main,source_disjoint,0,16,0.5719222294634267,0.0010799739316637025
external_lung,seed42_main,source_disjoint,0,17,0.5734568475933339,0.0010334233311609653
external_lung,seed42_main,source_disjoint,0,18,0.5758076529187227,0.0012878999472426544
external_lung,seed42_main,source_disjoint,0,19,0.5697591782267324,0.002014089315085399
external_lung,seed42_main,source_disjoint,0,20,0.5713589671973435,0.0017161654718679253
external_lung,seed42_main,source_disjoint,0,21,0.571543617912671,0.0006268814201035866
external_lung,seed42_main,source_disjoint,0,22,0.5792896378363281,0.0019240914874469883
external_lung,seed42_main,source_disjoint,0,23,0.5748890544021351,0.0032523352884585854
external_lung,seed42_main,source_disjoint,0,24,0.5756586909971139,0.0011606616392018099
