perm_idx,domain,null_cycle_return_rate,null_edge_auc
0,external_lung,0.019230769230769232,0.5799135075450865
0,immune,0.019230769230769232,0.5980586407056995
0,lung,0.019230769230769232,0.589096465549954
1,external_lung,0.026923076923076925,0.5797024183247093
1,immune,0.026923076923076925,0.59809006353124
1,lung,0.026923076923076925,0.5892387651108582
2,external_lung,0.019230769230769232,0.5794777977440515
2,immune,0.019230769230769232,0.598070638511815
2,lung,0.019230769230769232,0.5890863012956036
3,external_lung,0.011538461538461539,0.5796455866115309
3,immune,0.011538461538461539,0.5980654965949084
3,lung,0.011538461538461539,0.5891371225673552
4,external_lung,0.03076923076923077,0.5795860486262963
4,immune,0.03076923076923077,0.5980689245395128
4,lung,0.03076923076923077,0.5891506749064889
5,external_lung,0.03076923076923077,0.5793424841412457
5,immune,0.03076923076923077,0.5980666392431098
5,lung,0.03076923076923077,0.5890998536347374
6,external_lung,0.011538461538461539,0.5794344973911537
6,immune,0.011538461538461539,0.5980746377805202
6,lung,0.011538461538461539,0.5890490323629859
7,external_lung,0.03076923076923077,0.5798431444716274
7,immune,0.03076923076923077,0.5980757804287216
7,lung,0.03076923076923077,0.5891371225673551
8,external_lung,0.015384615384615385,0.5797646625820001
8,immune,0.015384615384615385,0.5980843502902327
8,lung,0.015384615384615385,0.5890829132108202
9,external_lung,0.015384615384615385,0.5795941674424646
9,immune,0.015384615384615385,0.5980689245395128
9,lung,0.015384615384615385,0.5891472868217054
10,external_lung,0.023076923076923078,0.5796834744203165
10,immune,0.023076923076923078,0.5980974907445495
10,lung,0.023076923076923078,0.5892658697891257
11,external_lung,0.023076923076923078,0.5797348935893827
11,immune,0.023076923076923078,0.5980826363179303
11,lung,0.023076923076923078,0.5892048842630239
12,external_lung,0.019230769230769232,0.5796347615233064
12,immune,0.019230769230769232,0.5980809223456283
12,lung,0.019230769230769232,0.5891472868217055
13,external_lung,0.03461538461538462,0.5798566758319079
13,immune,0.03461538461538462,0.5980614973262032
