hypothesis_id,domain,seed_tag,split_regime,layer,n_edges_eval,n_positive_eval,auc_h70,auc_semantic_hardening_model,delta_vs_h70,q95_null_delta_auc,null_gap_q95,p_tf_sign_upper,p_motif_decoy_upper,p_string_bin_upper,p_go_semantic_upper,p_label_upper,p_best_upper,motif_coverage,string_conf_mean,same_community_rate,go_semantic_mean,go_anchor_semantic_mean
H130,external_lung,seed42_main,dual_axis_disjoint,11,240,200,0.8062499999999999,0.94575,0.13950000000000007,0.13750625000000008,0.0019937499999999886,0.04,0.04,0.08,0.08,0.04,0.04,0.5083333333333333,0.4830250000000001,0.8416666666666667,0.061617903067399935,0.2627973881040648
H130,external_lung,seed42_main,source_disjoint,11,240,102,0.788647342995169,0.9613526570048309,0.17270531400966183,0.1740053992611538,-0.0013000852514919725,0.04,0.04,0.36,0.16,0.04,0.04,0.2833333333333333,0.332,0.2,0.09464648759088352,0.30613259511687063
H130,external_lung,seed42_main,target_disjoint,11,240,149,0.8552253116011505,0.9569289770632052,0.10170366546205478,0.10657865624308589,-0.0048749907810311105,0.04,0.04,0.6,0.48,0.04,0.04,0.42916666666666664,0.38474583333333334,0.7458333333333333,0.07598511238063753,0.26849218428298266
H130,immune,seed42_main,dual_axis_disjoint,11,240,58,0.8411330049261083,0.9742326638878362,0.13309965896172793,0.14657067070860175,-0.013471011746873818,0.04,0.04,0.84,1.0,0.12,0.04,0.17083333333333334,0.2390958333333333,0.75,0.04904429491709594,0.190054220436702
H130,immune,seed42_main,source_disjoint,11,240,59,0.9006461279145986,0.9611386833973219,0.060492555482723254,0.06207510066485639,-0.0015825451821331396,0.04,0.04,0.24,0.2,0.16,0.04,0.14583333333333334,0.21873750000000003,0.7,0.0455130072545696,0.1731611759338461
H130,immune,seed42_main,target_disjoint,11,240,58,0.8767525577870405,0.9693065555134521,0.0925539977264116,0.0969448654793482,-0.004390867752936609,0.04,0.04,0.8,0.8,0.04,0.04,0.1625,0.21324583333333333,0.6916666666666667,0.04156483753948921,0.15423027974056602
H130,lung,seed42_main,dual_axis_disjoint,11,220,173,0.8110933464518509,0.9421965317919074,0.1311031853400565,0.14036403886360846,-0.009260853523551965,0.12,0.04,0.6,0.68,0.04,0.04,0.4818181818181818,0.49186363636363634,0.20909090909090908,0.06248482140740962,0.2741703334922918
H130,lung,seed42_main,source_disjoint,11,240,107,0.7965005972876116,0.954254795868175,0.1577541985805634,0.1609936055090997,-0.0032394069285363036,0.04,0.04,0.72,0.32,0.04,0.04,0.30416666666666664,0.3427166666666667,0.20416666666666666,0.0970043721632603,0.3076744256735527
H130,lung,seed42_main,target_disjoint,11,240,140,0.8095000000000001,0.9492857142857143,0.13978571428571418,0.1469285714285713,-0.0071428571428571175,0.04,0.04,0.8,0.92,0.04,0.04,0.37916666666666665,0.3903125,0.5666666666666667,0.09044705588123904,0.2945260903517753
H130,external_lung,seed43,dual_axis_disjoint,11,240,197,0.7582339747373392,0.9356628497225828,0.17742887498524362,0.18372683272340923,-0.006297957738165605,0.04,0.04,0.44,0.48,0.04,0.04,0.49166666666666664,0.5068125,0.7333333333333333,0.06800914869294535,0.2830964945120478
H130,external_lung,seed43,source_disjoint,11,240,99,0.8223368436134393,0.9362418511354682,0.11390500752202892,0.1170606776989757,-0.003155670176946776,0.04,0.04,0.2,0.44,0.04,0.04,0.23333333333333334,0.29774999999999996,0.37083333333333335,0.09507478422566275,0.2956031235059476
H130,external_lung,seed43,target_disjoint,11,240,149,0.77859724168449,0.9283132974408143,0.1497160557563243,0.15893871229441706,-0.00922265653809276,0.04,0.04,0.68,0.68,0.04,0.04,0.4041666666666667,0.3739208333333333,0.25833333333333336,0.07779063929199863,0.27202298557303817
