domain,split_regime,n_rows,mean_delta_vs_h70,mean_null_gap_q95,fraction_delta_positive,fraction_null_gap_positive,combined_fisher_p_best
external_lung,source_disjoint,2,0.015120967741935498,-0.0093506674082314,1.0,0.0,0.011900402639578249
external_lung,target_disjoint,2,-0.0001887647236484269,-0.024218514044095446,0.5,0.0,0.2486455125136438
immune,source_disjoint,2,0.04270062739956926,-0.0033476917314355648,1.0,0.0,0.011900402639578249
immune,target_disjoint,2,-0.01423354246652303,-0.019167290944844956,0.0,0.0,0.32096708040137284
lung,source_disjoint,2,0.04577391304347822,-0.008765217391304453,1.0,0.0,0.03872932664714566
lung,target_disjoint,2,0.00907021151586368,-0.003975102820211587,1.0,0.0,0.011900402639578249
