domain,n_rows,mean_delta_vs_h70,mean_null_gap_q95,fraction_delta_positive,fraction_null_gap_positive,combined_fisher_p_best
external_lung,4,-0.04488281249999998,-0.09700195312499998,0.25,0.0,0.15228234375675798
immune,4,0.13414836036103467,-0.14338634539369538,0.75,0.0,0.03992886618150133
lung,4,-0.09806871118012428,-0.13727476384575582,0.0,0.0,0.32073590209936353
