domain,seed_tag,split_regime,layer,n_edges_eval,n_positive_eval,selected_feature_count,mean_selected_frequency,mean_selected_sign_agreement,auc_h70_baseline,auc_stability_selected_blend,delta_auc_stability_selected_blend_minus_h70,delta_auc_random_subset_minus_h70_mean,q95_null_delta_auc,null_gap_q95_delta_auc,p_random_subset_upper,p_feature_shuffle_upper,p_endpoint_swap_upper,p_label_shuffle_upper,p_best_upper
external_lung,seed42_main,source_disjoint,0,240,115,1,1.0,1.0,0.8921043478260869,0.9329391304347826,0.04083478260869566,-0.004469565217391308,0.03779130434782606,0.003043478260869606,0.2,0.2,0.2,0.4,0.2
external_lung,seed42_main,source_disjoint,3,240,115,1,1.0,1.0,0.8687999999999999,0.924104347826087,0.055304347826087064,-0.0027304347826086206,0.010852173913043509,0.044452173913043555,0.2,0.2,0.2,0.2,0.2
external_lung,seed42_main,source_disjoint,7,240,115,3,0.8611111111111112,1.0,0.8117217391304349,0.9152,0.10347826086956513,0.0751826086956521,0.14406086956521752,-0.04058260869565239,0.4,0.2,0.2,0.6,0.2
external_lung,seed42_main,source_disjoint,11,240,115,2,0.9166666666666667,1.0,0.8085565217391304,0.9057391304347826,0.0971826086956522,0.055782608695652186,0.06825217391304347,0.028930434782608733,0.4,0.2,0.2,0.2,0.2
external_lung,seed42_main,target_disjoint,0,240,159,2,1.0,1.0,0.8498330615731036,0.929109402903952,0.07927634133084849,-0.0016111499340011048,0.03403796878639649,0.045238372544451996,0.2,0.2,0.2,0.4,0.2
external_lung,seed42_main,target_disjoint,3,240,159,3,0.9166666666666666,1.0,0.9078344591971427,0.9604006522245516,0.05256619302740895,0.026651913968475743,0.05347853094184332,-0.0009123379144343746,0.2,0.2,0.2,0.4,0.2
external_lung,seed42_main,target_disjoint,7,240,159,1,1.0,1.0,0.8983616740430158,0.934699899060486,0.036338225017470194,0.0019799673887724023,0.004561689572171651,0.03177653544529854,0.2,0.2,0.2,0.2,0.2
external_lung,seed42_main,target_disjoint,11,240,159,2,0.9583333333333333,1.0,0.8565105986489635,0.9350881279602453,0.07857752931128181,0.04722804565571856,0.07760695706188361,0.0009705722493981994,0.4,0.2,0.2,0.2,0.2
external_lung,seed43,source_disjoint,0,240,116,1,1.0,1.0,0.8854282536151279,0.939238042269188,0.05380978865406005,0.015572858731924377,0.023202864293659642,0.03060692436040041,0.2,0.2,0.2,0.2,0.2
external_lung,seed43,source_disjoint,3,240,116,1,1.0,1.0,0.8697163515016685,0.9393075639599555,0.06959121245828703,0.0018944660734149799,0.022733592880978926,0.04685761957730811,0.2,0.2,0.2,0.2,0.2
