domain,split_regime,n_rows,mean_delta_auc_stability_selected_blend_minus_h70,mean_null_gap_q95_delta_auc,fraction_delta_positive,fraction_null_gap_positive,fraction_p_best_lt_0_05,combined_fisher_p_best,mean_descriptor_nonzero_jaccard,mean_descriptor_sign_agreement,mean_descriptor_core_size
external_lung,source_disjoint,12,0.06691373963500973,0.016685907082211772,1.0,0.75,0.0,0.0298763593046392,0.6944444444444443,1.0,1.0
external_lung,target_disjoint,12,0.06082517005860139,0.009031979720355786,1.0,0.6666666666666666,0.0,0.0298763593046392,0.48611111111111105,1.0,1.0
immune,source_disjoint,12,0.07541109109842509,0.012496544066351646,1.0,0.6666666666666666,0.0,0.0298763593046392,0.5972222222222222,1.0,1.25
immune,target_disjoint,12,0.059754292628495714,0.005336114374979995,1.0,0.75,0.0,0.0298763593046392,0.861111111111111,1.0,1.75
lung,source_disjoint,12,0.10334018231465043,0.03569561669095264,1.0,0.75,0.0,0.0298763593046392,0.6388888888888888,1.0,1.0
lung,target_disjoint,12,0.07919556164262698,0.03993127711091132,1.0,0.9166666666666666,0.0,0.0298763593046392,0.625,1.0,1.25
