domain,split_regime,layer,n_seeds,seed_tags,descriptor_nonzero_jaccard_mean,descriptor_sign_agreement_mean,descriptor_core_size,mean_delta_auc_stability_selected_blend_minus_h70,mean_null_gap_q95_delta_auc
external_lung,source_disjoint,0,3,seed42_main;seed43;seed44,1.0,1.0,1,0.05361677062903366,0.008216707757384483
external_lung,source_disjoint,3,3,seed42_main;seed43;seed44,0.6666666666666666,1.0,1,0.06055775607495758,0.04228565619080351
external_lung,source_disjoint,7,3,seed42_main;seed43;seed44,0.5555555555555555,1.0,1,0.06893149171197688,-0.011835217053404637
external_lung,source_disjoint,11,3,seed42_main;seed43;seed44,0.5555555555555555,1.0,1,0.08454894012407077,0.028076481434063733
external_lung,target_disjoint,0,3,seed42_main;seed43;seed44,0.6666666666666666,1.0,1,0.061939649595790014,0.035297269549430625
external_lung,target_disjoint,3,3,seed42_main;seed43;seed44,0.5,1.0,1,0.05546112927360728,0.00323988044036159
external_lung,target_disjoint,7,3,seed42_main;seed43;seed44,0.4444444444444444,1.0,1,0.04877763312185986,0.004807960918658284
external_lung,target_disjoint,11,3,seed42_main;seed43;seed44,0.3333333333333333,1.0,1,0.07712226824314843,-0.007217192027027354
immune,source_disjoint,0,3,seed42_main;seed43;seed44,0.49999999999999994,1.0,1,0.07230871207624263,0.024130426886421724
immune,source_disjoint,3,3,seed42_main;seed43;seed44,0.7777777777777777,1.0,2,0.0888906951186006,0.020942816223052173
immune,source_disjoint,7,3,seed42_main;seed43;seed44,0.4444444444444444,1.0,1,0.06101098832141053,-0.010027946740815372
immune,source_disjoint,11,3,seed42_main;seed43;seed44,0.6666666666666666,1.0,1,0.07943396887744658,0.01494087989674806
immune,target_disjoint,0,3,seed42_main;seed43;seed44,0.6666666666666666,1.0,1,0.0370357694945563,-0.0022856178614290477
immune,target_disjoint,3,3,seed42_main;seed43;seed44,1.0,1.0,2,0.0710224639779717,0.012734545330420566
immune,target_disjoint,7,3,seed42_main;seed43;seed44,0.7777777777777777,1.0,2,0.048475369297941974,0.009376778852771222
immune,target_disjoint,11,3,seed42_main;seed43;seed44,1.0,1.0,2,0.08248356774351288,0.0015187511781572423
lung,source_disjoint,0,3,seed42_main;seed43;seed44,0.6666666666666666,1.0,1,0.08964455720907671,0.020415876107974518
lung,source_disjoint,3,3,seed42_main;seed43;seed44,0.5555555555555555,1.0,1,0.10786376716715355,0.05060669859924292
lung,source_disjoint,7,3,seed42_main;seed43;seed44,0.6666666666666666,1.0,1,0.09793092512965673,0.04539232505868174
lung,source_disjoint,11,3,seed42_main;seed43;seed44,0.6666666666666666,1.0,1,0.11792147975271472,0.0263675669979114
lung,target_disjoint,0,3,seed42_main;seed43;seed44,0.5,1.0,1,0.07012642479023619,0.019091432262964506
lung,target_disjoint,3,3,seed42_main;seed43;seed44,0.6666666666666666,1.0,1,0.07411631641072276,0.050948299094870926
lung,target_disjoint,7,3,seed42_main;seed43;seed44,1.0,1.0,2,0.06517927118074059,0.03830400078049847
lung,target_disjoint,11,3,seed42_main;seed43;seed44,0.3333333333333333,1.0,1,0.10736023418880836,0.05138137630531137
