domain,split_regime,n_rows,mean_delta_auc_scale_trajectory_minus_h70,mean_null_gap_q95_delta_auc,mean_slope_pos_minus_neg,fraction_delta_positive,fraction_null_gap_positive,fraction_p_best_lt_0_05,combined_fisher_p_best
external_lung,source_disjoint,4,0.014717993233618248,-0.06337501112891733,0.007818013149015212,0.75,0.0,0.0,0.19209729976088502
external_lung,target_disjoint,4,0.0005099756206776995,-0.02448940245783358,-4.85650039220133e-06,0.75,0.0,0.0,0.22556641660452292
immune,source_disjoint,4,0.012063851033834505,-0.03307719983552637,0.002100144712563587,0.75,0.0,0.0,0.1191115464478299
immune,target_disjoint,4,0.00143703703703707,-0.0962603703703703,0.0035247543076585156,0.5,0.0,0.0,0.36251655589582327
lung,source_disjoint,4,-0.005966931863638419,-0.045336181608071374,0.004802111896920552,0.5,0.0,0.0,0.3247961478819885
lung,target_disjoint,4,0.00039627263557320824,-0.05445386425860997,0.002634501906172583,0.5,0.0,0.0,0.39538084318724304
