domain,split_regime,n_rows,mean_delta_auc_weighted_filtration_minus_h70,mean_null_gap_q95_delta_auc,mean_weighted_gain_pos_minus_neg,fraction_delta_positive,fraction_null_gap_positive,fraction_p_best_lt_0_05,combined_fisher_p_best
external_lung,source_disjoint,2,0.06528222934472933,0.012919560185185135,-0.26311188722410195,1.0,1.0,0.0,0.09983306730838008
external_lung,target_disjoint,2,0.07731727946663997,0.005125254987810253,-0.1429425555178333,1.0,0.5,0.0,0.09983306730838008
immune,source_disjoint,2,0.08332354323308283,0.01079652255639113,-0.2839412480919202,1.0,1.0,0.0,0.09983306730838008
immune,target_disjoint,2,0.0879111111111111,0.004028148148148222,-0.2543794974250818,1.0,0.5,0.0,0.09983306730838008
lung,source_disjoint,2,0.11864971776523398,0.012697230988043928,-0.10682149006181182,1.0,0.5,0.0,0.09983306730838008
lung,target_disjoint,2,0.07409097459051839,0.011515922954993065,-0.1527758495142503,1.0,1.0,0.0,0.09983306730838008
