domain,seed_tag,split_regime,layer,n_edges_eval,n_positive_eval,auc_h93_backbone,auc_n538_string_triad_weighted,delta_auc_string_triad_weighted_minus_h93,triad_closure_pos_minus_neg,q95_null_delta_auc,null_gap_q95_delta_auc,p_string_weight_shuffle_upper,p_triad_closure_shuffle_upper,p_label_shuffle_upper,p_best_upper
external_lung,seed42_main,source_disjoint,7,280,134,0.9176037620118584,0.9114189327335923,-0.006184829278266135,0.1277318440655574,0.01761526272745863,-0.023800092005724766,0.8,0.84,0.68,0.68
external_lung,seed42_main,source_disjoint,11,280,134,0.9244530770803517,0.9209773052545492,-0.0034757718258024983,0.1433960153850548,0.01403342874667753,-0.017509200572480028,0.72,0.8,0.64,0.64
external_lung,seed42_main,target_disjoint,7,280,185,0.949416785206259,0.9497581792318636,0.0003413940256045134,0.18375610974828588,0.02298435277382649,-0.022642958748221975,0.08,0.12,0.68,0.08
external_lung,seed42_main,target_disjoint,11,280,185,0.943669985775249,0.9420199146514936,-0.00165007112375537,0.15609419978635133,0.009183499288762564,-0.010833570412517934,0.32,0.36,0.52,0.32
immune,seed42_main,source_disjoint,7,280,71,0.9573421389581509,0.9483792708403531,-0.008962868117797784,0.19743184593929927,0.00871352517015965,-0.017676393287957434,0.88,0.88,0.36,0.36
immune,seed42_main,source_disjoint,11,280,71,0.9701462362692904,0.9720331558730372,0.0018869196037467617,0.20399879525688783,0.005960644248264708,-0.004073724644517946,0.72,0.88,0.32,0.32
immune,seed42_main,target_disjoint,7,280,70,0.9496598639455783,0.9478911564625851,-0.0017687074829931815,0.16103597980266976,0.010040816326530545,-0.011809523809523726,0.72,0.68,0.44,0.44
immune,seed42_main,target_disjoint,11,280,70,0.9652380952380953,0.9689115646258504,0.003673469387755035,0.20707417647188264,0.009200680272108852,-0.005527210884353817,0.04,0.08,0.24,0.04
lung,seed42_main,source_disjoint,7,280,139,0.9205061482728711,0.9143833869074952,-0.006122761365375928,0.16080627925384777,0.009154803816521161,-0.01527756518189709,0.72,0.68,0.48,0.48
lung,seed42_main,source_disjoint,11,280,139,0.932496555946732,0.9315781417419255,-0.0009184142048064281,0.17099563106929266,0.006206949334149644,-0.0071253635389560725,0.36,0.32,0.4,0.32
lung,seed42_main,target_disjoint,7,280,179,0.9482272249571326,0.9487803528956247,0.0005531279384920484,0.1969073726393769,0.009230322473588147,-0.008677194535096099,0.12,0.16,0.52,0.12
lung,seed42_main,target_disjoint,11,280,179,0.9489462912771723,0.9574644615299519,0.008518170252779567,0.16336264224588343,0.017088887659715675,-0.008570717406936108,0.04,0.04,0.28,0.04
