domain,split_regime,n_rows,mean_delta_auc_dfa_motif_minus_h70,mean_null_gap_q95_delta_auc,fraction_delta_positive,fraction_null_gap_positive,fraction_p_best_lt_0_05,combined_fisher_p_best
external_lung,source_disjoint,1,0.04074863776356308,-0.03654199241885796,1.0,0.0,1.0,0.047619047619047616
external_lung,target_disjoint,1,0.03940506084604989,-0.024169403129225414,1.0,0.0,1.0,0.047619047619047616
immune,source_disjoint,1,0.09175701530612235,-0.01614516900510217,1.0,0.0,1.0,0.047619047619047616
immune,target_disjoint,1,0.007971938775510057,-0.05341597576530625,1.0,0.0,1.0,0.047619047619047616
lung,source_disjoint,1,0.03431111111111118,-0.028334814814814868,1.0,0.0,1.0,0.047619047619047616
lung,target_disjoint,1,0.05959374999999989,-0.004796875000000034,1.0,0.0,1.0,0.047619047619047616
