domain,split_regime,n_rows,mean_delta_auc_string_triad_weighted_minus_h93,mean_null_gap_q95_delta_auc,mean_triad_closure_pos_minus_neg,fraction_delta_positive,fraction_null_gap_positive,fraction_p_best_lt_0_05,combined_fisher_p_best
external_lung,source_disjoint,2,-0.004830300552034317,-0.020654646289102397,0.13556392972530612,0.0,0.0,0.0,0.797264458713264
external_lung,target_disjoint,2,-0.0006543385490754283,-0.016738264580369956,0.16992515476731862,0.5,0.0,0.0,0.11942817094391348
immune,source_disjoint,2,-0.0035379742570255113,-0.01087505896623769,0.20071532059809355,0.5,0.0,0.0,0.36415705313898367
immune,target_disjoint,2,0.0009523809523809268,-0.008668367346938773,0.1840550781372762,0.5,0.0,0.5,0.08870147223410937
lung,source_disjoint,2,-0.003520587785091178,-0.01120146436042658,0.16590095516157022,0.0,0.0,0.0,0.4413547711900516
lung,target_disjoint,2,0.0045356490956358075,-0.008623955971016103,0.18013500744263017,1.0,0.0,0.5,0.030427868933127815
