domain,seed_tag,split_regime,layer,n_edges_eval,n_positive_eval,auc_h70_deep_layer,auc_finite_state_motif,delta_auc_dfa_motif_minus_h70,q95_null_delta_auc,null_gap_q95_delta_auc,p_layer_order_upper,p_token_shuffle_upper,p_label_shuffle_upper,p_best_upper
external_lung,seed42_main,source_disjoint,-1,260,126,0.8060293769248994,0.8467780146884625,0.04074863776356308,0.07729063018242104,-0.03654199241885796,0.8571428571428571,0.047619047619047616,0.47619047619047616,0.047619047619047616
external_lung,seed42_main,target_disjoint,-1,260,167,0.8390316141909728,0.8784366750370227,0.03940506084604989,0.0635744639752753,-0.024169403129225414,0.7619047619047619,0.047619047619047616,0.23809523809523808,0.047619047619047616
immune,seed42_main,source_disjoint,-1,260,64,0.8358179209183674,0.9275749362244897,0.09175701530612235,0.10790218431122452,-0.01614516900510217,0.5714285714285714,0.047619047619047616,0.2857142857142857,0.047619047619047616
immune,seed42_main,target_disjoint,-1,260,64,0.9025031887755103,0.9104751275510203,0.007971938775510057,0.06138791454081631,-0.05341597576530625,0.23809523809523808,0.047619047619047616,0.47619047619047616,0.047619047619047616
lung,seed42_main,source_disjoint,-1,260,125,0.7763555555555555,0.8106666666666666,0.03431111111111118,0.06264592592592605,-0.028334814814814868,0.5714285714285714,0.047619047619047616,0.3333333333333333,0.047619047619047616
lung,seed42_main,target_disjoint,-1,260,160,0.8243125,0.8839062499999999,0.05959374999999989,0.06439062499999992,-0.004796875000000034,0.2857142857142857,0.047619047619047616,0.047619047619047616,0.047619047619047616
