domain,seed_tag,split_regime,layer,n_modules,n_perturbations,module_response_rank_spearman,mean_sc_response,mean_gf_response,response_mean_gap_sc_minus_gf,q95_null_response_concordance,null_gap_q95_response_concordance,p_schedule_permutation_upper,p_module_shuffle_upper,p_random_mapping_upper,p_best_upper
external_lung,seed42_main,other,-1,64,24,0.7834782608695651,0.0005660190884854196,0.0005866601186548419,-2.064103016942236e-05,0.7489565217391303,0.03452173913043477,0.010309278350515464,0.041237113402061855,0.041237113402061855,0.010309278350515464
immune,seed42_main,other,-1,64,24,0.6026086956521738,0.0006620477132752233,0.00056640677581275,9.564093746247334e-05,0.8175217391304345,-0.21491304347826068,0.010309278350515464,0.8144329896907216,0.8350515463917526,0.010309278350515464
lung,seed42_main,other,-1,64,24,0.8086956521739129,0.0005502415441677388,0.0005405842552299375,9.657288937801249e-06,0.7944782608695651,0.014217391304347848,0.010309278350515464,0.041237113402061855,0.061855670103092786,0.010309278350515464
