domain,n_rows,mean_modules,mean_alignment_delta,mean_null_gap_q95,fraction_null_gap_positive,combined_fisher_p_best
external_lung,2,12.0,0.00290725502985012,-0.07723562348686275,0.0,0.07546358984256261
immune,2,12.0,0.0004906536644654347,-0.14047879752216602,0.0,0.5088499021352363
lung,2,12.0,0.001075890587716899,-0.06893578785002182,0.0,0.6918477724832093
