hypothesis_id,domain,seed_tag,split_regime,layer,n_shared_symbols,n_modules,module_ids,alignment_true_mean,alignment_perm_baseline,delta_vs_perm_baseline,q95_null_delta,null_gap_q95,p_module_permutation_upper,p_anchor_shuffle_upper,p_best_upper
H143,external_lung,seed42_main,source_disjoint,11,219,12,SP1;TP53;RELA;NFKB1;JUN;STAT3;BRCA1;E2F1;ESR1;YY1;MYC;SIRT1,0.8840198354604927,0.8807192465957717,0.0033005888647209547,0.07991229847710866,-0.07661170961238771,0.12,1.0,0.12
H143,external_lung,seed42_main,target_disjoint,11,219,12,SP1;RELA;NFKB1;TP53;STAT3;E2F1;JUN;ESR1;EP300;HDAC1;YY1;CREB1,0.8700395796739587,0.8675256584789794,0.002513921194979285,0.08037345855631708,-0.0778595373613378,0.12,1.0,0.12
H143,immune,seed42_main,source_disjoint,11,220,12,RELA;NFKB1;SP1;JUN;STAT3;ETS1;TP53;SPI1;CREB1;EGR1;ESR1;STAT1,0.8644697309911974,0.860720972794604,0.0037487581965933714,0.11938838863211132,-0.11563963043551795,0.24,1.0,0.24
H143,immune,seed42_main,target_disjoint,11,220,12,RELA;NFKB1;SP1;JUN;TP53;STAT3;GATA1;ESR1;AR;ETS1;SPI1;CEBPB,0.8060889257390184,0.8088563766066809,-0.002767450867662502,0.16255051374115156,-0.16531796460881407,0.8,1.0,0.8
H143,lung,seed42_main,source_disjoint,11,218,12,SP1;RELA;NFKB1;TP53;JUN;STAT3;E2F1;YY1;EP300;ESR1;HDAC1;RB1,0.868928999533654,0.8667427426314661,0.0021862569021878775,0.08024015791296613,-0.07805390101077825,0.48,1.0,0.48
H143,lung,seed42_main,target_disjoint,11,217,12,RELA;SP1;TP53;NFKB1;STAT3;JUN;BRCA1;ESR1;E2F1;HDAC1;YY1;AR,0.8885853273145033,0.8886198030412574,-3.4475726754079616e-05,0.059783198962511296,-0.059817674689265375,0.68,1.0,0.68
