hypothesis_id,domain,seed_tag,split_regime,layer,adaptive_k,n_edges_eval,n_positive_eval,auc_h70,auc_adaptive_model,delta_vs_h70,q95_endpoint_swap,q95_row_shuffle,q95_label,strict_q95_max,strict_margin,strict_positive,p_endpoint_swap_upper,p_row_shuffle_upper,p_label_upper,p_best_upper
H142,external_lung,seed42_main,dual_axis_disjoint,11,11,170,128,0.8160342261904762,0.8043154761904762,-0.01171875,-0.005980282738095217,-0.003264508928571489,-0.026413690476190528,-0.003264508928571489,-0.00845424107142851,0,0.4444444444444444,0.3333333333333333,0.1111111111111111,0.1111111111111111
H142,external_lung,seed43,dual_axis_disjoint,11,10,170,131,0.7629673125856331,0.7312585633196319,-0.0317087492660012,-0.004521432765707468,-0.019641808573106188,0.004756312389900083,0.004756312389900083,-0.036465061655901285,0,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.3333333333333333
H142,external_lung,seed44,dual_axis_disjoint,11,10,170,134,0.7574626865671642,0.7226368159203979,-0.034825870646766344,-0.0008291873963515561,-0.005659203980099566,0.02656509121061355,0.02656509121061355,-0.0613909618573799,0,0.4444444444444444,0.6666666666666666,0.5555555555555556,0.4444444444444444
H142,external_lung,seed42_main,source_disjoint,11,11,200,85,0.8295652173913044,0.8479795396419438,0.018414322250639437,0.006567774936061311,0.0007774936061380242,0.05728388746803069,0.05728388746803069,-0.03886956521739125,0,0.1111111111111111,0.1111111111111111,0.3333333333333333,0.1111111111111111
H142,external_lung,seed43,source_disjoint,11,10,200,82,0.7997106242248864,0.8143861099627945,0.014675485737908112,0.01829785035138486,0.044977263331955245,0.05643344357172385,0.05643344357172385,-0.04175795783381574,0,0.2222222222222222,0.2222222222222222,0.3333333333333333,0.2222222222222222
H142,external_lung,seed44,source_disjoint,11,11,200,84,0.7819170771756978,0.7729885057471263,-0.008928571428571508,0.003207101806239768,-0.005680418719211759,0.059364737274219925,0.059364737274219925,-0.06829330870279143,0,0.5555555555555556,0.2222222222222222,0.3333333333333333,0.2222222222222222
H142,external_lung,seed42_main,target_disjoint,11,10,200,124,0.8131366723259763,0.836481324278438,0.023344651952461715,0.005369269949066164,-0.0011088709677421153,0.016648981324278524,0.016648981324278524,0.00669567062818319,1,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111
H142,external_lung,seed43,target_disjoint,11,10,200,124,0.8029499151103565,0.831600169779287,0.028650254668930453,0.005470076400679083,-0.0022867147707979337,0.01717954159592544,0.01717954159592544,0.011470713073005012,1,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111
H142,external_lung,seed44,target_disjoint,11,11,200,120,0.8525,0.8639583333333333,0.011458333333333237,0.0025312500000000326,0.0034166666666666117,0.004833333333333333,0.004833333333333333,0.006624999999999904,1,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111
H142,immune,seed42_main,dual_axis_disjoint,11,8,195,47,0.8591144335825187,0.9696664749856239,0.11055204140310515,0.030434157561817096,0.0376868890166762,0.07615727429557227,0.07615727429557227,0.03439476710753288,1,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111
H142,immune,seed43,dual_axis_disjoint,11,9,195,49,0.8358960022365111,0.8860777187587363,0.05018171652222525,0.044450656975118866,0.01847917249091409,0.03772714565278171,0.044450656975118866,0.005731059547106385,1,0.2222222222222222,0.1111111111111111,0.2222222222222222,0.1111111111111111
H142,immune,seed44,dual_axis_disjoint,11,9,195,47,0.8733467510063256,0.9285508913168489,0.05520414031052323,0.024892179413455763,0.01760350776308206,0.044555060379528375,0.044555060379528375,0.010649079930994856,1,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111
H142,lung,seed42_main,source_disjoint,11,8,220,109,0.7952723365567402,0.7851062071245558,-0.010166129432184423,-0.005244235060748862,0.0019671047193982314,0.019499545416976637,0.019499545416976637,-0.02966567484916106,0,0.3333333333333333,0.6666666666666666,0.5555555555555556,0.3333333333333333
H142,lung,seed43,source_disjoint,11,8,220,111,0.8042813455657492,0.8073394495412843,0.003058103975535187,-0.00795107033639132,-0.021704273080419792,0.009556574923547303,0.009556574923547303,-0.006498470948012116,0,0.1111111111111111,0.1111111111111111,0.2222222222222222,0.1111111111111111
H142,lung,seed44,source_disjoint,11,8,220,108,0.7700066137566137,0.7832341269841269,0.013227513227513144,-0.006134259259259182,0.010395998677248641,0.04762731481481472,0.04762731481481472,-0.034399801587301576,0,0.1111111111111111,0.1111111111111111,0.3333333333333333,0.1111111111111111
H142,lung,seed42_main,target_disjoint,11,8,220,140,0.8214285714285714,0.8089285714285713,-0.012500000000000067,0.007223214285714314,0.00670089285714289,-0.0017946428571427517,0.007223214285714314,-0.01972321428571438,0,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.3333333333333333
H142,lung,seed43,target_disjoint,11,8,220,145,0.8235862068965517,0.8462528735632183,0.022666666666666613,0.007434482758620689,-0.00021149425287357625,0.0023609195402299592,0.007434482758620689,0.015232183908045923,1,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111
H142,lung,seed44,target_disjoint,11,9,220,141,0.8726995241942724,0.8976568812281176,0.024957357033845162,0.0018538468444204027,-0.006733099919202878,0.017375886524822727,0.017375886524822727,0.007581470509022435,1,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111
