domain,n_rows,fraction_motif_hit,mean_motif_excess,mean_layer11_delta,mean_strict_margin,fraction_strict_positive
external_lung,3,0.0,-0.057971014492753624,0.017480252810752456,-0.03447227677625894,0.3333333333333333
immune,3,0.6666666666666666,0.6521739130434783,0.0809302655917743,0.015889543271071293,0.6666666666666666
lung,2,0.5,0.4782608695652174,0.024876985848889588,0.009132401364339515,0.5
