domain,split_regime,n_rows,mean_adaptive_k,mean_delta_vs_h70,mean_strict_margin,fraction_strict_positive,fraction_directional_positive,combined_fisher_p_best
external_lung,dual_axis_disjoint,3,10.333333333333334,-0.026084456637589182,-0.03543675486156989,0.0,0.0,0.22287300437903282
external_lung,source_disjoint,3,10.666666666666666,0.008053745519992014,-0.049640277251332805,0.0,0.6666666666666666,0.10838609914033438
external_lung,target_disjoint,3,10.333333333333334,0.021151079984908467,0.008263794567062702,1.0,1.0,0.0402150274713788
immune,dual_axis_disjoint,3,8.666666666666666,0.0719792994119512,0.01692496886187804,1.0,1.0,0.0402150274713788
lung,source_disjoint,3,8.0,0.002039829256954636,-0.023521315794824915,0.0,0.6666666666666666,0.08880626935595806
lung,target_disjoint,3,8.333333333333334,0.01170800790017057,0.0010301467104513265,0.6666666666666666,0.6666666666666666,0.08880626935595806
