domain,split_regime,n_rows,n_seeds,mean_auc_base,mean_auc_extended,mean_delta_auc_incremental,median_delta_auc_incremental,mean_gain_logloss_incremental,mean_gain_brier_incremental,fraction_delta_auc_positive,fraction_p_delta_lt_0_05,combined_fisher_p_delta,seed_mean_delta_sign_consistency
external_lung,source_disjoint,12,3,0.809761443244608,0.8104797009846664,0.0007182577400584589,0.0003499747006240894,0.0006974744734586184,0.0002958398133959215,1.0,0.08333333333333333,0.48435013126344273,1.0
external_lung,target_disjoint,12,3,0.853993314915639,0.8546119176693664,0.0006186027537271969,0.0004157771491145601,0.0009488397171787724,0.00032596139464844315,0.9166666666666666,0.16666666666666666,0.08727292092528167,1.0
immune,source_disjoint,12,3,0.8070810939338524,0.8090288027554774,0.0019477088216250567,0.001665278492915756,0.002644442947748682,0.0012051859672370612,0.8333333333333334,0.08333333333333333,0.1438225166675476,1.0
immune,target_disjoint,12,3,0.796788283141222,0.8004561909981329,0.003667907856911031,0.003820125851220768,0.0026726675723499904,0.0010454499251607342,0.9166666666666666,0.5,3.836477636127437e-05,1.0
lung,source_disjoint,12,3,0.8133217974105674,0.8142678315133751,0.0009460341028076358,0.0006780282206340082,0.0010228666183250505,0.00033685399008310385,1.0,0.0,0.4498064702422581,1.0
lung,target_disjoint,12,3,0.8379073082197853,0.8391634908694899,0.0012561826497045903,0.0010039544962241465,0.0016086591841648716,0.0007009384629363911,1.0,0.5,0.00010533753688467682,1.0
