domain,n_symbols,n_edges_eval,n_positive_eval,anchor_count,selected_lambda,auc_source_anchor,auc_target_anchor,auc_source_baseline,auc_target_baseline,delta_auc_target_anchor_minus_baseline,auc_target_cycle_baseline_iter0016,delta_auc_target_anchor_minus_cycle,null_mean_auc_target,p_auc_target_anchor_upper_vs_random_anchor,p_delta_target_upper_vs_random_anchor,null_mean_auc_target_label_perm,p_auc_target_anchor_upper_vs_label_perm
external_lung,240,2146,1332,40,0.75,0.7723800826820704,0.7473128562856286,0.5221588656699513,0.5236461146114612,0.22366674167416745,0.5792829461560112,0.16802991012961743,0.7473128562856284,1.0,1.0,0.5004940806580659,0.008264462809917356
immune,240,2157,555,40,0.75,0.8065426567884051,0.781163924663143,0.612573035825613,0.6179022742499813,0.16326165041316165,0.5980700671877142,0.18309385747542883,0.7811639246631431,1.0,1.0,0.5015398179855579,0.008264462809917356
lung,240,2043,1301,40,0.75,0.7575470254775019,0.7973068945758582,0.5605956292073309,0.5819129361063361,0.21539395846952214,0.5892387651108582,0.20806812946500008,0.7973068945758581,1.0,1.0,0.4997888739585772,0.008264462809917356
