domain,seed_tag,split_regime,layer,perm_idx,null_delta_auc,null_gain_logloss,null_gain_brier
external_lung,seed42_main,source_disjoint,0,0,0.000890668156285912,0.0006170745748083073,0.00028967564112994393
external_lung,seed42_main,source_disjoint,0,1,0.0007261893678428555,0.0003024854555351286,0.00016171371069509388
external_lung,seed42_main,source_disjoint,0,2,0.0003382676969866383,0.0007189742736612992,0.00013093537354999518
external_lung,seed42_main,source_disjoint,0,3,0.0003941284175899007,0.00033898212526040084,0.0001196334720442449
external_lung,seed42_main,source_disjoint,0,4,0.0006392949135710646,0.0003284749918486263,3.867894954892592e-05
external_lung,seed42_main,source_disjoint,0,5,0.0005958476864351692,0.0002804753190476239,0.00015631718813022277
external_lung,seed42_main,source_disjoint,0,6,0.0011730751326692879,0.0009028400046485752,0.0002346731202928498
external_lung,seed42_main,source_disjoint,0,7,0.0015547900567918216,0.0016440046349496251,0.0005552026240662478
external_lung,seed42_main,source_disjoint,0,8,0.0003475778170871635,0.000488333775373162,0.00012629983210171725
external_lung,seed42_main,source_disjoint,0,9,0.00034447444372032177,0.00016370113289820853,8.348915185113492e-05
external_lung,seed42_main,source_disjoint,0,10,0.00016447878844305652,5.36155970695118e-05,9.057032745618532e-06
external_lung,seed42_main,source_disjoint,0,11,2.4826986934733952e-05,0.00036211147790554676,-2.2119528205161165e-05
external_lung,seed42_main,source_disjoint,0,12,0.000732396114576539,0.0011144939805648457,0.0003043618885189836
external_lung,seed42_main,source_disjoint,0,13,0.00027309685628285063,0.00020610859326319897,8.553359278126726e-05
external_lung,seed42_main,source_disjoint,0,14,-0.0002110293889457937,5.207019115882616e-05,-1.1837361126892931e-05
external_lung,seed42_main,source_disjoint,0,15,0.0007479129814107477,0.00022942142241177965,0.00012233962195562498
external_lung,seed42_main,source_disjoint,0,16,0.001390311268348765,0.001396518098223054,0.0006425297877561686
external_lung,seed42_main,source_disjoint,0,17,0.0015547900567917106,0.0015363523362599274,0.0005772869272439585
external_lung,seed42_main,source_disjoint,0,18,0.0004934363653291696,0.0012075515262855996,0.0002446743592302292
external_lung,seed42_main,source_disjoint,0,19,0.0006206746733699031,0.0006312318311375575,0.00012369898910608024
external_lung,seed42_main,source_disjoint,0,20,0.0016789249914658244,0.001090900039566467,0.0004673127632155438
external_lung,seed42_main,source_disjoint,0,21,0.0004561958849269576,0.0006364541653158806,0.0002955090744749811
external_lung,seed42_main,source_disjoint,0,22,0.0004624026316606411,0.00019146114046575402,9.474423097258211e-05
external_lung,seed42_main,source_disjoint,0,23,0.0002482698693481167,0.0007104633827491602,0.00018551804259889226
external_lung,seed42_main,source_disjoint,0,24,0.0011668683859353823,0.0007841427169882342,0.00027862865262953673
external_lung,seed42_main,source_disjoint,0,25,0.00043757564472579613,0.0005196254467003669,0.00019801680430464597
external_lung,seed42_main,source_disjoint,0,26,0.0018340936598082447,0.0014910602249230687,0.0006590064264045681
external_lung,seed42_main,source_disjoint,0,27,0.0008596344226173835,0.0005809613894535159,9.569626563687983e-05
external_lung,seed42_main,source_disjoint,0,28,0.00015827204170937303,0.0003719421849533999,3.9823504814462396e-05
external_lung,seed42_main,source_disjoint,0,29,8.689445427179088e-05,1.3408716998175585e-05,-1.27819181489075e-05
external_lung,seed42_main,source_disjoint,0,30,0.0023213232784035087,0.0019393397018375724,0.000765442570168251
external_lung,seed42_main,source_disjoint,0,31,-5.275734723653169e-05,0.0002235677748705367,1.233002944242556e-05
external_lung,seed42_main,source_disjoint,0,32,0.0015268596964901349,0.0010862468424710503,0.0002835294396237309
external_lung,seed42_main,source_disjoint,0,33,0.0018930577537782378,0.0015460486438493293,0.0005065996034477604
external_lung,seed42_main,source_disjoint,0,34,9.930794773915785e-05,0.00018400826692188677,9.682534235921914e-05
