domain,seed_tag,split_regime,n_layers,mean_auc_edge_local_linearity,std_auc_edge_local_linearity,breakpoint_layer,pre_break_slope,post_break_slope,sse_linear,sse_piecewise,piecewise_improvement,null_mean_improvement,null_mean_breakpoint,p_piecewise_improvement_upper
external_lung,seed42_main,source_disjoint,12,0.45167220101583755,0.015559085151126466,9.0,0.0017940883558610207,0.003419917450268485,0.002477566944965019,0.0007635775733455909,0.0017139893716194281,0.0010168212643607308,5.033333333333333,0.026578073089700997
external_lung,seed42_main,target_disjoint,12,0.4778853191355938,0.015141076216839668,3.0,-0.009685563219540028,0.0006581658897540144,0.0020201167993045997,0.0011667908944029476,0.0008533259049016521,0.0010162980392305202,4.8133333333333335,0.6445182724252492
external_lung,seed43,source_disjoint,12,0.4628475471983513,0.012714434378597785,8.0,0.001079440710173261,0.02176891006551524,0.0016523160713900471,0.0007522749708651289,0.0009000411005249182,0.0008151962676446013,4.763333333333334,0.3754152823920266
external_lung,seed43,target_disjoint,12,0.5005934445566721,0.01363788382840996,4.0,-0.006570978896653526,-0.0006365164654429582,0.0017764677714053596,0.0008570620708723072,0.0009194057005330524,0.0008275503342273068,5.07,0.3787375415282392
external_lung,seed44,source_disjoint,12,0.45997006240512733,0.016506680696484297,6.0,0.006728027692777206,0.0049474335188620785,0.002067935747231913,0.0013321349204522815,0.0007358008267796315,0.001155850719267727,4.8966666666666665,0.8637873754152824
external_lung,seed44,target_disjoint,12,0.4755959057444206,0.015819379031817696,3.0,-0.016725057121096686,-0.0028370144706778323,0.00202244941886895,0.000865128363772957,0.0011573210550959929,0.0011375732926298366,5.1433333333333335,0.4684385382059801
immune,seed42_main,source_disjoint,12,0.4820760177601684,0.034426396239246954,3.0,-0.00894194112485824,0.016096917796403248,0.010574111652796727,0.0017395310350409173,0.00883458061775581,0.005334321240699236,4.973333333333334,0.036544850498338874
immune,seed42_main,target_disjoint,12,0.5112799030562887,0.021165125455096242,7.0,0.007172784878090827,-0.010130550415111983,0.0019070256046023724,0.0005313273957462875,0.001375698208856085,0.001949335891589435,5.3,0.8205980066445183
immune,seed43,source_disjoint,12,0.4783181941177918,0.04699202310351017,2.0,-0.03950420807089704,0.013194861116013116,0.007743953730933681,0.002309137440050033,0.005434816290883648,0.009385055733038173,4.92,0.8870431893687708
immune,seed43,target_disjoint,12,0.5422867683052993,0.01553363360173893,4.0,0.007260298859971818,-0.00014851438751155446,0.0008824680412878274,0.0003251274552626679,0.0005573405860251595,0.0010896755445125872,5.1866666666666665,0.9634551495016611
immune,seed44,source_disjoint,12,0.4664224003274839,0.02665511780502969,5.0,-0.005534046472546277,0.01628330432454147,0.0053090590559437935,0.0010786730224919274,0.004230386033451866,0.0030821139728639244,4.943333333333333,0.14285714285714285
immune,seed44,target_disjoint,12,0.4984644007972689,0.023735778203959793,3.0,-0.007199852904876825,-0.0005190128602685261,0.0030629520550209677,0.00041700975006531274,0.002645942304955655,0.00243794475545146,4.99,0.3122923588039867
lung,seed42_main,source_disjoint,12,0.45390451611589594,0.014938950217472073,3.0,-0.004467961639484461,0.006542492386362649,0.0022676040866097093,0.00047518084753205903,0.0017924232390776503,0.0010046311076000085,5.193333333333333,0.019933554817275746
lung,seed42_main,target_disjoint,12,0.43677333904139365,0.011694312683741617,1.0,-0.03645184093938363,0.001534886076175681,0.0014580697295985684,0.0006333841085420986,0.0008246856210564698,0.0006122394707938069,4.8,0.1362126245847176
lung,seed43,source_disjoint,12,0.4349183267007341,0.01561337340836292,5.0,-0.004162790472314262,-0.00897080579620259,0.002495762276033076,0.0009286103618673026,0.0015671519141657736,0.0010907169094219922,4.85,0.10631229235880399
lung,seed43,target_disjoint,12,0.5170858961929284,0.015144234983421904,5.0,-0.006629263485806881,-0.006838095389463795,0.0020610374387811784,0.0009312603462959378,0.0011297770924852406,0.0009336026657755252,4.906666666666666,0.2691029900332226
lung,seed44,source_disjoint,12,0.44557178402100234,0.024684227003738377,3.0,-0.0018212274383663058,0.011054049199106217,0.0021641116213691643,0.0002746088547561648,0.0018895027666129996,0.0027957437317049725,5.196666666666666,0.8239202657807309
lung,seed44,target_disjoint,12,0.5030042608980662,0.013806822061236994,4.0,-0.007243067846607666,-0.0033940862480685598,0.0020787908471952975,0.0007955903480693371,0.0012832004991259604,0.000828269792161665,5.04,0.07973421926910298
