domain,seed_tag,split_regime,layer,n_edges,n_positive,n_unique_genes,pca_dim,knn_k,used_component_bridging,coexp_missing_fraction,auc_geodesic_diffusion_base,auc_with_detour_convexity,delta_auc_incremental,gain_logloss_incremental,gain_brier_incremental,mean_detour_ratio,mean_convexity_deficit,p_delta_auc_upper,p_gain_logloss_upper,p_gain_brier_upper
external_lung,seed42_main,source_disjoint,0,1157,467,260,24,24,True,0.0,0.8145734413307265,0.8157154827297272,0.0011420413990006484,0.0008094853749534003,0.0003676859852977665,0.9835782195384875,0.9560445104025739,0.2345679012345679,0.32098765432098764,0.20987654320987653
external_lung,seed42_main,source_disjoint,3,1157,467,260,24,24,True,0.0,0.8148372280669087,0.8175092325357664,0.002672004468857625,0.002309828213887477,0.001182444468574878,0.9835782195385979,0.9553722454524477,0.012345679012345678,0.037037037037037035,0.024691358024691357
external_lung,seed42_main,source_disjoint,7,1157,467,260,24,24,True,0.0,0.8164913260714397,0.8166309778729479,0.00013965180150821155,0.00023899952204609054,0.0001977865720970695,1.4196393412092643,0.9572227169512237,0.7654320987654321,0.691358024691358,0.5308641975308642
external_lung,seed42_main,source_disjoint,11,1157,467,260,24,24,True,0.0,0.8134655370387611,0.8151506687769605,0.0016851317381993969,0.0010690619187286865,0.0005138619875299788,0.9835782195360175,0.9543934527773309,0.12345679012345678,0.2222222222222222,0.18518518518518517
external_lung,seed42_main,target_disjoint,0,1770,1037,260,24,24,True,0.0,0.8512118465349595,0.8513644538172213,0.0001526072822617408,0.00031315704172035774,2.127572097340713e-05,1.4367640371835333,0.9579221515298649,0.7901234567901234,0.5432098765432098,0.8765432098765432
external_lung,seed42_main,target_disjoint,3,1770,1037,260,24,24,True,0.0,0.8509316279908067,0.8518538495844741,0.0009222215936673939,0.0010916152712030502,0.00041630326112557237,0.9751412429441674,0.9530454725843559,0.04938271604938271,0.14814814814814814,0.13580246913580246
external_lung,seed42_main,target_disjoint,7,1770,1037,260,24,24,True,0.0,0.850894791750261,0.8522629949705375,0.0013682032202765315,0.001824356135241234,0.0008249623120948901,0.9751412429445268,0.9530904489329216,0.024691358024691357,0.024691358024691357,0.024691358024691357
external_lung,seed42_main,target_disjoint,11,1770,1037,260,24,24,True,0.0,0.8514525976785274,0.8526826649967572,0.0012300673182297217,0.0016341154400438263,0.0007796409079951772,0.9751412429393908,0.9529624720576866,0.06172839506172839,0.037037037037037035,0.024691358024691357
external_lung,seed43,source_disjoint,0,1213,483,259,24,24,True,0.0,0.8059559261465158,0.8069627612808077,0.0010068351342918946,0.0008004983974220226,0.00027498808548762077,0.9653751030726386,0.9378501267536725,0.18518518518518517,0.2716049382716049,0.345679012345679
external_lung,seed43,source_disjoint,3,1213,483,259,24,24,True,0.0,0.8061090785331404,0.8061686377946056,5.9559261465169655e-05,1.1910324315356213e-05,-1.975332240417016e-06,1.401413754369715,0.9462949433574039,0.9506172839506173,1.0,0.9753086419753086
external_lung,seed43,source_disjoint,7,1213,483,259,24,24,True,0.0,0.8066763095947135,0.806750049632718,7.374003800453277e-05,0.00038862045327070494,9.93793666351217e-05,0.9653751030692805,0.9385623307545498,0.7037037037037037,0.5432098765432098,0.6172839506172839
external_lung,seed43,source_disjoint,11,1213,483,259,24,24,True,0.0,0.8082503757905782,0.808443234351513,0.00019285856093476106,0.00012683688576820007,3.162331778028271e-05,1.272123394898039,0.9494843706799965,0.6666666666666666,0.7777777777777778,0.8148148148148148
external_lung,seed43,target_disjoint,0,1708,1007,260,24,24,True,0.0,0.8506375485722624,0.8524692346158913,0.0018316860436289328,0.0026949514380218975,0.0009053713001692665,1.3997597894470721,0.9558962390413004,0.07407407407407407,0.04938271604938271,0.07407407407407407
external_lung,seed43,target_disjoint,3,1708,1007,260,24,24,True,0.0,0.849974571721204,0.850633298720653,0.0006587269994489109,0.0011151444070461314,0.0003380501772908273,0.9736533957863843,0.9501237674253972,0.19753086419753085,0.09876543209876543,0.16049382716049382
external_lung,seed43,target_disjoint,7,1708,1007,260,24,24,True,0.0,0.8498116607428456,0.8499844880416259,0.0001728272987802093,0.00018286801933925512,2.4240379566442538e-05,0.973653395787122,0.9513092302304559,0.5925925925925926,0.7037037037037037,0.7901234567901234
external_lung,seed43,target_disjoint,11,1708,1007,260,24,24,True,0.0,0.8501913141532809,0.851170196640634,0.0009788824873531166,0.001709978123542677,0.0005489796997887597,1.285709351190748,0.9572317062411156,0.16049382716049382,0.08641975308641975,0.1728395061728395
external_lung,seed44,source_disjoint,0,1219,484,260,24,24,True,0.0,0.8071231798504526,0.8073817956934841,0.00025861584303155105,0.00020318120331375145,4.310002372573396e-05,0.9909762100144608,0.963108845242963,0.9012345679012346,0.9012345679012346,0.8765432098765432
