domain,n_bins,spearman_rho_disagreement_vs_positive_rate,linear_slope_disagreement_vs_positive_rate,top_minus_bottom_positive_rate,mean_positive_rate,p_two_sided,p_negative_tail,p_positive_tail
external_lung,10,-0.5030303030303029,-0.005852953579369437,-0.02031930333817128,0.2622789504175465,0.14061979340219927,0.06797734088637121,0.9376874375208264
immune,10,0.4012176588288426,0.026398954730169944,0.08490566037735842,0.2788697129571671,0.24958347217594135,0.8840386537820727,0.12029323558813729
lung,10,-0.9757575757575757,-0.023659400271437824,-0.05234021137393052,0.281119928072248,0.0003332222592469177,0.0003332222592469177,1.0
