split_regime,layer,mean_auc_euclidean,mean_auc_geodesic,mean_delta_auc_geodesic_minus_euclidean,delta_positive_fraction,mean_delta_auc_z_vs_null,fisher_p_delta_upper,fisher_p_delta_two_sided,mean_knn_k,bridge_fraction
source_disjoint,0,0.5963093584546723,0.6010770900065827,0.004767731551910422,1.0,1.0170089757237617,0.05532107037886596,0.17361331830652857,35.0,1.0
source_disjoint,1,0.5982318054545054,0.5994093682184826,0.0011775627639771802,0.6666666666666666,0.2752889425283588,0.3831128840829479,0.7643033815446341,35.0,1.0
source_disjoint,2,0.5966640839813668,0.598071175027323,0.0014070910459560808,0.3333333333333333,0.2005635493762599,0.4126478756671586,0.529622030100845,35.0,1.0
source_disjoint,3,0.594702266778793,0.6015633120104316,0.006861045231638552,1.0,1.513344890663948,0.009802628098307124,0.03523004557985943,35.0,1.0
source_disjoint,4,0.5951695910853263,0.6062928544656834,0.01112326338035711,1.0,2.3057482761170767,0.0005845442958370625,0.0017964246146869236,35.0,1.0
source_disjoint,5,0.5967853442058084,0.6021365421623375,0.005351197956529015,0.6666666666666666,1.2767470101990297,0.017227571522601196,0.05206152088958946,35.0,1.0
source_disjoint,6,0.6005353560168694,0.6035066252177171,0.0029712692008478556,0.6666666666666666,0.6132074163605097,0.1049649463797435,0.2933750340374405,35.0,1.0
source_disjoint,7,0.5938156498130702,0.5955270725262127,0.0017114227131424335,0.3333333333333333,0.3762594183035741,0.3796617990255408,0.7891564904697616,35.0,1.0
source_disjoint,8,0.5865518474073935,0.5921128885445309,0.005561041137137401,1.0,1.17139757685758,0.017432138705305886,0.10050508283836453,35.0,1.0
source_disjoint,9,0.5804195446284871,0.5892735095228646,0.008853964894377656,1.0,1.8980298427215094,0.0010931688844694472,0.0026413687871036325,35.0,1.0
source_disjoint,10,0.584581762462244,0.5916321783690658,0.007050415906821724,1.0,1.9369654003326227,0.002715857163039419,0.012432280519512472,35.0,1.0
source_disjoint,11,0.596147940623435,0.6015585875861027,0.005410646962667613,1.0,1.4115319144598972,0.00485575536599633,0.07162355182825024,35.0,1.0
target_disjoint,0,0.5888909113585266,0.5936112712232907,0.0047203598647641565,1.0,1.007715578584906,0.0972586589957432,0.3712469159416171,35.0,1.0
target_disjoint,1,0.5884923163007681,0.5976393565849926,0.00914704028422438,1.0,1.9015039629004955,0.004748703142202213,0.01149329499744136,35.0,1.0
target_disjoint,2,0.5824805253027806,0.5902025671881267,0.007722041885346161,1.0,1.5320414961394724,0.01208899811024712,0.045583144948185834,35.0,1.0
target_disjoint,3,0.5767670485763499,0.588771669919472,0.012004621343122116,1.0,2.3930087762515484,5.959726113284676e-05,0.0006104431380485068,35.0,1.0
target_disjoint,4,0.5739082034739287,0.591546666801498,0.017638463327569315,1.0,3.318618724567969,7.237906118854038e-05,8.480602050737894e-05,35.0,1.0
target_disjoint,5,0.5732681761031729,0.5869063630265584,0.013638186923385512,1.0,2.778833709433797,8.480602050737894e-05,0.00019788090707577603,35.0,1.0
target_disjoint,6,0.5682069458348923,0.5852770109247069,0.01707006508981453,1.0,3.4799046397651305,1.7667732719471504e-05,8.480602050737901e-05,35.0,1.0
target_disjoint,7,0.564159478472496,0.5814739253101963,0.017314446837700153,1.0,3.620170767057486,5.959726113284676e-05,5.959726113284676e-05,35.0,1.0
target_disjoint,8,0.5534880016988745,0.5750243539052203,0.021536352206345866,1.0,4.409137090975218,3.250788329136216e-05,3.250788329136216e-05,35.0,1.0
target_disjoint,9,0.5488641304897411,0.5649806854149602,0.01611655492521913,1.0,3.339976387369806,5.959726113284676e-05,0.00010883082905650667,35.0,1.0
target_disjoint,10,0.5533375805195725,0.563206389655742,0.009868809136169499,1.0,2.106632657809046,0.0012729049963350026,0.0040193807340442615,35.0,1.0
target_disjoint,11,0.5691305403027637,0.5806008925832667,0.011470352280503119,1.0,2.749452537446956,0.000505405120522281,0.0009775682766519102,35.0,1.0
