layer,mean_delta_range,mean_delta_std_across_settings,all_settings_positive_fraction,mean_positive_setting_fraction
0,4.272795751690864,1.8200184712677403,1.0,1.0
1,3.146061842640241,1.4412918528051806,1.0,1.0
2,3.3886831993469197,1.516559939033277,1.0,1.0
3,2.920621850217382,1.2922785457027623,1.0,1.0
4,4.27578425531586,1.8349817605581007,1.0,1.0
5,4.7221034788009195,2.047302606141504,1.0,1.0
6,4.278029113283587,1.8647039499841451,1.0,1.0
7,3.050859897293978,1.3118797363388592,1.0,1.0
8,4.113403989622989,1.80196294813853,1.0,1.0
9,1.9233100617097485,0.9178971838884983,1.0,1.0
10,1.9716455959197547,0.8727705288398293,1.0,1.0
11,1.3617677671006982,0.6479331607210089,1.0,1.0
