domain,seed_tag,split_regime,layer,n_edges,positive_rate,n_unique_genes,pca_dim,knn_k,used_component_bridging,auc_euclidean,auc_geodesic,delta_auc_geodesic_minus_euclidean,null_delta_mean,null_delta_std,delta_auc_z_vs_null,p_delta_upper,p_delta_two_sided,p_euclidean_upper,p_geodesic_upper
immune,seed42_main,source_disjoint,0,1527,0.2383759004584152,340,14,35,True,0.5881010648852437,0.5981463721145579,0.010045307229314182,0.0005455824270312701,0.004511593218948235,2.1056248282225907,0.024875621890547265,0.03980099502487562,0.004975124378109453,0.004975124378109453
immune,seed43,source_disjoint,0,1527,0.2383759004584152,340,14,35,True,0.5992719662109172,0.6031365453119537,0.003864579101036547,0.00040175913939886063,0.004134838794827403,0.8374737918430603,0.18407960199004975,0.29850746268656714,0.004975124378109453,0.004975124378109453
immune,seed44,source_disjoint,0,1527,0.2383759004584152,340,14,35,True,0.601555044267856,0.6019483525932365,0.00039330832538053695,-0.00010709679400565775,0.004636457523308679,0.10792830710563428,0.4626865671641791,0.9353233830845771,0.004975124378109453,0.004975124378109453
immune,seed42_main,source_disjoint,1,1527,0.2383759004584152,340,14,35,True,0.5904561904131982,0.5954345525497718,0.004978362136573655,-0.000310760821293925,0.004418948712223257,1.1969185671512255,0.12935323383084577,0.27860696517412936,0.004975124378109453,0.004975124378109453
immune,seed43,source_disjoint,1,1527,0.2383759004584152,340,14,35,True,0.6034519006359075,0.6037400905199701,0.00028818988406265067,0.00028656586319957043,0.004466533694875082,0.00036359750321510826,0.5024875621890548,0.9601990049751243,0.004975124378109453,0.004975124378109453
immune,seed44,source_disjoint,1,1527,0.2383759004584152,340,14,35,True,0.6007873253144105,0.5990534615857057,-0.0017338637287047654,-1.3700830553789178e-05,0.004631371823006835,-0.37141533706936414,0.6368159203980099,0.7014925373134329,0.004975124378109453,0.004975124378109453
immune,seed42_main,source_disjoint,2,1527,0.2383759004584152,340,14,35,True,0.5873227159770582,0.5853018434703732,-0.002020872506685034,0.00024978031426870856,0.004646496923858616,-0.4886804768155609,0.6865671641791045,0.6915422885572139,0.004975124378109453,0.004975124378109453
immune,seed43,source_disjoint,2,1527,0.2383759004584152,340,14,35,True,0.6020806364744455,0.6091802651346934,0.007099628660247825,0.0007233920421796599,0.004449168766196489,1.4331295394734036,0.10945273631840796,0.13930348258706468,0.004975124378109453,0.004975124378109453
immune,seed44,source_disjoint,2,1527,0.2383759004584152,340,14,35,True,0.6005888994925969,0.5997314164769023,-0.000857483015694549,0.0004950074645904353,0.003945899152862052,-0.34275841452906297,0.6318407960199005,0.8059701492537313,0.004975124378109453,0.004975124378109453
immune,seed42_main,source_disjoint,3,1527,0.2383759004584152,340,14,35,True,0.5851636540587529,0.5879203556546635,0.002756701595910571,5.676986384209076e-05,0.004697036031531413,0.574815934799688,0.2935323383084577,0.5522388059701493,0.004975124378109453,0.004975124378109453
immune,seed43,source_disjoint,3,1527,0.2383759004584152,340,14,35,True,0.5977318038796973,0.6084101839690834,0.010678380089386152,0.000536340271937851,0.004443260646567022,2.282566417236379,0.014925373134328358,0.01990049751243781,0.004975124378109453,0.004975124378109453
immune,seed44,source_disjoint,3,1527,0.2383759004584152,340,14,35,True,0.6012113423979288,0.6083593964075478,0.0071480540096189316,-0.00024189052563944964,0.004391841835038316,1.6826523199557772,0.04975124378109453,0.1044776119402985,0.004975124378109453,0.004975124378109453
immune,seed42_main,source_disjoint,4,1527,0.2383759004584152,340,14,35,True,0.5898691806903329,0.5926932053329302,0.0028240246425973448,2.1100460158930967e-05,0.0045376616003895654,0.6177022024946892,0.2835820895522388,0.5422885572139303,0.004975124378109453,0.004975124378109453
immune,seed43,source_disjoint,4,1527,0.2383759004584152,340,14,35,True,0.5950908506798447,0.6098948343144388,0.01480398363459412,-0.0005758837035707198,0.004652142024598618,3.3059747425739987,0.004975124378109453,0.009950248756218905,0.004975124378109453,0.004975124378109453
immune,seed44,source_disjoint,4,1527,0.2383759004584152,340,14,35,True,0.6005487418858012,0.6162905237496811,0.015741781863879867,0.0004023260703183329,0.00512413728302478,2.9935678832825428,0.004975124378109453,0.004975124378109453,0.004975124378109453,0.004975124378109453
immune,seed42_main,source_disjoint,5,1527,0.2383759004584152,340,14,35,True,0.590482174747007,0.5886892557141913,-0.001792919032815754,-0.00043380254740960105,0.004587437489343755,-0.29626914640125845,0.6467661691542289,0.6616915422885572,0.004975124378109453,0.004975124378109453
immune,seed43,source_disjoint,5,1527,0.2383759004584152,340,14,35,True,0.5996274791416666,0.6077511267752024,0.008123647633535791,-0.00018810886018538918,0.0046260073772017235,1.7967447994006809,0.03482587064676617,0.0845771144278607,0.004975124378109453,0.004975124378109453
immune,seed44,source_disjoint,5,1527,0.2383759004584152,340,14,35,True,0.6002463787287519,0.6099692439976189,0.00972286526886701,-0.0004965074693148658,0.004386437581519123,2.329765377597667,0.01990049751243781,0.03482587064676617,0.004975124378109453,0.004975124378109453
immune,seed42_main,source_disjoint,6,1527,0.2383759004584152,340,14,35,True,0.5931550178110797,0.5908589475872364,-0.0022960702238432606,-0.00019855574348265042,0.0043836617736546105,-0.4784844520811385,0.6716417910447762,0.6318407960199005,0.004975124378109453,0.004975124378109453
immune,seed43,source_disjoint,6,1527,0.2383759004584152,340,14,35,True,0.601755832301834,0.6094601872761805,0.007704354974346406,0.00010298063930910317,0.004841777686551146,1.5699549333288192,0.03482587064676617,0.08955223880597014,0.004975124378109453,0.004975124378109453
