layer,n_seed_setting_rows,mean_h1_delta,median_h1_delta,delta_positive_fraction,mean_cv_h1_delta,fisher_sig_fraction,combined_fisher_p_h1_upper
0,12,4.974305540219777,5.331447408224145,1.0,0.5342181943145705,1.0,6.04316401422076e-17
1,12,4.649600961918218,5.165818079685172,1.0,0.5032668312540683,1.0,2.2253133068840987e-17
2,12,3.3400185715827324,3.3408974409103394,1.0,0.6468834900916708,0.8333333333333334,2.265484027780922e-13
3,12,4.123903398971176,4.269519285609325,1.0,0.6217055692064913,1.0,3.1844361245607153e-15
4,12,4.583936163741682,4.221032008528709,1.0,0.5354848209144494,0.9166666666666666,4.0316678187136245e-16
5,12,4.389355436019185,4.076290702757737,1.0,0.7474453686105434,0.9166666666666666,3.2454669696872283e-17
6,12,4.431903117310462,4.089477828393379,1.0,0.5585358986746463,1.0,2.8905551448379657e-16
7,12,4.125872399864925,3.9929594040537877,1.0,0.5615016210145701,1.0,1.2286940543042228e-16
8,12,4.477093543598635,3.8725207702567177,1.0,0.5069677228702549,1.0,2.058056981132119e-18
9,12,3.384656650867934,3.4521340732462704,1.0,0.6036184577669953,1.0,4.366713505343156e-16
10,12,2.479594240870534,2.475645173806697,1.0,0.7573863064877964,0.9166666666666666,9.898247625889201e-14
11,12,1.4757508118378204,1.4089497689468167,1.0,0.6239861787737305,0.75,8.458246883968385e-12
