domain,split_regime,n_rows,mean_delta_auc_sparse_descriptor_blend_minus_h70,mean_null_gap_q95_delta_auc,fraction_delta_positive,fraction_null_gap_positive,fraction_p_best_lt_0_05,combined_fisher_p_best,mean_descriptor_nonzero_jaccard,mean_descriptor_sign_agreement,mean_descriptor_core_size
external_lung,source_disjoint,12,0.06053697189711494,0.0043717501149962,1.0,0.6666666666666666,0.0,0.0298763593046392,0.3734126984126984,1.0,1.75
external_lung,target_disjoint,12,0.07524877388770569,0.04349886809676065,1.0,0.9166666666666666,0.0,0.0298763593046392,0.3503968253968254,1.0,1.0
immune,source_disjoint,12,0.06626160156812742,-0.002641341459332027,1.0,0.4166666666666667,0.0,0.0298763593046392,0.611111111111111,1.0,1.75
immune,target_disjoint,12,0.06859793061450899,0.02965097150913471,1.0,0.9166666666666666,0.0,0.0298763593046392,0.6527777777777777,1.0,2.0
lung,source_disjoint,12,0.09447353446075786,0.05301006223287728,1.0,1.0,0.0,0.0298763593046392,0.39166666666666666,0.9444444444444444,1.0
lung,target_disjoint,12,0.09108733695583582,0.04616988185325008,1.0,0.9166666666666666,0.0,0.0298763593046392,0.5763888888888888,1.0,1.75
