domain,split_regime,n_rows,mean_delta_auc_stability_blend_minus_h70,mean_stability_pos_minus_neg,mean_null_gap_q95_delta_auc,fraction_delta_positive,fraction_null_gap_positive,fraction_p_best_lt_0_05,combined_fisher_p_best
external_lung,source_disjoint,2,-0.0006066298774999312,-0.008280913493086642,-0.020558882235528934,0.5,0.0,0.0,0.32740815930791123
external_lung,target_disjoint,2,0.007534067085953833,0.01952173027934169,-0.028492968204053087,0.5,0.5,0.0,0.19793357005197768
immune,source_disjoint,2,-0.004933106048866098,0.012315325497654822,-0.02099669404411376,0.0,0.0,0.0,0.49748128769819067
immune,target_disjoint,2,0.012448132780082943,-0.006291270730038684,-0.03966332265350071,1.0,0.0,0.0,0.1160815302249998
lung,source_disjoint,2,0.010273838821828862,0.009162118277591228,-0.014305246298683554,1.0,0.0,0.0,0.06659813771200541
lung,target_disjoint,2,0.002218559837728229,0.021154721097819185,-0.02416487068965508,0.5,0.0,0.0,0.23364266927397143
