domain,split_regime,n_rows,mean_delta_auc_phase_boundary_minus_h70,mean_null_gap_q95_delta_auc,fraction_delta_positive,fraction_null_gap_positive,fraction_p_best_lt_0_05,combined_fisher_p_best
external_lung,source_disjoint,4,0.006428319830926427,-0.032745782943916,1.0,0.0,0.0,0.1519298428787557
external_lung,target_disjoint,4,0.0031992487770789446,-0.057902581236897274,0.75,0.0,0.0,0.4507609120775028
immune,source_disjoint,4,0.006779792344645957,-0.03027209566609833,0.75,0.0,0.0,0.2803290374311521
immune,target_disjoint,4,0.0034665686223016023,-0.06701967015074313,0.5,0.0,0.0,0.6480947059078712
lung,source_disjoint,4,0.046486190866830784,-0.009703992343450945,1.0,0.0,0.0,0.09973557778687729
lung,target_disjoint,4,0.03421864435429342,-0.017822430696416536,1.0,0.25,0.0,0.09973557778687729
