domain,seed_tag,split_regime,layer,perm_idx,null_unweighted_h1_total,null_weighted_h1_total
external_lung,seed42_main,paired_source_target,0,0,3579.0,1033.5
external_lung,seed42_main,paired_source_target,0,1,3574.0,982.5
external_lung,seed42_main,paired_source_target,0,2,3605.0,1000.5
external_lung,seed42_main,paired_source_target,0,3,3584.0,1009.0
external_lung,seed42_main,paired_source_target,0,4,3562.0,976.5
external_lung,seed42_main,paired_source_target,0,5,3640.0,990.5
external_lung,seed42_main,paired_source_target,0,6,3547.0,982.5
external_lung,seed42_main,paired_source_target,0,7,3543.0,1005.0
external_lung,seed42_main,paired_source_target,0,8,3564.0,955.5
external_lung,seed42_main,paired_source_target,0,9,3552.0,975.5
external_lung,seed42_main,paired_source_target,0,10,3582.0,988.5
external_lung,seed42_main,paired_source_target,0,11,3601.0,1015.0
external_lung,seed42_main,paired_source_target,0,12,3606.0,997.0
external_lung,seed42_main,paired_source_target,0,13,3637.0,989.0
external_lung,seed42_main,paired_source_target,0,14,3579.0,1007.5
external_lung,seed42_main,paired_source_target,0,15,3452.0,956.5
external_lung,seed42_main,paired_source_target,0,16,3613.0,1010.0
external_lung,seed42_main,paired_source_target,0,17,3535.0,982.5
external_lung,seed42_main,paired_source_target,0,18,3517.0,957.5
external_lung,seed42_main,paired_source_target,0,19,3597.0,996.0
external_lung,seed42_main,paired_source_target,0,20,3585.0,982.0
external_lung,seed42_main,paired_source_target,0,21,3600.0,999.5
external_lung,seed42_main,paired_source_target,0,22,3595.0,1028.5
external_lung,seed42_main,paired_source_target,0,23,3640.0,1006.5
external_lung,seed42_main,paired_source_target,0,24,3636.0,980.5
external_lung,seed42_main,paired_source_target,0,25,3662.0,958.0
external_lung,seed42_main,paired_source_target,0,26,3518.0,955.5
external_lung,seed42_main,paired_source_target,0,27,3639.0,979.0
external_lung,seed42_main,paired_source_target,0,28,3576.0,984.0
external_lung,seed42_main,paired_source_target,0,29,3684.0,1036.0
external_lung,seed42_main,paired_source_target,0,30,3543.0,974.5
external_lung,seed42_main,paired_source_target,0,31,3684.0,999.5
external_lung,seed42_main,paired_source_target,0,32,3617.0,1017.5
external_lung,seed42_main,paired_source_target,0,33,3585.0,979.0
external_lung,seed42_main,paired_source_target,0,34,3627.0,1031.0
external_lung,seed42_main,paired_source_target,0,35,3540.0,956.0
external_lung,seed42_main,paired_source_target,3,0,3605.0,984.5
external_lung,seed42_main,paired_source_target,3,1,3580.0,995.0
external_lung,seed42_main,paired_source_target,3,2,3571.0,970.5
external_lung,seed42_main,paired_source_target,3,3,3523.0,999.0
external_lung,seed42_main,paired_source_target,3,4,3625.0,987.0
external_lung,seed42_main,paired_source_target,3,5,3547.0,962.5
external_lung,seed42_main,paired_source_target,3,6,3545.0,981.5
external_lung,seed42_main,paired_source_target,3,7,3610.0,991.0
external_lung,seed42_main,paired_source_target,3,8,3501.0,984.0
external_lung,seed42_main,paired_source_target,3,9,3568.0,964.5
external_lung,seed42_main,paired_source_target,3,10,3534.0,950.0
external_lung,seed42_main,paired_source_target,3,11,3510.0,980.0
external_lung,seed42_main,paired_source_target,3,12,3556.0,973.5
external_lung,seed42_main,paired_source_target,3,13,3562.0,970.5
external_lung,seed42_main,paired_source_target,3,14,3584.0,982.0
external_lung,seed42_main,paired_source_target,3,15,3501.0,994.5
external_lung,seed42_main,paired_source_target,3,16,3479.0,953.0
external_lung,seed42_main,paired_source_target,3,17,3555.0,989.0
external_lung,seed42_main,paired_source_target,3,18,3533.0,948.0
external_lung,seed42_main,paired_source_target,3,19,3541.0,970.0
external_lung,seed42_main,paired_source_target,3,20,3505.0,979.5
external_lung,seed42_main,paired_source_target,3,21,3450.0,949.0
external_lung,seed42_main,paired_source_target,3,22,3535.0,971.0
external_lung,seed42_main,paired_source_target,3,23,3544.0,965.5
external_lung,seed42_main,paired_source_target,3,24,3519.0,930.5
external_lung,seed42_main,paired_source_target,3,25,3529.0,974.5
external_lung,seed42_main,paired_source_target,3,26,3517.0,1001.0
external_lung,seed42_main,paired_source_target,3,27,3522.0,969.5
external_lung,seed42_main,paired_source_target,3,28,3580.0,997.5
external_lung,seed42_main,paired_source_target,3,29,3572.0,965.0
external_lung,seed42_main,paired_source_target,3,30,3518.0,962.5
external_lung,seed42_main,paired_source_target,3,31,3554.0,993.0
external_lung,seed42_main,paired_source_target,3,32,3583.0,991.0
external_lung,seed42_main,paired_source_target,3,33,3484.0,981.5
external_lung,seed42_main,paired_source_target,3,34,3615.0,986.0
external_lung,seed42_main,paired_source_target,3,35,3560.0,954.0
external_lung,seed42_main,paired_source_target,7,0,3370.0,968.5
external_lung,seed42_main,paired_source_target,7,1,3438.0,957.0
external_lung,seed42_main,paired_source_target,7,2,3415.0,942.5
external_lung,seed42_main,paired_source_target,7,3,3398.0,959.0
external_lung,seed42_main,paired_source_target,7,4,3361.0,949.5
external_lung,seed42_main,paired_source_target,7,5,3333.0,932.5
external_lung,seed42_main,paired_source_target,7,6,3351.0,951.0
