domain,seed_tag,split_regime,layer,n_edges_eval,n_positive_eval,n_nodes_graph,n_knn_edges,auc_bifiltration,auc_distance_only,delta_auc_bif_minus_distance,p_delta_auc_upper,null_mean_delta_auc,mean_beta_bif,mean_beta_distance_only
external_lung,seed42_main,source_disjoint,0,771,373,179,1372,0.5271902407479758,0.5219428240397699,0.005247416708205943,0.02702702702702703,-0.004313625769598619,250.375,656.0
external_lung,seed42_main,source_disjoint,3,771,373,179,1340,0.5265772562544627,0.5213197354062539,0.005257520848208852,0.05405405405405406,-0.004865236968279026,236.75,641.0
external_lung,seed42_main,source_disjoint,7,771,373,179,1287,0.5362704945639727,0.5294299917819661,0.006840502782006541,0.02702702702702703,-0.007361801560677977,223.0,601.0
external_lung,seed42_main,source_disjoint,11,771,373,179,1290,0.5175374189984776,0.5100233068829402,0.00751411211553743,0.02702702702702703,-0.0033228587081969236,236.125,601.5
external_lung,seed42_main,target_disjoint,0,1090,700,180,1372,0.5058424908424909,0.5013663003663004,0.0044761904761905225,0.08108108108108109,-0.0018699633699633847,282.1875,653.0
external_lung,seed42_main,target_disjoint,3,1090,700,180,1366,0.50910989010989,0.5027179487179487,0.006391941391941325,0.02702702702702703,-0.002271520146520172,281.875,646.25
external_lung,seed42_main,target_disjoint,7,1090,700,180,1327,0.5147564102564102,0.5050054945054946,0.009750915750915579,0.02702702702702703,-0.002456450956451059,276.625,617.75
external_lung,seed42_main,target_disjoint,11,1090,700,180,1318,0.5140421245421246,0.505974358974359,0.008067765567765561,0.02702702702702703,-0.0032763532763533682,269.75,613.0
immune,seed42_main,source_disjoint,0,1003,248,180,1294,0.5537652211066011,0.5462988677632985,0.00746635334330259,0.02702702702702703,-0.006635571696456181,235.9375,586.75
immune,seed42_main,source_disjoint,3,1003,248,180,1299,0.5429635761589404,0.5358577227088229,0.007105853450117494,0.02702702702702703,-0.004601120961807826,239.125,589.5
immune,seed42_main,source_disjoint,7,1003,248,180,1284,0.5285035248878444,0.5226420636616107,0.005861461226233655,0.08108108108108109,-0.002450360796600875,247.8125,584.25
immune,seed42_main,source_disjoint,11,1003,248,180,1308,0.5328268532364879,0.5261722922452468,0.006654560991241176,0.02702702702702703,-0.003885239383797417,272.1875,606.25
immune,seed42_main,target_disjoint,0,1189,292,180,1379,0.5373352575556268,0.5292107634275591,0.008124494128067705,0.02702702702702703,-0.006876146430940965,260.375,645.75
immune,seed42_main,target_disjoint,3,1189,292,180,1362,0.5457327316320765,0.5397825323376247,0.00595019929445173,0.02702702702702703,-0.0057093533493177105,254.8125,638.25
immune,seed42_main,target_disjoint,7,1189,292,180,1348,0.5316122233930453,0.5245510147981857,0.0070612085948595915,0.02702702702702703,-0.003912977725514904,254.9375,629.25
immune,seed42_main,target_disjoint,11,1189,292,180,1371,0.5281360241902231,0.5190895068798582,0.009046517310364877,0.02702702702702703,-0.0017121696878992603,280.3125,651.0
lung,seed42_main,source_disjoint,0,734,353,179,1419,0.5248600298900314,0.5212092822674786,0.003650747622552797,0.05405405405405406,-0.004862603340776959,259.25,684.5
lung,seed42_main,source_disjoint,3,734,353,179,1414,0.5292505929676637,0.5271612648985449,0.0020893280691188787,0.05405405405405406,-0.005654775919771075,258.8125,684.25
lung,seed42_main,source_disjoint,7,734,353,179,1372,0.5176886529410453,0.5155695835470991,0.002119069393946127,0.10810810810810811,-0.0036387684778307586,242.8125,656.25
lung,seed42_main,source_disjoint,11,734,353,179,1355,0.5134691024811701,0.5112422207847249,0.0022268816964451377,0.13513513513513514,-0.0036454809296147636,253.5,647.75
lung,seed42_main,target_disjoint,0,942,581,177,1356,0.51405543026876,0.5096857552886656,0.00436967498009444,0.08108108108108109,-0.0007574156274219775,241.875,647.5
lung,seed42_main,target_disjoint,3,942,581,177,1338,0.5122841981300746,0.510627392832112,0.001656805297962638,0.24324324324324326,-0.0015088053043197719,235.125,635.25
lung,seed42_main,target_disjoint,7,942,581,177,1314,0.5119957471357531,0.5087727244553998,0.003223022680353349,0.10810810810810811,-0.002213046884808738,244.875,616.75
lung,seed42_main,target_disjoint,11,942,581,177,1302,0.5116000209782541,0.5059835702127863,0.005616450765467795,0.08108108108108109,-0.0010374567787043278,249.25,607.5
