domain,seed_tag,split_regime,layer,perm_idx,null_delta_auc_bif_minus_distance
external_lung,seed42_main,source_disjoint,7,13,-0.002616972260767625
external_lung,seed42_main,source_disjoint,7,14,-0.010248966009672955
external_lung,seed42_main,source_disjoint,7,15,-0.007126786748757219
external_lung,seed42_main,source_disjoint,7,16,-0.011414310156681595
external_lung,seed42_main,source_disjoint,7,17,-0.014923814784377654
external_lung,seed42_main,source_disjoint,7,18,-0.012030662696862371
external_lung,seed42_main,source_disjoint,7,19,-0.010127716329637493
external_lung,seed42_main,source_disjoint,7,20,-0.010235493823002373
external_lung,seed42_main,source_disjoint,7,21,-0.006665364355288528
external_lung,seed42_main,source_disjoint,7,22,-0.005122798981502696
external_lung,seed42_main,source_disjoint,7,23,-0.00904320530265268
external_lung,seed42_main,source_disjoint,7,24,-0.014112115537472936
external_lung,seed42_main,source_disjoint,7,25,-0.00926886442938546
external_lung,seed42_main,source_disjoint,7,26,-0.004112384981206363
external_lung,seed42_main,source_disjoint,7,27,-0.0021622859606342804
external_lung,seed42_main,source_disjoint,7,28,-0.00516995163484979
external_lung,seed42_main,source_disjoint,7,29,-0.0049847090681287565
external_lung,seed42_main,source_disjoint,7,30,-0.009976154229593082
external_lung,seed42_main,source_disjoint,7,31,-0.005553908954962439
external_lung,seed42_main,source_disjoint,7,32,-0.006022067441766477
external_lung,seed42_main,source_disjoint,7,33,0.0042268985679064786
external_lung,seed42_main,source_disjoint,7,34,-0.0063420318751936655
external_lung,seed42_main,source_disjoint,7,35,-0.009801015802874957
external_lung,seed42_main,source_disjoint,11,0,0.003374782760989903
external_lung,seed42_main,source_disjoint,11,1,-0.009413690436094635
external_lung,seed42_main,source_disjoint,11,2,0.005311409594891292
external_lung,seed42_main,source_disjoint,11,3,-0.0029302006008595782
external_lung,seed42_main,source_disjoint,11,4,-0.011128026189930917
external_lung,seed42_main,source_disjoint,11,5,2.357632667360221e-05
external_lung,seed42_main,source_disjoint,11,6,0.0035768655610491917
external_lung,seed42_main,source_disjoint,11,7,0.00034690880676846447
external_lung,seed42_main,source_disjoint,11,8,-0.0029840893475419072
external_lung,seed42_main,source_disjoint,11,9,-0.003068290514233407
external_lung,seed42_main,source_disjoint,11,10,-0.001657078960486058
external_lung,seed42_main,source_disjoint,11,11,-0.003216484567610145
external_lung,seed42_main,source_disjoint,11,12,-0.0030413461408921316
external_lung,seed42_main,source_disjoint,11,13,0.0033478383876487383
external_lung,seed42_main,source_disjoint,11,14,-0.003122179260915847
external_lung,seed42_main,source_disjoint,11,15,-0.013792151104045691
external_lung,seed42_main,source_disjoint,11,16,-0.005257520848208852
external_lung,seed42_main,source_disjoint,11,17,-0.012364099316960142
external_lung,seed42_main,source_disjoint,11,18,4.041656001185778e-05
external_lung,seed42_main,source_disjoint,11,19,-0.009720182682851242
external_lung,seed42_main,source_disjoint,11,20,-0.00945073894943882
external_lung,seed42_main,source_disjoint,11,21,-0.002094925027281147
external_lung,seed42_main,source_disjoint,11,22,0.002030932140595687
external_lung,seed42_main,source_disjoint,11,23,0.0021622859606342804
external_lung,seed42_main,source_disjoint,11,24,-0.006749565521979806
external_lung,seed42_main,source_disjoint,11,25,-0.001101351260322958
external_lung,seed42_main,source_disjoint,11,26,0.0023441604806876404
external_lung,seed42_main,source_disjoint,11,27,-0.008130464655718206
external_lung,seed42_main,source_disjoint,11,28,0.0013000660137146847
external_lung,seed42_main,source_disjoint,11,29,-0.005089118514826185
external_lung,seed42_main,source_disjoint,11,30,-0.004092176701200434
external_lung,seed42_main,source_disjoint,11,31,-0.012182224796906838
external_lung,seed42_main,source_disjoint,11,32,0.0026102361674323893
external_lung,seed42_main,source_disjoint,11,33,-0.0097605992428631
external_lung,seed42_main,source_disjoint,11,34,-0.004937556414781774
external_lung,seed42_main,source_disjoint,11,35,-0.0008083312002371557
external_lung,seed42_main,target_disjoint,0,0,-0.0026684981684982345
external_lung,seed42_main,target_disjoint,0,1,0.0020695970695970844
external_lung,seed42_main,target_disjoint,0,2,0.006261904761904802
external_lung,seed42_main,target_disjoint,0,3,0.004390109890109906
external_lung,seed42_main,target_disjoint,0,4,-0.002752747252747323
external_lung,seed42_main,target_disjoint,0,5,-0.002479853479853522
external_lung,seed42_main,target_disjoint,0,6,-0.00016300366300381341
external_lung,seed42_main,target_disjoint,0,7,0.0017692307692307452
external_lung,seed42_main,target_disjoint,0,8,-0.0006135531135530448
external_lung,seed42_main,target_disjoint,0,9,0.00013186813186805146
external_lung,seed42_main,target_disjoint,0,10,-0.0073260073260073555
external_lung,seed42_main,target_disjoint,0,11,0.00224908424908421
external_lung,seed42_main,target_disjoint,0,12,-0.005681318681318659
external_lung,seed42_main,target_disjoint,0,13,-0.0037857142857143367
external_lung,seed42_main,target_disjoint,0,14,-0.0036630036630037055
external_lung,seed42_main,target_disjoint,0,15,-0.0026684981684981235
external_lung,seed42_main,target_disjoint,0,16,-0.0030989010989010968
external_lung,seed42_main,target_disjoint,0,17,-0.0024542124542124566
external_lung,seed42_main,target_disjoint,0,18,-0.003943223443223454
external_lung,seed42_main,target_disjoint,0,19,-0.000866300366300421
external_lung,seed42_main,target_disjoint,0,20,-0.0048663003663003135
external_lung,seed42_main,target_disjoint,0,21,-0.0026043956043956262
external_lung,seed42_main,target_disjoint,0,22,-0.005263736263736218
external_lung,seed42_main,target_disjoint,0,23,-0.003989010989011055
external_lung,seed42_main,target_disjoint,0,24,-0.001967032967032878
external_lung,seed42_main,target_disjoint,0,25,-0.0010897435897435637
external_lung,seed42_main,target_disjoint,0,26,0.000287545787545751
external_lung,seed42_main,target_disjoint,0,27,-0.004304029304029344
external_lung,seed42_main,target_disjoint,0,28,-0.0018608058608058364
external_lung,seed42_main,target_disjoint,0,29,-0.006998168498168533
external_lung,seed42_main,target_disjoint,0,30,-0.008593406593406627
external_lung,seed42_main,target_disjoint,0,31,-0.002413919413919441
external_lung,seed42_main,target_disjoint,0,32,0.001749084249084265
external_lung,seed42_main,target_disjoint,0,33,-0.002461538461538515
external_lung,seed42_main,target_disjoint,0,34,0.004705128205128251
external_lung,seed42_main,target_disjoint,0,35,-0.002355311355311418
external_lung,seed42_main,target_disjoint,3,0,-2.3809523809537048e-05
external_lung,seed42_main,target_disjoint,3,1,-0.005580586080586147
external_lung,seed42_main,target_disjoint,3,2,-0.001146520146520169
external_lung,seed42_main,target_disjoint,3,3,-0.004390109890109906
external_lung,seed42_main,target_disjoint,3,4,-0.00493772893772898
external_lung,seed42_main,target_disjoint,3,5,-0.00042124542124533093
external_lung,seed42_main,target_disjoint,3,6,-0.003009157509157534
external_lung,seed42_main,target_disjoint,3,7,0.00041575091575096756
external_lung,seed42_main,target_disjoint,3,8,-0.0005293040293039564
external_lung,seed42_main,target_disjoint,3,9,-0.002130036630036636
external_lung,seed42_main,target_disjoint,3,10,0.0023644688644687273
external_lung,seed42_main,target_disjoint,3,11,-0.0006703296703296502
external_lung,seed42_main,target_disjoint,3,12,-0.0012967032967033942
external_lung,seed42_main,target_disjoint,3,13,-0.004547619047619023
external_lung,seed42_main,target_disjoint,3,14,0.0001043956043955685
external_lung,seed42_main,target_disjoint,3,15,-0.006128205128205222
external_lung,seed42_main,target_disjoint,3,16,0.0013534798534797776
external_lung,seed42_main,target_disjoint,3,17,-0.004924908424908392
external_lung,seed42_main,target_disjoint,3,18,0.0016410256410255286
external_lung,seed42_main,target_disjoint,3,19,-0.008276556776556698
external_lung,seed42_main,target_disjoint,3,20,-0.008091575091575098
external_lung,seed42_main,target_disjoint,3,21,-0.004351648351648307
external_lung,seed42_main,target_disjoint,3,22,-0.008133699633699587
external_lung,seed42_main,target_disjoint,3,23,-0.0035897435897436214
external_lung,seed42_main,target_disjoint,3,24,-0.004816849816849822
external_lung,seed42_main,target_disjoint,3,25,-0.001205128205128303
external_lung,seed42_main,target_disjoint,3,26,0.0002747252747251627
external_lung,seed42_main,target_disjoint,3,27,0.002201465201465025
external_lung,seed42_main,target_disjoint,3,28,-0.0024450549450549808
external_lung,seed42_main,target_disjoint,3,29,-0.004142857142857115
external_lung,seed42_main,target_disjoint,3,30,-0.007516483516483596
external_lung,seed42_main,target_disjoint,3,31,-0.001968864468864351
external_lung,seed42_main,target_disjoint,3,32,-0.0003461538461539959
external_lung,seed42_main,target_disjoint,3,33,0.005434065934065924
external_lung,seed42_main,target_disjoint,3,34,-0.002355311355311418
external_lung,seed42_main,target_disjoint,3,35,0.0014120879120879115
external_lung,seed42_main,target_disjoint,7,0,-0.007974358974359108
external_lung,seed42_main,target_disjoint,7,1,-0.005591575091575207
external_lung,seed42_main,target_disjoint,7,2,-0.003064102564102611
external_lung,seed42_main,target_disjoint,7,3,-0.004371794871794954
external_lung,seed42_main,target_disjoint,7,4,0.0018131868131866513
external_lung,seed42_main,target_disjoint,7,5,-0.0005897435897437298
external_lung,seed42_main,target_disjoint,7,6,0.0013003663003661181
external_lung,seed42_main,target_disjoint,7,7,0.0002728937728937453
external_lung,seed42_main,target_disjoint,7,8,0.00019963369963349464
external_lung,seed42_main,target_disjoint,7,9,-0.0040586080586081374
external_lung,seed42_main,target_disjoint,7,10,-0.009875457875457905
external_lung,seed42_main,target_disjoint,7,11,0.00016483516483511984
external_lung,seed42_main,target_disjoint,7,12,0.0004981684981683054
external_lung,seed42_main,target_disjoint,7,13,-0.005172161172161183
external_lung,seed42_main,target_disjoint,7,14,-0.0014853479853480511
external_lung,seed42_main,target_disjoint,7,15,0.0002509157509156257
external_lung,seed42_main,target_disjoint,7,16,-0.0028369963369964113
external_lung,seed42_main,target_disjoint,7,17,-0.0024908424908426374
external_lung,seed42_main,target_disjoint,7,18,-0.0020787545787546158
external_lung,seed42_main,target_disjoint,7,19,-0.0055311355311356
external_lung,seed42_main,target_disjoint,7,20,0.0030897435897434544
external_lung,seed42_main,target_disjoint,7,21,-0.0024285714285715576
external_lung,seed42_main,target_disjoint,7,22,-0.005490842490842585
external_lung,seed42_main,target_disjoint,7,23,-0.0005347985347986528
external_lung,seed42_main,target_disjoint,7,24,-0.007554945054945195
external_lung,seed42_main,target_disjoint,7,25,0.0023260073260072955
external_lung,seed42_main,target_disjoint,7,26,-0.006456043956044044
external_lung,seed42_main,target_disjoint,7,27,-0.00289926739926738
external_lung,seed42_main,target_disjoint,7,28,-0.002043956043956019
external_lung,seed42_main,target_disjoint,7,29,-0.0008736263736265348
external_lung,seed42_main,target_disjoint,7,30,-0.004673992673992822
external_lung,seed42_main,target_disjoint,7,31,-0.00027106227106232783
external_lung,seed42_main,target_disjoint,7,32,-0.003631868131868332
external_lung,seed42_main,target_disjoint,7,33,-0.0038186813186813495
external_lung,seed42_main,target_disjoint,7,34,-0.002324175824175989
external_lung,seed42_main,target_disjoint,7,35,-0.00022527472527500425
external_lung,seed42_main,target_disjoint,11,0,-0.0002417582417583164
external_lung,seed42_main,target_disjoint,11,1,0.0005183150183148966
external_lung,seed42_main,target_disjoint,11,2,-0.0028333333333333544
external_lung,seed42_main,target_disjoint,11,3,-0.0035146520146521754
external_lung,seed42_main,target_disjoint,11,4,-2.930402930412246e-05
external_lung,seed42_main,target_disjoint,11,5,-0.010212454212454258
external_lung,seed42_main,target_disjoint,11,6,-0.0005549450549451329
external_lung,seed42_main,target_disjoint,11,7,-0.005192307692307829
external_lung,seed42_main,target_disjoint,11,8,-0.006031135531135656
external_lung,seed42_main,target_disjoint,11,9,-0.006468864468864521
external_lung,seed42_main,target_disjoint,11,10,-0.0026648351648351776
external_lung,seed42_main,target_disjoint,11,11,0.002622710622710578
external_lung,seed42_main,target_disjoint,11,12,-0.0012490842490843201
external_lung,seed42_main,target_disjoint,11,13,0.002686813186813186
external_lung,seed42_main,target_disjoint,11,14,-0.0022747252747253865
external_lung,seed42_main,target_disjoint,11,15,-0.003908424908425134
external_lung,seed42_main,target_disjoint,11,16,-0.004827838827838993
external_lung,seed42_main,target_disjoint,11,17,-0.004159340659340649
external_lung,seed42_main,target_disjoint,11,18,-0.006943223443223623
external_lung,seed42_main,target_disjoint,11,19,-0.010155677655677708
external_lung,seed42_main,target_disjoint,11,20,-0.0062509157509159086
external_lung,seed42_main,target_disjoint,11,21,-0.006038461538461659
external_lung,seed42_main,target_disjoint,11,22,-0.0017710622710624957
external_lung,seed42_main,target_disjoint,11,23,-0.002564102564102777
external_lung,seed42_main,target_disjoint,11,24,-0.0037435897435897925
external_lung,seed42_main,target_disjoint,11,25,-0.001913919413919496
external_lung,seed42_main,target_disjoint,11,26,0.00024175824175820537
external_lung,seed42_main,target_disjoint,11,27,-0.006399267399267383
external_lung,seed42_main,target_disjoint,11,28,-0.006501831501831534
external_lung,seed42_main,target_disjoint,11,29,-0.006364468864469008
external_lung,seed42_main,target_disjoint,11,30,-0.003930402930402921
external_lung,seed42_main,target_disjoint,11,31,0.0023406593406593013
external_lung,seed42_main,target_disjoint,11,32,-0.003289377289377393
external_lung,seed42_main,target_disjoint,11,33,0.0006080586080584593
external_lung,seed42_main,target_disjoint,11,34,-0.004300366300366454
external_lung,seed42_main,target_disjoint,11,35,-0.0026373626373626946
immune,seed42_main,source_disjoint,0,0,-0.012198248237556109
immune,seed42_main,source_disjoint,0,1,-0.006139179662465244
immune,seed42_main,source_disjoint,0,2,-0.0013832514419995778
immune,seed42_main,source_disjoint,0,3,0.001367229224524591
immune,seed42_main,source_disjoint,0,4,-0.0005287331766716807
immune,seed42_main,source_disjoint,0,5,-0.012083422345652628
immune,seed42_main,source_disjoint,0,6,-0.0035863063447980625
immune,seed42_main,source_disjoint,0,7,-0.0008438367870113872
immune,seed42_main,source_disjoint,0,8,-0.008072527237769744
immune,seed42_main,source_disjoint,0,9,-0.013498718222601958
immune,seed42_main,source_disjoint,0,10,0.001847895748771422
immune,seed42_main,source_disjoint,0,11,-0.011180837427900103
immune,seed42_main,source_disjoint,0,12,0.003706472975859687
immune,seed42_main,source_disjoint,0,13,-0.008900341807306145
immune,seed42_main,source_disjoint,0,14,-0.002088229010895226
immune,seed42_main,source_disjoint,0,15,-0.009949797051912013
immune,seed42_main,source_disjoint,0,16,-0.008972441785943364
immune,seed42_main,source_disjoint,0,17,-0.007199316385387844
immune,seed42_main,source_disjoint,0,18,-0.010093997009186118
immune,seed42_main,source_disjoint,0,19,-0.010414441358684079
immune,seed42_main,source_disjoint,0,20,-0.005549027985473298
immune,seed42_main,source_disjoint,0,21,-0.010820337534714786
immune,seed42_main,source_disjoint,0,22,-0.005044328135013987
immune,seed42_main,source_disjoint,0,23,-0.006470305490279937
immune,seed42_main,source_disjoint,0,24,-0.0008438367870113872
immune,seed42_main,source_disjoint,0,25,-0.00866534928434104
immune,seed42_main,source_disjoint,0,26,-0.004985580004272627
immune,seed42_main,source_disjoint,0,27,-0.008240760521256107
immune,seed42_main,source_disjoint,0,28,-0.007898953215125015
immune,seed42_main,source_disjoint,0,29,-0.0048921170690023885
immune,seed42_main,source_disjoint,0,30,-0.00668660542619115
immune,seed42_main,source_disjoint,0,31,-0.012994018372142646
immune,seed42_main,source_disjoint,0,32,-0.012849818414868652
immune,seed42_main,source_disjoint,0,33,-0.01066812646870341
immune,seed42_main,source_disjoint,0,34,-0.006991027558214125
immune,seed42_main,source_disjoint,0,35,-0.005068361461226356
immune,seed42_main,source_disjoint,3,0,-0.007837534714804528
immune,seed42_main,source_disjoint,3,1,0.003594317453535556
immune,seed42_main,source_disjoint,3,2,-0.006240653706473087
immune,seed42_main,source_disjoint,3,3,-0.0030495620593891104
immune,seed42_main,source_disjoint,3,4,-0.0034073915829951895
immune,seed42_main,source_disjoint,3,5,-0.005970946378978881
immune,seed42_main,source_disjoint,3,6,-0.011907177953428771
immune,seed42_main,source_disjoint,3,7,-0.01059869685964554
immune,seed42_main,source_disjoint,3,8,-0.003057573168126604
immune,seed42_main,source_disjoint,3,9,-0.011274300363170342
immune,seed42_main,source_disjoint,3,10,0.00460104678487494
immune,seed42_main,source_disjoint,3,11,-0.0007824182866909002
immune,seed42_main,source_disjoint,3,12,-0.003994872890408119
immune,seed42_main,source_disjoint,3,13,-0.0006515701773126548
immune,seed42_main,source_disjoint,3,14,-0.004718543046357659
immune,seed42_main,source_disjoint,3,15,-0.004115039521469854
immune,seed42_main,source_disjoint,3,16,-0.010996581926938864
immune,seed42_main,source_disjoint,3,17,0.0037465285195470432
immune,seed42_main,source_disjoint,3,18,-0.00273979918820777
immune,seed42_main,source_disjoint,3,19,-0.0051377910702841145
immune,seed42_main,source_disjoint,3,20,-0.0008465071565905147
immune,seed42_main,source_disjoint,3,21,0.004571672719504316
immune,seed42_main,source_disjoint,3,22,0.0016716513565476765
immune,seed42_main,source_disjoint,3,23,-0.012948622089297257
immune,seed42_main,source_disjoint,3,24,-0.012232963042085099
immune,seed42_main,source_disjoint,3,25,-0.00418713950010674
immune,seed42_main,source_disjoint,3,26,-0.007212668233283481
immune,seed42_main,source_disjoint,3,27,-0.005645161290322553
immune,seed42_main,source_disjoint,3,28,-0.01144787438581496
immune,seed42_main,source_disjoint,3,29,-0.001986754966887494
immune,seed42_main,source_disjoint,3,30,-0.007469023712881939
immune,seed42_main,source_disjoint,3,31,-0.0019627216406750136
immune,seed42_main,source_disjoint,3,32,-0.007033753471480386
immune,seed42_main,source_disjoint,3,33,-0.0036690878017516804
immune,seed42_main,source_disjoint,3,34,-0.01040108951078822
immune,seed42_main,source_disjoint,3,35,-0.00030175176244395807
immune,seed42_main,source_disjoint,7,0,-0.002144306772057236
immune,seed42_main,source_disjoint,7,1,-0.0036877803888057947
immune,seed42_main,source_disjoint,7,2,0.0015060884426404408
immune,seed42_main,source_disjoint,7,3,-0.006363490707113728
immune,seed42_main,source_disjoint,7,4,-0.0011936552018798618
immune,seed42_main,source_disjoint,7,5,0.0027771843623156656
immune,seed42_main,source_disjoint,7,6,-0.0025368511001921945
immune,seed42_main,source_disjoint,7,7,-0.00031777397991883394
immune,seed42_main,source_disjoint,7,8,-0.014262443922238743
immune,seed42_main,source_disjoint,7,9,0.00016289254432810818
immune,seed42_main,source_disjoint,7,10,-0.00018425550096135002
immune,seed42_main,source_disjoint,7,11,-0.007268745994445602
immune,seed42_main,source_disjoint,7,12,-0.005193868831446236
immune,seed42_main,source_disjoint,7,13,-0.005492950224311066
immune,seed42_main,source_disjoint,7,14,0.000737022003845289
immune,seed42_main,source_disjoint,7,15,-0.0017517624439221668
immune,seed42_main,source_disjoint,7,16,-0.005794701986754913
immune,seed42_main,source_disjoint,7,17,-0.0007129886776330308
