domain,split_regime,n_rows,mean_auc_bifiltration,mean_auc_distance_only,mean_delta_auc_bif_minus_distance,fraction_delta_positive,fraction_p_delta_lt_0_05,combined_fisher_p_delta
external_lung,source_disjoint,4,0.5268938526412221,0.5206789645277325,0.006214888113489692,1.0,0.75,0.000579039683286936
external_lung,target_disjoint,4,0.5109377289377289,0.5037660256410257,0.007171703296703247,1.0,0.75,0.0007995502889478321
immune,source_disjoint,4,0.5395147938474685,0.5327427365947447,0.006772057252723729,1.0,0.75,0.0007995502889478321
immune,target_disjoint,4,0.5357040591927429,0.5281584543608069,0.007545604831935976,1.0,1.0,0.00033186002673897725
lung,source_disjoint,4,0.5213170945699777,0.5187955878744619,0.002521506695515735,1.0,0.0,0.009879533392216559
lung,target_disjoint,4,0.5124838491282104,0.5087673606972409,0.0037164884309695556,1.0,0.0,0.026889270637245236
