domain,seed_tag,split_regime,layer,n_union_genes,n_source_edges,n_target_edges,obs_unweighted_h1_total,obs_weighted_h1_total,null_mean_unweighted_h1_total,null_mean_weighted_h1_total,excess_unweighted_h1_total,excess_weighted_h1_total,p_unweighted_upper,p_weighted_upper,utility_delta_auc_mean,mean_trrust_support_bookkeeping
external_lung,seed44,paired_source_target,11,265,1062,1064,3634.0,1066.0,3434.527777777778,978.4166666666666,199.47222222222217,87.58333333333337,0.02702702702702703,0.02702702702702703,0.0005963910933693,0.0
immune,seed42_main,paired_source_target,0,209,1069,1147,3528.0,1049.5,3328.5833333333335,971.3611111111111,199.41666666666652,78.13888888888891,0.02702702702702703,0.02702702702702703,0.00618916072082115,0.0
immune,seed42_main,paired_source_target,3,209,1075,1150,3553.0,1060.5,3337.3333333333335,977.7638888888889,215.66666666666652,82.73611111111109,0.02702702702702703,0.02702702702702703,0.00585921555500765,0.0
immune,seed42_main,paired_source_target,7,209,1082,1126,3547.0,1056.5,3354.0833333333335,988.75,192.91666666666652,67.75,0.02702702702702703,0.02702702702702703,0.0070714481334101,0.0
immune,seed42_main,paired_source_target,11,209,1086,1124,3538.0,1056.0,3381.0833333333335,997.0972222222222,156.91666666666652,58.90277777777783,0.02702702702702703,0.02702702702702703,0.0027926317999691502,0.0
immune,seed43,paired_source_target,0,218,1081,1140,3627.0,1093.0,3400.8055555555557,995.0694444444445,226.19444444444434,97.93055555555554,0.02702702702702703,0.02702702702702703,0.00805284321913665,0.01
immune,seed43,paired_source_target,3,218,1087,1143,3639.0,1091.0,3403.0555555555557,998.3333333333334,235.94444444444434,92.66666666666663,0.02702702702702703,0.02702702702702703,0.0093284975177175,0.005
immune,seed43,paired_source_target,7,218,1081,1136,3613.0,1084.0,3394.1388888888887,995.7361111111111,218.8611111111113,88.26388888888891,0.02702702702702703,0.02702702702702703,0.0099120668945286,0.005
immune,seed43,paired_source_target,11,218,1095,1138,3653.0,1091.5,3441.527777777778,1012.1944444444445,211.47222222222217,79.30555555555554,0.02702702702702703,0.02702702702702703,0.0082742934993265,0.005
immune,seed44,paired_source_target,0,208,1076,1149,3582.0,1060.0,3352.3611111111113,984.0138888888889,229.6388888888887,75.98611111111109,0.02702702702702703,0.02702702702702703,0.0045200250310772,0.01
immune,seed44,paired_source_target,3,208,1077,1155,3592.0,1059.5,3355.3333333333335,982.9166666666666,236.66666666666652,76.58333333333337,0.02702702702702703,0.02702702702702703,0.0120140221589262,0.01
immune,seed44,paired_source_target,7,208,1081,1139,3562.0,1059.0,3356.3888888888887,992.5138888888889,205.6111111111113,66.48611111111109,0.02702702702702703,0.02702702702702703,0.0096442424134335,0.005
immune,seed44,paired_source_target,11,208,1100,1154,3617.0,1078.0,3420.5555555555557,996.2638888888889,196.44444444444434,81.73611111111109,0.02702702702702703,0.02702702702702703,0.00237084170276145,0.005
lung,seed42_main,paired_source_target,0,266,1149,1112,3929.0,1170.5,3722.8611111111113,1042.1944444444443,206.1388888888887,128.30555555555566,0.02702702702702703,0.02702702702702703,0.0022431883346988504,0.01
lung,seed42_main,paired_source_target,3,266,1148,1109,3919.0,1173.5,3704.3055555555557,1034.4583333333333,214.69444444444434,139.04166666666674,0.02702702702702703,0.02702702702702703,0.0024268129741031002,0.01
lung,seed42_main,paired_source_target,7,266,1113,1091,3807.0,1130.0,3612.722222222222,1010.3333333333334,194.27777777777783,119.66666666666663,0.02702702702702703,0.02702702702702703,0.00278624113922435,0.015
lung,seed42_main,paired_source_target,11,266,1112,1092,3809.0,1128.0,3600.722222222222,1005.0694444444445,208.27777777777783,122.93055555555554,0.02702702702702703,0.02702702702702703,0.0022288920365283,0.01
lung,seed43,paired_source_target,0,264,1144,1127,3936.0,1180.0,3708.25,1036.1944444444443,227.75,143.80555555555566,0.02702702702702703,0.02702702702702703,0.00037455238073499995,0.02
lung,seed43,paired_source_target,3,264,1151,1107,3912.0,1168.5,3697.472222222222,1031.8055555555557,214.52777777777783,136.69444444444434,0.02702702702702703,0.02702702702702703,0.0014093872051848901,0.02
lung,seed43,paired_source_target,7,264,1103,1081,3755.0,1109.0,3572.8055555555557,988.0277777777778,182.19444444444434,120.97222222222217,0.02702702702702703,0.02702702702702703,0.0017061164456826498,0.02
lung,seed43,paired_source_target,11,264,1115,1100,3825.0,1132.5,3617.277777777778,1018.9444444444445,207.72222222222217,113.55555555555554,0.02702702702702703,0.02702702702702703,0.00079894207314465,0.015
lung,seed44,paired_source_target,0,268,1123,1142,3938.0,1180.5,3665.25,1017.3333333333334,272.75,163.16666666666663,0.02702702702702703,0.02702702702702703,0.0005240955689123,0.02
lung,seed44,paired_source_target,3,268,1118,1109,3864.0,1148.5,3638.9444444444443,1023.4027777777778,225.05555555555566,125.09722222222217,0.02702702702702703,0.02702702702702703,0.0005229902319175,0.02
lung,seed44,paired_source_target,7,268,1100,1081,3766.0,1119.5,3574.3888888888887,1006.1805555555555,191.6111111111113,113.31944444444446,0.02702702702702703,0.02702702702702703,0.0011905198321839,0.02
lung,seed44,paired_source_target,11,268,1120,1095,3837.0,1143.5,3626.1666666666665,1015.2083333333334,210.83333333333348,128.29166666666663,0.02702702702702703,0.02702702702702703,0.0010124147809266373,0.025
