domain,seed_tag,split_regime,layer,n_union_genes,n_source_edges,n_target_edges,obs_unweighted_h1_total,obs_weighted_h1_total,null_mean_unweighted_h1_total,null_mean_weighted_h1_total,excess_unweighted_h1_total,excess_weighted_h1_total,p_unweighted_upper,p_weighted_upper,utility_delta_auc_mean,mean_trrust_support_bookkeeping
external_lung,seed42_main,paired_source_target,0,264,1114,1104,3819.0,1104.5,3588.8888888888887,991.0416666666666,230.1111111111113,113.45833333333337,0.02702702702702703,0.02702702702702703,0.001754234576202,0.0
external_lung,seed42_main,paired_source_target,3,264,1105,1070,3733.0,1077.5,3544.9166666666665,975.0277777777778,188.08333333333348,102.47222222222217,0.02702702702702703,0.02702702702702703,0.0025926864722943,0.0
external_lung,seed42_main,paired_source_target,7,264,1043,1057,3581.0,1030.5,3358.6944444444443,936.5833333333334,222.30555555555566,93.91666666666663,0.02702702702702703,0.02702702702702703,0.00271049615678075,0.0
external_lung,seed42_main,paired_source_target,11,264,1062,1071,3650.0,1060.5,3421.472222222222,958.6111111111111,228.52777777777783,101.88888888888891,0.02702702702702703,0.02702702702702703,0.00336149894455735,0.0
external_lung,seed43,paired_source_target,0,268,1115,1106,3829.0,1126.0,3614.6666666666665,1009.3194444444445,214.33333333333348,116.68055555555554,0.02702702702702703,0.02702702702702703,0.0006408747098234999,0.0
external_lung,seed43,paired_source_target,3,268,1107,1101,3794.0,1112.5,3585.1666666666665,990.125,208.83333333333348,122.375,0.02702702702702703,0.02702702702702703,0.0008138334391328121,0.0
external_lung,seed43,paired_source_target,7,268,1072,1056,3640.0,1061.5,3443.9444444444443,957.2083333333334,196.05555555555566,104.29166666666663,0.02702702702702703,0.02702702702702703,0.0007596996821398,0.0
external_lung,seed43,paired_source_target,11,268,1090,1072,3704.0,1084.5,3511.777777777778,989.2638888888889,192.22222222222217,95.23611111111109,0.02702702702702703,0.02702702702702703,0.00089849749857815,0.0
external_lung,seed44,paired_source_target,0,265,1104,1102,3796.0,1119.5,3570.1666666666665,1016.875,225.83333333333348,102.625,0.02702702702702703,0.02702702702702703,0.0018745433127586,0.0
external_lung,seed44,paired_source_target,3,265,1089,1092,3742.0,1097.5,3526.9444444444443,1008.6944444444445,215.05555555555566,88.80555555555554,0.02702702702702703,0.02702702702702703,0.0028517329398131,0.0
external_lung,seed44,paired_source_target,7,265,1051,1053,3587.0,1036.0,3379.0555555555557,951.9583333333334,207.94444444444434,84.04166666666663,0.02702702702702703,0.02702702702702703,0.0024919474250836,0.0
