domain,split_regime,mean_delta,mean_null_gap,n,direction_pass,null_pass
external_lung,source_disjoint,0.10116071428571427,0.07879910714285712,1,1,1
external_lung,target_disjoint,0.07059440392773719,0.05904952571619236,1,1,1
immune,source_disjoint,0.09591006936139679,0.0959444510882564,1,1,1
immune,target_disjoint,0.03165168064691337,0.030584303904411424,1,1,1
lung,source_disjoint,0.10293528127923024,0.08988742149570166,1,1,1
lung,target_disjoint,0.06632197414806107,0.06510105757931842,1,1,1
