hypothesis_id,null_kind,domain,seed_tag,split_regime,perm_idx,null_value
H115,layer_order_permutation,immune,seed42_main,source_disjoint,0,-0.014516765285996103
H115,label_permutation,immune,seed42_main,source_disjoint,0,-0.020355029585798712
H115,layer_order_permutation,immune,seed42_main,source_disjoint,1,-0.010177514792899411
H115,label_permutation,immune,seed42_main,source_disjoint,1,-0.008284023668639118
H115,layer_order_permutation,immune,seed42_main,source_disjoint,2,-0.0052071005917159185
H115,label_permutation,immune,seed42_main,source_disjoint,2,-0.004970414201183493
H115,layer_order_permutation,immune,seed42_main,source_disjoint,3,-0.009309664694280073
H115,label_permutation,immune,seed42_main,source_disjoint,3,-0.009940828402366764
H115,layer_order_permutation,immune,seed42_main,source_disjoint,4,-0.007573964497041508
H115,label_permutation,immune,seed42_main,source_disjoint,4,-0.0050493096646945235
H115,layer_order_permutation,immune,seed42_main,source_disjoint,5,-0.013570019723865845
H115,label_permutation,immune,seed42_main,source_disjoint,5,-0.0008678500986194493
H115,layer_order_permutation,immune,seed42_main,source_disjoint,6,-0.00362919132149897
H115,label_permutation,immune,seed42_main,source_disjoint,6,-0.0044181459566075
H115,layer_order_permutation,immune,seed42_main,source_disjoint,7,-0.008915187376725808
H115,label_permutation,immune,seed42_main,source_disjoint,7,-0.008915187376725697
H115,layer_order_permutation,immune,seed42_main,source_disjoint,8,-0.008757396449704191
H115,label_permutation,immune,seed42_main,source_disjoint,8,-0.005680473372781103
H115,layer_order_permutation,immune,seed42_main,source_disjoint,9,-0.010019723865877794
H115,label_permutation,immune,seed42_main,source_disjoint,9,-0.007258382642998051
H115,layer_order_permutation,immune,seed42_main,source_disjoint,10,-0.004733727810650845
H115,label_permutation,immune,seed42_main,source_disjoint,10,-0.004891518737672684
H115,layer_order_permutation,immune,seed42_main,source_disjoint,11,0.0007100591715976101
H115,label_permutation,immune,seed42_main,source_disjoint,11,-0.015779092702169817
H115,layer_order_permutation,immune,seed42_main,source_disjoint,12,-0.002603550295858015
H115,label_permutation,immune,seed42_main,source_disjoint,12,-0.021775147928994043
H115,layer_order_permutation,immune,seed42_main,source_disjoint,13,-0.007021696252465515
H115,label_permutation,immune,seed42_main,source_disjoint,13,-0.006706114398422169
H115,layer_order_permutation,immune,seed42_main,source_disjoint,14,-0.008836291913215
H115,label_permutation,immune,seed42_main,source_disjoint,14,-0.00433925049309658
H115,layer_order_permutation,immune,seed42_main,source_disjoint,15,-0.014043392504930918
H115,label_permutation,immune,seed42_main,source_disjoint,15,-0.010650887573964485
H115,layer_order_permutation,immune,seed42_main,target_disjoint,0,-0.021696252465483346
H115,label_permutation,immune,seed42_main,target_disjoint,0,-0.0068639053254437865
H115,layer_order_permutation,immune,seed42_main,target_disjoint,1,-0.002524654832347095
H115,label_permutation,immune,seed42_main,target_disjoint,1,-0.0031558185404337857
H115,layer_order_permutation,immune,seed42_main,target_disjoint,2,-0.00662721893491125
H115,label_permutation,immune,seed42_main,target_disjoint,2,-0.0014201183431953313
H115,layer_order_permutation,immune,seed42_main,target_disjoint,3,-0.006942800788954595
H115,label_permutation,immune,seed42_main,target_disjoint,3,-0.006390532544378713
H115,layer_order_permutation,immune,seed42_main,target_disjoint,4,0.0024457593688361756
H115,label_permutation,immune,seed42_main,target_disjoint,4,-0.0024457593688362866
H115,layer_order_permutation,immune,seed42_main,target_disjoint,5,-0.001656804733727868
H115,label_permutation,immune,seed42_main,target_disjoint,5,-0.00362919132149897
H115,layer_order_permutation,immune,seed42_main,target_disjoint,6,-0.002524654832347095
H115,label_permutation,immune,seed42_main,target_disjoint,6,-0.009861932938856066
H115,layer_order_permutation,immune,seed42_main,target_disjoint,7,0.0004733727810650734
H115,label_permutation,immune,seed42_main,target_disjoint,7,0.0014201183431953313
H115,layer_order_permutation,immune,seed42_main,target_disjoint,8,-0.00220907297830375
H115,label_permutation,immune,seed42_main,target_disjoint,8,-0.005917159763313751
H115,layer_order_permutation,immune,seed42_main,target_disjoint,9,-0.01041420118343206
H115,label_permutation,immune,seed42_main,target_disjoint,9,-0.007100591715976434
H115,layer_order_permutation,immune,seed42_main,target_disjoint,10,-0.0003155818540434563
H115,label_permutation,immune,seed42_main,target_disjoint,10,-0.0044181459566075
H115,layer_order_permutation,immune,seed42_main,target_disjoint,11,-0.007258382642998051
H115,label_permutation,immune,seed42_main,target_disjoint,11,-0.00867850098619316
H115,layer_order_permutation,immune,seed42_main,target_disjoint,12,-0.0044181459566075
H115,label_permutation,immune,seed42_main,target_disjoint,12,-0.004812623274161654
H115,layer_order_permutation,immune,seed42_main,target_disjoint,13,-0.0007100591715977211
H115,label_permutation,immune,seed42_main,target_disjoint,13,-0.005996055226824337
H115,layer_order_permutation,immune,seed42_main,target_disjoint,14,-0.0011834319526625725
H115,label_permutation,immune,seed42_main,target_disjoint,14,-0.003076923076923088
H115,layer_order_permutation,immune,seed42_main,target_disjoint,15,-0.007495069033530588
H115,label_permutation,immune,seed42_main,target_disjoint,15,-0.009625246548323418
H115,layer_order_permutation,lung,seed42_main,source_disjoint,0,-0.028404047576779723
H115,label_permutation,lung,seed42_main,source_disjoint,0,-0.013136872004260614
H115,layer_order_permutation,lung,seed42_main,source_disjoint,1,-0.01591810166282026
H115,label_permutation,lung,seed42_main,source_disjoint,1,-0.004911533226818254
H115,layer_order_permutation,lung,seed42_main,source_disjoint,2,-0.018225930528433576
H115,label_permutation,lung,seed42_main,source_disjoint,2,0.0016569027753121635
H115,layer_order_permutation,lung,seed42_main,source_disjoint,3,-0.02875909817148936
H115,label_permutation,lung,seed42_main,source_disjoint,3,-0.004674832830345199
H115,layer_order_permutation,lung,seed42_main,source_disjoint,4,-0.021125510385229918
H115,label_permutation,lung,seed42_main,source_disjoint,4,0.0029587549559143556
H115,layer_order_permutation,lung,seed42_main,source_disjoint,5,-0.028936623468844402
