hypothesis_id,null_kind,domain,seed_tag,split_regime,perm_idx,null_value
H116,motif_sign_permutation_within_tf_bin,immune,seed42_main,target_disjoint,12,0.014965904290628163
H116,label_permutation,immune,seed42_main,target_disjoint,12,-0.012491702371613123
H116,motif_sign_permutation_within_tf_bin,immune,seed42_main,target_disjoint,13,0.0029569730251644
H116,label_permutation,immune,seed42_main,target_disjoint,13,-0.0071208738157022555
H116,motif_sign_permutation_within_tf_bin,immune,seed42_main,target_disjoint,14,0.010560617947015793
H116,label_permutation,immune,seed42_main,target_disjoint,14,-0.0066381027095527845
H116,motif_sign_permutation_within_tf_bin,immune,seed42_main,target_disjoint,15,-6.034638826868388e-05
H116,label_permutation,immune,seed42_main,target_disjoint,15,-0.0018103916480600724
H116,motif_sign_permutation_within_tf_bin,immune,seed42_main,target_disjoint,16,0.005793253273791543
H116,label_permutation,immune,seed42_main,target_disjoint,16,-0.004586325508418421
H116,motif_sign_permutation_within_tf_bin,immune,seed42_main,target_disjoint,17,0.013517590972180193
H116,label_permutation,immune,seed42_main,target_disjoint,17,-0.0041639007905375225
H116,motif_sign_permutation_within_tf_bin,immune,seed42_main,target_disjoint,18,0.004827711061492934
H116,label_permutation,immune,seed42_main,target_disjoint,18,-0.008327801581075489
H116,motif_sign_permutation_within_tf_bin,immune,seed42_main,target_disjoint,19,0.007000181039164777
H116,label_permutation,immune,seed42_main,target_disjoint,19,-0.012310663206807071
H116,motif_sign_permutation_within_tf_bin,lung,seed42_main,source_disjoint,0,0.046946683889359075
H116,label_permutation,lung,seed42_main,source_disjoint,0,-0.011536234466170692
H116,motif_sign_permutation_within_tf_bin,lung,seed42_main,source_disjoint,1,0.03946372099238338
H116,label_permutation,lung,seed42_main,source_disjoint,1,-0.003852835063026361
H116,motif_sign_permutation_within_tf_bin,lung,seed42_main,source_disjoint,2,0.04387332412810119
H116,label_permutation,lung,seed42_main,source_disjoint,2,0.003941917954656704
H116,motif_sign_permutation_within_tf_bin,lung,seed42_main,source_disjoint,3,0.04587768918979118
H116,label_permutation,lung,seed42_main,source_disjoint,3,-0.029263729900672497
H116,motif_sign_permutation_within_tf_bin,lung,seed42_main,source_disjoint,4,0.04262616364527194
H116,label_permutation,lung,seed42_main,source_disjoint,4,-0.028974210502872855
H116,motif_sign_permutation_within_tf_bin,lung,seed42_main,source_disjoint,5,0.04516502605674588
H116,label_permutation,lung,seed42_main,source_disjoint,5,-0.016948020132733443
H116,motif_sign_permutation_within_tf_bin,lung,seed42_main,source_disjoint,6,0.041824417620595966
H116,label_permutation,lung,seed42_main,source_disjoint,6,-0.019108280254777066
H116,motif_sign_permutation_within_tf_bin,lung,seed42_main,source_disjoint,7,0.04062179858358195
H116,label_permutation,lung,seed42_main,source_disjoint,7,-0.009108725669235263
H116,motif_sign_permutation_within_tf_bin,lung,seed42_main,source_disjoint,8,0.03229254821611516
H116,label_permutation,lung,seed42_main,source_disjoint,8,-0.009220079283773441
H116,motif_sign_permutation_within_tf_bin,lung,seed42_main,source_disjoint,9,0.046456727985390356
H116,label_permutation,lung,seed42_main,source_disjoint,9,-0.014386886998352
H116,motif_sign_permutation_within_tf_bin,lung,seed42_main,source_disjoint,10,0.04961917063827881
H116,label_permutation,lung,seed42_main,source_disjoint,10,-0.01648033495167256
H116,motif_sign_permutation_within_tf_bin,lung,seed42_main,source_disjoint,11,0.043027036657609985
H116,label_permutation,lung,seed42_main,source_disjoint,11,-0.008752394102712557
H116,motif_sign_permutation_within_tf_bin,lung,seed42_main,source_disjoint,12,0.03665760990601752
H116,label_permutation,lung,seed42_main,source_disjoint,12,-0.028239276646919942
H116,motif_sign_permutation_within_tf_bin,lung,seed42_main,source_disjoint,13,0.041200837379181454
H116,label_permutation,lung,seed42_main,source_disjoint,13,-0.03358425014475963
H116,motif_sign_permutation_within_tf_bin,lung,seed42_main,source_disjoint,14,0.022983386040710818
H116,label_permutation,lung,seed42_main,source_disjoint,14,-0.008418333259097577
H116,motif_sign_permutation_within_tf_bin,lung,seed42_main,source_disjoint,15,0.03126809496236249
H116,label_permutation,lung,seed42_main,source_disjoint,15,-0.0008017460246758645
H116,motif_sign_permutation_within_tf_bin,lung,seed42_main,source_disjoint,16,0.046501269431205805
H116,label_permutation,lung,seed42_main,source_disjoint,16,-0.008373791813282239
H116,motif_sign_permutation_within_tf_bin,lung,seed42_main,source_disjoint,17,0.04405148991136243
H116,label_permutation,lung,seed42_main,source_disjoint,17,-0.014965925793951285
H116,motif_sign_permutation_within_tf_bin,lung,seed42_main,source_disjoint,18,0.05656763618547056
H116,label_permutation,lung,seed42_main,source_disjoint,18,-0.02320609326978751
H116,motif_sign_permutation_within_tf_bin,lung,seed42_main,source_disjoint,19,0.03523228363992692
H116,label_permutation,lung,seed42_main,source_disjoint,19,-0.029063293394503642
H116,motif_sign_permutation_within_tf_bin,lung,seed42_main,target_disjoint,0,0.047332549941245694
H116,label_permutation,lung,seed42_main,target_disjoint,0,-0.018848413631022187
H116,motif_sign_permutation_within_tf_bin,lung,seed42_main,target_disjoint,1,0.02124559341950638
H116,label_permutation,lung,seed42_main,target_disjoint,1,-0.01927144535840175
H116,motif_sign_permutation_within_tf_bin,lung,seed42_main,target_disjoint,2,0.01381903642773219
H116,label_permutation,lung,seed42_main,target_disjoint,2,-0.016780258519389024
H116,motif_sign_permutation_within_tf_bin,lung,seed42_main,target_disjoint,3,0.018237367802585225
H116,label_permutation,lung,seed42_main,target_disjoint,3,-0.007238542890716793
H116,motif_sign_permutation_within_tf_bin,lung,seed42_main,target_disjoint,4,0.010951821386604
H116,label_permutation,lung,seed42_main,target_disjoint,4,-0.020822561692126818
H116,motif_sign_permutation_within_tf_bin,lung,seed42_main,target_disjoint,5,0.0009400705052878822
H116,label_permutation,lung,seed42_main,target_disjoint,5,-0.019365452408930506
H116,motif_sign_permutation_within_tf_bin,lung,seed42_main,target_disjoint,6,0.02101057579318444
H116,label_permutation,lung,seed42_main,target_disjoint,6,-0.013349001175088082
H116,motif_sign_permutation_within_tf_bin,lung,seed42_main,target_disjoint,7,0.029941245593419374
H116,label_permutation,lung,seed42_main,target_disjoint,7,-0.021856639247943677
H116,motif_sign_permutation_within_tf_bin,lung,seed42_main,target_disjoint,8,0.029612220916568788
H116,label_permutation,lung,seed42_main,target_disjoint,8,-0.015370152761457034
H116,motif_sign_permutation_within_tf_bin,lung,seed42_main,target_disjoint,9,0.0039952996474734714
H116,label_permutation,lung,seed42_main,target_disjoint,9,-0.022843713278495992
H116,motif_sign_permutation_within_tf_bin,lung,seed42_main,target_disjoint,10,0.03168037602820206
H116,label_permutation,lung,seed42_main,target_disjoint,10,-0.02195064629847243
H116,motif_sign_permutation_within_tf_bin,lung,seed42_main,target_disjoint,11,0.023313748531139766
H116,label_permutation,lung,seed42_main,target_disjoint,11,-0.021339600470035358
H116,motif_sign_permutation_within_tf_bin,lung,seed42_main,target_disjoint,12,0.021339600470035247
H116,label_permutation,lung,seed42_main,target_disjoint,12,-0.01311398354876614
H116,motif_sign_permutation_within_tf_bin,lung,seed42_main,target_disjoint,13,0.011985898942420636
H116,label_permutation,lung,seed42_main,target_disjoint,13,-0.025992949471210336
H116,motif_sign_permutation_within_tf_bin,lung,seed42_main,target_disjoint,14,0.021292596944770814
H116,label_permutation,lung,seed42_main,target_disjoint,14,-0.02444183313748516
H116,motif_sign_permutation_within_tf_bin,lung,seed42_main,target_disjoint,15,0.03807285546415984
H116,label_permutation,lung,seed42_main,target_disjoint,15,-0.020493537015276342
H116,motif_sign_permutation_within_tf_bin,lung,seed42_main,target_disjoint,16,0.046110458284371325
H116,label_permutation,lung,seed42_main,target_disjoint,16,-0.024347826086956514
H116,motif_sign_permutation_within_tf_bin,lung,seed42_main,target_disjoint,17,0.011703877790834372
H116,label_permutation,lung,seed42_main,target_disjoint,17,-0.03384253819036431
H116,motif_sign_permutation_within_tf_bin,lung,seed42_main,target_disjoint,18,0.0293301997649823
H116,label_permutation,lung,seed42_main,target_disjoint,18,-0.016592244418331514
H116,motif_sign_permutation_within_tf_bin,lung,seed42_main,target_disjoint,19,0.0154641598119859
H116,label_permutation,lung,seed42_main,target_disjoint,19,-0.02068155111633363
H116,motif_sign_permutation_within_tf_bin,external_lung,seed42_main,source_disjoint,0,0.03955357142857152
H116,label_permutation,external_lung,seed42_main,source_disjoint,0,-0.04453125000000002
H116,motif_sign_permutation_within_tf_bin,external_lung,seed42_main,source_disjoint,1,0.05549107142857146
H116,label_permutation,external_lung,seed42_main,source_disjoint,1,-0.028058035714285667
H116,motif_sign_permutation_within_tf_bin,external_lung,seed42_main,source_disjoint,2,0.0697767857142857
H116,label_permutation,external_lung,seed42_main,source_disjoint,2,-0.02024553571428589
H116,motif_sign_permutation_within_tf_bin,external_lung,seed42_main,source_disjoint,3,0.07852678571428573
H116,label_permutation,external_lung,seed42_main,source_disjoint,3,-0.03267857142857156
H116,motif_sign_permutation_within_tf_bin,external_lung,seed42_main,source_disjoint,4,0.07964285714285735
H116,label_permutation,external_lung,seed42_main,source_disjoint,4,-0.011049107142857229
H116,motif_sign_permutation_within_tf_bin,external_lung,seed42_main,source_disjoint,5,0.0519196428571429
H116,label_permutation,external_lung,seed42_main,source_disjoint,5,-0.023616071428571472
H116,motif_sign_permutation_within_tf_bin,external_lung,seed42_main,source_disjoint,6,0.05352678571428582
H116,label_permutation,external_lung,seed42_main,source_disjoint,6,-0.01399553571428569
H116,motif_sign_permutation_within_tf_bin,external_lung,seed42_main,source_disjoint,7,0.06687500000000013
H116,label_permutation,external_lung,seed42_main,source_disjoint,7,-0.020736607142857078
H116,motif_sign_permutation_within_tf_bin,external_lung,seed42_main,source_disjoint,8,0.06696428571428581
H116,label_permutation,external_lung,seed42_main,source_disjoint,8,-0.006093750000000009
H116,motif_sign_permutation_within_tf_bin,external_lung,seed42_main,source_disjoint,9,0.06696428571428581
H116,label_permutation,external_lung,seed42_main,source_disjoint,9,-0.012276785714285698
H116,motif_sign_permutation_within_tf_bin,external_lung,seed42_main,source_disjoint,10,0.07767857142857149
H116,label_permutation,external_lung,seed42_main,source_disjoint,10,-0.01854910714285718
H116,motif_sign_permutation_within_tf_bin,external_lung,seed42_main,source_disjoint,11,0.040223214285714404
H116,label_permutation,external_lung,seed42_main,source_disjoint,11,-0.020223214285714386
H116,motif_sign_permutation_within_tf_bin,external_lung,seed42_main,source_disjoint,12,0.07500000000000007
H116,label_permutation,external_lung,seed42_main,source_disjoint,12,-0.02084821428571426
H116,motif_sign_permutation_within_tf_bin,external_lung,seed42_main,source_disjoint,13,0.06089285714285719
H116,label_permutation,external_lung,seed42_main,source_disjoint,13,-0.016250000000000098
H116,motif_sign_permutation_within_tf_bin,external_lung,seed42_main,source_disjoint,14,0.06691964285714291
H116,label_permutation,external_lung,seed42_main,source_disjoint,14,-0.019732142857142976
