domain,split_regime,mean_delta,mean_null_gap,n,direction_pass,null_pass
external_lung,source_disjoint,-0.004032258064516014,0.0027286305147059403,1,0,1
external_lung,target_disjoint,0.00383192389006326,0.01207799286469332,1,1,1
immune,source_disjoint,-0.0063116370808679045,0.0020660749506902984,1,0,1
immune,target_disjoint,-0.006232741617357096,-0.0013880670611440757,1,0,0
lung,source_disjoint,-0.027871471684715043,-0.015468740753890712,1,0,0
lung,target_disjoint,0.003268392719815494,0.009352569853883632,1,1,1
